word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,VERB,X
observation,0,0,0,0,0,20,0,0,0
identify,0,0,0,0,0,0,0,10,0
question,0,0,0,0,0,16,0,1,0
phenomenon,0,0,0,0,0,26,0,0,0
develop,0,0,0,0,0,0,0,40,0
possible,12,0,0,0,0,0,0,0,0
explanation,0,0,0,0,0,10,0,0,0
call,0,0,0,0,0,0,0,44,0
hypothesis,0,0,0,0,0,26,0,0,0
test,0,0,0,0,0,2,0,4,0
idea,0,0,0,0,0,14,0,0,0
important,12,0,0,0,0,0,0,0,0
way,0,0,0,0,0,8,0,0,0
gather,0,0,0,0,0,0,0,3,0
datum,0,0,0,0,0,16,0,0,0
challenge,0,0,0,0,0,3,0,2,0
scientific,26,0,0,0,0,0,0,0,0
theory,0,0,0,0,0,136,0,0,0
base,1,0,0,0,0,0,0,19,0
large,17,0,0,0,0,0,0,0,0
body,0,0,0,0,0,41,0,0,0
evidence,0,0,0,0,0,8,0,0,0
aspect,0,0,0,0,0,10,0,0,0
inorganic,1,0,0,0,0,0,0,0,0
nonliving,1,0,0,0,0,0,0,0,0
organic,3,0,0,0,0,0,0,0,0
living,1,0,0,0,0,0,0,0,0
realm,0,0,0,0,0,5,0,0,0
biological,4,0,0,0,0,0,0,0,0
usually,0,0,2,0,0,0,0,0,0
specialize,0,0,0,0,0,0,0,1,0
major,6,0,0,0,0,0,0,0,0
area,0,0,0,0,0,13,0,0,0
physics,0,0,0,0,0,43,0,0,0
chemistry,0,0,0,0,0,20,0,0,0
earth,0,0,0,0,0,6,0,0,0
book,0,0,0,0,0,18,0,0,0
depth,0,0,0,0,0,2,0,0,0
historical,1,0,0,0,0,0,0,0,0
development,0,0,0,0,0,14,0,0,0
discipline,0,0,0,0,0,4,0,0,0
physicist,0,0,0,0,0,58,0,0,0
primarily,0,0,3,0,0,0,0,0,0
astronomer,0,0,0,0,0,38,0,0,0
chemist,0,0,0,0,0,24,0,0,0
training,0,0,0,0,0,1,0,0,0
modern,8,0,0,0,0,0,0,0,0
devote,0,0,0,0,0,0,0,1,0
life,0,0,0,0,0,9,0,0,0
originate,0,0,0,0,0,0,0,3,0
century,0,0,0,0,0,115,0,0,0
amalgam,0,0,0,0,0,1,0,0,0
combination,0,0,0,0,0,6,0,0,0
previous,2,0,0,0,0,0,0,0,0
mechanic,0,0,0,0,0,32,0,0,0
motion,0,0,0,0,0,92,0,0,0
optic,0,0,0,0,0,11,0,0,0
light,5,0,0,0,0,48,0,0,0
property,0,0,0,0,0,36,0,0,0
acoustic,0,0,0,0,0,1,0,0,0
sound,0,0,0,0,0,2,0,0,0
electricity,0,0,0,0,0,14,0,0,0
magnetism,0,0,0,0,0,7,0,0,0
heat,0,0,0,0,0,4,0,0,0
matter,0,0,0,0,0,39,0,0,0
absorb,0,0,0,0,0,0,0,2,0
boundary,0,0,0,0,0,1,0,0,0
frequently,0,0,1,0,0,0,0,0,0
blur,0,0,0,0,0,0,0,1,0
concern,0,0,0,0,0,0,0,10,0
largely,0,0,3,0,0,0,0,0,0
structure,0,0,0,0,0,21,0,0,0
behavior,0,0,0,0,0,4,0,0,0
atom,0,0,0,0,0,52,0,0,0
component,0,0,0,0,0,6,0,0,0
focus,0,0,0,0,0,1,0,4,0
type,0,0,0,0,0,10,0,0,0
interact,0,0,0,0,0,0,0,3,0
change,0,0,0,0,0,15,0,10,0
different,14,0,0,0,0,0,0,0,0
substance,0,0,0,0,0,25,0,0,0
tend,0,0,0,0,0,0,0,8,0
interested,3,0,0,0,0,0,0,0,0
specific,7,0,0,0,0,0,0,0,0
element,0,0,0,0,0,40,0,0,0
compound,0,0,0,0,0,8,0,0,0
general,17,0,0,0,0,0,0,0,0
share,0,0,0,0,0,1,0,4,0
entire,5,0,0,0,0,0,0,0,0
universe,0,0,0,0,0,62,0,0,0
include,0,0,0,0,0,0,0,13,0
origin,0,0,0,0,0,10,0,0,0
evolution,0,0,0,0,0,12,0,0,0
cosmology,0,0,0,0,0,8,0,0,0
object,0,0,0,0,0,13,0,2,0
planet,0,0,0,0,0,47,0,0,0
galaxy,0,0,0,0,0,11,0,0,0
nebula,0,0,0,0,0,8,0,0,0
multitude,0,0,0,0,0,3,0,0,0
extraordinary,1,0,0,0,0,0,0,0,0
entity,0,0,0,0,0,4,0,0,0
celestial,18,0,0,0,0,0,0,0,0
solid,4,0,0,0,0,2,0,0,0
host,0,0,0,0,0,1,0,0,0
remarkable,5,0,0,0,0,0,0,0,0
legendary,1,0,0,0,0,0,0,0,0
show,0,0,0,0,0,0,0,28,0
far,1,0,3,0,0,0,0,0,0
originally,0,0,6,0,0,0,0,0,0
billion,0,0,0,0,0,2,10,0,0
extend,0,0,0,0,0,0,0,7,0
stretch,0,0,0,0,0,0,0,1,0
distance,0,0,0,0,0,20,0,0,0
practically,0,0,3,0,0,0,0,0,0
incomprehensible,1,0,0,0,0,0,0,0,0
old,6,0,0,0,0,0,0,0,0
frontier,0,0,0,0,0,1,0,0,0
conquer,0,0,0,0,0,0,0,1,0
phenomenally,0,0,1,0,0,0,0,0,0
birth,0,0,0,0,0,1,0,0,0
antiquity,0,0,0,0,0,3,0,0,0
chapter,0,0,0,0,0,2,0,0,0
follow,0,0,0,0,0,0,0,6,0
project,0,0,0,0,0,1,0,1,0
future,1,0,0,0,0,2,0,0,0
ultimately,0,0,5,0,0,0,0,0,0
derive,0,0,0,0,0,0,0,16,0
rationalistic,1,0,0,0,0,0,0,0,0
materialism,0,0,0,0,0,1,0,0,0
emerge,0,0,0,0,0,0,0,5,0
classical,3,0,0,0,0,0,0,0,0
outgrowth,0,0,0,0,0,1,0,0,0
magical,1,0,0,0,0,0,0,0,0
mythical,1,0,0,0,0,0,0,0,0
view,0,0,0,0,0,14,0,3,0
greek,18,0,0,0,0,0,0,0,0
philosopher,0,0,0,0,0,9,0,0,0
bce,0,0,0,0,0,18,0,0,0
abandon,0,0,0,0,0,0,0,4,0
animism,0,0,0,0,0,1,0,0,0
poet,0,0,0,0,0,1,0,0,0
explain,0,0,0,0,0,0,0,24,0
term,0,0,0,0,0,19,0,0,0
ordinarily,0,0,1,0,0,0,0,0,0
observable,3,0,0,0,0,0,0,0,0
process,0,0,0,0,0,12,0,0,0
early,19,0,10,0,0,0,0,0,0
pose,0,0,0,0,0,0,0,4,0
broad,5,0,0,0,0,0,0,0,0
underlie,0,0,0,0,0,0,0,4,0
order,0,0,0,0,0,6,0,1,0
chaos,0,0,0,0,0,1,0,0,0
variety,0,0,0,0,0,5,0,0,0
account,0,0,0,0,0,3,0,10,0
relation,0,0,0,0,0,7,0,0,0
form,0,0,0,0,0,13,0,19,0
philosophy,0,0,0,0,0,16,0,0,0
provide,0,0,0,0,0,0,0,25,0
framework,0,0,0,0,0,5,0,0,0
year,0,0,0,0,0,31,0,0,0
western,2,0,0,0,0,0,0,0,0
egyptian,1,0,0,0,0,0,0,0,0
influential,4,0,0,0,0,0,0,0,0
time,0,0,0,0,0,40,0,0,0
reckoning,0,0,0,0,0,1,0,0,0
main,1,0,0,0,0,0,0,0,0
last,0,0,0,0,0,0,0,1,0
contribution,0,0,0,0,0,11,0,0,0
civil,1,0,0,0,0,0,0,0,0
calendar,0,0,0,0,0,2,0,0,0
day,0,0,0,0,0,5,0,0,0
consist,0,0,0,0,0,0,0,12,0
month,0,0,0,0,0,6,0,0,0
additional,2,0,0,0,0,0,0,0,0
festival,0,0,0,0,0,1,0,0,0
end,0,0,0,0,0,12,0,1,0
play,0,0,0,0,0,1,0,7,0
role,0,0,0,0,0,8,0,0,0
history,0,0,0,0,0,5,0,0,0
allow,0,0,0,0,0,0,0,7,0
calculate,0,0,0,0,0,0,0,8,0
number,0,0,0,0,0,24,0,0,0
set,0,0,0,0,0,5,0,5,0
babylonian,2,0,0,0,0,0,0,0,0
date,0,0,0,0,0,1,0,1,0
constitute,0,0,0,0,0,0,0,4,0
systematic,2,0,0,0,0,0,0,0,0
treatment,0,0,0,0,0,1,0,0,0
contrast,0,0,0,0,0,4,0,0,0
accurate,5,0,0,0,0,0,0,0,0
prediction,0,0,0,0,0,4,0,0,0
astronomical,11,0,0,0,0,0,0,0,0
especially,0,0,10,0,0,0,0,0,0
appearance,0,0,0,0,0,4,0,0,0
new,35,0,0,0,0,0,0,0,0
zodiac,0,0,0,0,0,2,0,0,0
reference,0,0,0,0,0,4,0,0,0
complex,4,0,0,0,0,0,0,0,0
system,0,0,0,0,0,50,0,0,0
arithmetic,1,0,0,0,0,0,0,0,0
progression,0,0,0,0,0,1,0,0,0
method,0,0,0,0,0,20,0,0,0
approximation,0,0,0,0,0,2,0,0,0
able,19,0,0,0,0,0,0,0,0
predict,0,0,0,0,0,0,0,19,0
point,0,0,0,0,0,20,0,2,0
literature,0,0,0,0,0,1,0,0,0
geometric,6,0,0,0,0,0,0,0,0
model,0,0,0,0,0,28,0,0,0
mass,0,0,0,0,0,23,0,0,0
collect,0,0,0,0,0,0,0,3,0
mathematical,19,0,0,0,0,0,0,0,0
late,7,0,0,0,0,0,0,0,0
flowering,0,0,0,0,0,1,0,0,0
responsible,3,0,0,0,0,0,0,0,0
cosmos,0,0,0,0,0,2,0,0,0
fundamentally,0,0,5,0,0,0,0,0,0
hold,0,0,0,0,0,0,0,10,0
discover,0,0,0,0,0,0,0,23,0
harmony,0,0,0,0,0,4,0,0,0
contemplate,0,0,0,0,0,0,0,1,0
regular,5,0,0,0,0,0,0,0,0
heaven,0,0,0,0,0,11,0,0,0
postulate,0,0,0,0,0,2,0,6,0
central,4,0,0,0,0,0,0,0,0
fire,0,0,0,0,0,4,0,0,0
heavenly,4,0,0,0,0,0,0,0,0
revolve,0,0,0,0,0,0,0,7,0
construct,0,0,0,0,0,0,0,8,0
solar,16,0,0,0,0,0,0,0,0
subsequent,5,0,0,0,0,0,0,0,0
character,0,0,0,0,0,4,0,0,0
comment,0,0,0,0,0,1,0,0,0
attribute,0,0,0,0,0,0,0,4,0
report,0,0,0,0,0,0,0,2,0
instruct,0,0,0,0,0,0,0,1,0
save,0,0,0,0,0,0,0,3,0
uniform,9,0,0,0,0,0,0,0,0
circular,11,0,0,0,0,0,0,0,0
urge,0,0,0,0,0,0,0,1,0
predictively,0,0,1,0,0,0,0,0,0
result,0,0,0,0,0,18,0,10,0
regard,0,0,0,0,0,0,0,5,0
true,5,0,0,0,0,0,0,0,0
description,0,0,0,0,0,4,0,0,0
machinery,0,0,0,0,0,2,0,0,0
simply,0,0,7,0,0,0,0,0,0
tool,0,0,0,0,0,2,0,0,0
planetary,13,0,0,0,0,0,0,0,0
position,0,0,0,0,0,12,0,0,0
print,0,0,0,0,0,2,0,0,0
surround,0,0,0,0,0,0,0,5,0
fix,0,0,0,0,0,0,0,7,0
star,0,0,0,0,0,39,0,0,0
sphere,0,0,0,0,0,16,0,0,0
abode,0,0,0,0,0,1,0,0,0
rise,0,0,0,0,0,4,0,1,0
homocentric,4,0,0,0,0,0,0,0,0
represent,0,0,0,0,0,0,0,8,0
nest,0,0,0,0,0,0,0,2,0
concentric,1,0,0,0,0,0,0,0,0
combine,0,0,0,0,0,0,0,15,0
produce,0,0,0,0,0,0,0,21,0
success,0,0,0,0,0,2,0,0,0
require,0,0,0,0,0,0,0,13,0
modify,0,0,0,0,0,0,0,1,0
student,0,0,0,0,0,5,0,0,0
add,0,0,0,0,0,0,0,2,0
improve,0,0,0,0,0,0,0,3,0
formulate,0,0,0,0,0,0,0,5,0
adopt,0,0,0,0,0,0,0,2,0
actual,4,0,0,0,0,0,0,0,0
aristotelian,9,0,0,0,0,0,0,0,0
like,0,12,0,0,0,0,0,0,0
onion,0,0,0,0,0,1,0,0,0
series,0,0,0,0,0,6,0,0,0
center,0,0,0,0,0,16,0,2,0
unify,0,0,0,0,0,0,0,3,0
unroll,0,0,0,0,0,0,0,1,0
give,0,0,0,0,0,0,0,12,0
transmit,0,0,0,0,0,0,0,4,0
inner,1,0,0,0,0,0,0,0,0
roman,2,0,0,0,0,0,0,0,0
pillar,0,0,0,0,0,1,0,0,0
arch,0,0,0,0,0,1,0,0,0
relief,0,0,0,0,0,1,0,0,0
sculpture,0,0,0,0,0,1,0,0,0
suggest,0,0,0,0,0,0,0,12,0
rotation,0,0,0,0,0,4,0,0,0
correctly,0,0,2,0,0,0,0,0,0
connect,0,0,0,0,0,0,0,3,0
movement,0,0,0,0,0,5,0,0,0
fail,0,0,0,0,0,0,0,2,0
brightness,0,0,0,0,0,6,0,0,0
bound,0,0,0,0,0,0,0,1,0
elongation,0,0,0,0,0,1,0,0,0
attempt,0,0,0,0,0,9,0,8,0
solve,0,0,0,0,0,0,0,6,0
problem,0,0,0,0,0,38,0,0,0
turn,0,0,0,0,0,5,0,4,0
place,0,0,0,0,0,4,0,2,0
addition,0,0,0,0,0,5,0,0,0
daily,1,0,0,0,0,0,0,0,0
rotate,0,0,0,0,0,0,0,5,0
axis,0,0,0,0,0,3,0,0,0
little,3,0,0,0,0,0,0,0,0
impact,0,0,0,0,0,4,0,0,0
apparently,0,0,4,0,0,0,0,0,0
forth,0,2,2,0,0,0,0,0,0
heliocentric,5,0,0,0,0,0,0,0,0
similar,4,0,0,0,0,0,0,0,0
propound,0,0,0,0,0,0,0,1,0
flourished,3,0,0,0,0,0,0,0,0
extensive,3,0,0,0,0,0,0,0,0
theoretical,12,0,0,0,0,0,0,0,0
observational,2,0,0,0,0,0,0,0,0
impressive,3,0,0,0,0,0,0,0,0
work,0,0,0,0,0,21,0,5,0
successful,7,0,0,0,0,0,0,0,0
predecessor,0,0,0,0,0,2,0,0,0
primary,1,0,0,0,0,0,0,0,0
conceptual,1,0,0,0,0,0,0,0,0
eccentric,3,0,0,0,0,0,0,0,0
circle,0,0,0,0,0,3,0,2,0
device,0,0,0,0,0,3,0,0,0
irregularity,0,0,0,0,0,1,0,0,0
inequality,0,0,0,0,0,1,0,0,0
prove,0,0,0,0,0,0,0,5,0
mathematically,0,0,3,0,0,0,0,0,0
equivalent,1,0,0,0,0,1,0,0,0
figure,0,0,0,0,0,3,0,2,0
epicycle,1,0,0,0,0,1,0,0,0
deferent,1,0,0,0,0,0,0,0,0
proof,0,0,0,0,0,1,0,0,0
probably,0,0,4,0,0,0,0,0,0
illustration,0,0,0,0,0,2,0,0,0
sit,0,0,0,0,0,0,0,1,0
armillary,1,0,0,0,0,0,0,0,0
invent,0,0,0,0,0,0,0,3,0
right,1,0,1,0,0,0,0,0,0
representation,0,0,0,0,0,1,0,0,0
sign,0,0,0,0,0,2,0,0,0
night,0,0,0,0,0,1,0,0,0
sky,0,0,0,0,0,3,0,0,0
know,0,0,0,0,0,0,0,20,0
precession,0,0,0,0,0,2,0,0,0
equinox,0,0,0,0,0,2,0,0,0
significant,3,0,0,0,0,0,0,0,0
gradual,1,0,0,0,0,0,0,0,0
apparent,9,0,0,0,0,0,0,0,0
increase,0,0,0,0,0,2,0,9,0
longitude,0,0,0,0,0,1,0,0,0
equinoctial,1,0,0,0,0,0,0,0,0
equator,0,0,0,0,0,2,0,0,0
cross,0,0,0,0,0,0,0,1,0
ecliptic,0,0,0,0,0,1,0,0,0
north,1,0,0,0,0,0,0,0,0
pole,0,0,0,0,0,1,0,0,0
define,0,0,0,0,0,0,0,8,0
move,0,0,0,0,0,0,0,17,0
relative,2,0,0,0,0,0,0,0,0
vicinity,0,0,0,0,0,1,0,0,0
effect,0,0,0,0,0,22,0,0,0
ascribe,0,0,0,0,0,0,0,3,0
rotational,1,0,0,0,0,0,0,0,0
trace,0,0,0,0,0,0,0,2,0
conical,1,0,0,0,0,0,0,0,0
path,0,0,0,0,0,3,0,0,0
orbital,4,0,0,0,0,1,0,0,0
plane,0,0,0,0,0,4,0,0,0
apply,0,0,0,0,0,0,0,14,0
compile,0,0,0,0,0,0,0,4,0
elaborate,1,0,0,0,0,0,0,1,0
generally,0,0,7,0,0,0,0,0,0
fit,0,0,0,0,0,4,0,1,0
available,3,0,0,0,0,0,0,0,0
good,7,0,0,0,0,0,0,0,0
degree,0,0,0,0,0,4,0,0,0
accuracy,0,0,0,0,0,5,0,0,0
vehicle,0,0,0,0,0,1,0,0,0
essentially,0,0,5,0,0,0,0,0,0
mold,0,0,0,0,0,0,0,1,0
millennium,0,0,0,0,0,1,0,0,0
half,1,0,0,0,1,7,0,0,0
encyclopedia,0,0,0,0,0,1,0,0,0
completely,0,0,3,0,0,0,0,0,0
comprehensive,2,0,0,0,0,0,0,0,0
treatise,0,0,0,0,0,3,0,0,0
come,0,0,0,0,0,0,0,12,0
serve,0,0,0,0,0,0,0,3,0
basic,9,0,0,0,0,0,0,0,0
guide,0,0,0,0,0,1,0,0,0
arab,3,0,0,0,0,0,0,0,0
european,3,0,0,0,0,0,0,0,0
beginning,0,0,0,0,0,5,0,0,0
corrupt,0,0,0,0,0,0,0,1,0
mean,2,0,0,0,0,7,0,4,0
great,7,0,0,0,0,0,0,0,0
translate,0,0,0,0,0,0,0,2,0
retranslate,0,0,0,0,0,0,0,1,0
geocentric,4,0,0,0,0,0,0,0,0
describe,0,0,0,0,0,0,0,19,0
divide,0,0,0,0,0,0,0,2,0
plan,0,0,0,0,0,1,0,0,0
mention,0,0,0,0,0,1,0,3,0
spherical,2,0,0,0,0,0,0,0,0
shape,0,0,0,0,0,3,0,0,0
size,0,0,0,0,0,3,0,0,0
contain,0,0,0,0,0,0,0,7,0
survive,0,0,0,0,0,0,0,2,0
trigonometry,0,0,0,0,0,1,0,0,0
deal,0,0,0,0,0,0,0,12,0
length,0,0,0,0,0,3,0,0,0
take,0,0,0,0,0,0,0,13,0
tell,0,0,0,0,0,0,0,2,0
astrolabe,0,0,0,0,0,1,0,0,0
instrument,0,0,0,0,0,7,0,0,0
precede,0,0,0,0,0,0,0,1,0
sextant,0,0,0,0,0,1,0,0,0
eclipse,0,0,0,0,0,3,0,0,0
treat,0,0,0,0,0,0,0,4,0
seven,0,0,0,0,0,0,1,0,0
mainly,0,0,2,0,0,0,0,0,0
coordinate,0,0,0,0,0,2,0,0,0
magnitude,0,0,0,0,0,5,0,0,0
catalog,0,0,0,0,0,1,0,0,0
remain,0,0,0,0,0,0,0,10,0
original,2,0,0,0,0,0,0,0,0
detail,0,0,0,0,0,2,0,0,0
outline,0,0,0,0,0,0,0,1,0
kind,0,0,0,0,0,10,0,0,0
ancient,2,0,0,0,0,0,0,0,0
generalize,0,0,0,0,0,0,0,1,0
ultimate,2,0,0,0,0,0,0,0,0
nature,0,0,0,0,0,29,0,0,0
consider,0,0,0,0,0,0,0,17,0
metaphysical,2,0,0,0,0,0,0,0,0
reconcile,0,0,0,0,0,0,0,2,0
antithesis,0,0,0,0,0,1,0,0,0
unity,0,0,0,0,0,3,0,0,0
diversity,0,0,0,0,0,1,0,0,0
atomist,0,0,0,0,0,3,0,0,0
assert,0,0,0,0,0,0,0,3,0
immutable,1,0,0,0,0,0,0,0,0
space,0,0,0,0,0,32,0,0,0
accord,0,0,0,0,0,0,0,16,0
configuration,0,0,0,0,0,1,0,0,0
cluster,0,0,0,0,0,2,0,0,0
cause,0,0,0,0,0,8,0,7,0
particulate,1,0,0,0,0,1,0,0,0
principally,0,0,2,0,0,0,0,0,0
bridge,0,0,0,0,0,0,0,1,0
insist,0,0,0,0,0,0,0,1,0
continuity,0,0,0,0,0,2,0,0,0
conceive,0,0,0,0,0,0,0,4,0
continuous,1,0,0,0,0,0,0,0,0
infuse,0,0,0,0,0,0,0,1,0
active,1,0,0,0,0,0,0,0,0
airlike,1,0,0,0,0,0,0,0,0
spirit,0,0,0,0,0,1,0,0,0
pneuma,0,0,0,0,0,1,0,0,0
frame,0,0,0,0,0,6,0,0,0
inspiration,0,0,0,0,0,1,0,0,0
stoic,2,0,0,0,0,0,0,0,0
emphasis,0,0,0,0,0,2,0,0,0
pneumatic,1,0,0,0,0,0,0,0,0
arise,0,0,0,0,0,0,0,3,0
experience,0,0,0,0,0,2,0,0,0
spring,0,0,0,0,0,2,0,0,0
compressibility,0,0,0,0,0,1,0,0,0
pressure,0,0,0,0,0,3,0,0,0
air,0,0,0,0,0,12,0,0,0
atomic,46,0,0,0,0,0,0,0,0
criticism,0,0,0,0,0,2,0,0,0
philosophical,4,0,0,0,0,0,0,0,0
assume,0,0,0,0,0,0,0,8,0
constant,4,0,0,0,0,3,0,0,0
long,7,0,6,0,0,0,0,0,0
force,0,0,0,0,0,57,0,2,0
act,0,0,0,0,0,0,0,8,0
resist,0,0,0,0,0,0,0,1,0
medium,0,0,0,0,0,6,0,0,0
proportional,12,0,0,0,0,0,0,0,0
inversely,0,0,2,0,0,0,0,0,0
resistance,0,0,0,0,0,4,0,0,0
relationship,0,0,0,0,0,5,0,0,0
argue,0,0,0,0,0,0,0,7,0
possibility,0,0,0,0,0,6,0,0,0
existence,0,0,0,0,0,6,0,0,0
void,0,0,0,0,0,2,0,0,0
zero,0,0,0,0,0,0,3,0,0
lose,0,0,0,0,0,0,0,3,0
meaning,0,0,0,0,0,1,0,0,0
cosmo,0,0,0,0,0,3,0,0,0
qualitatively,0,0,2,0,0,0,0,0,0
govern,0,0,0,0,0,0,0,5,0
law,0,0,0,0,0,53,0,0,0
terrestrial,3,0,0,0,0,0,0,0,0
rectilinear,1,0,0,0,0,0,0,0,0
heavy,11,0,0,0,0,0,0,0,0
seek,0,0,0,0,0,0,0,7,0
downward,0,0,1,0,0,0,0,0,0
unnatural,2,0,0,0,0,0,0,0,0
violent,1,0,0,0,0,0,0,0,0
external,2,0,0,0,0,0,0,0,0
direct,5,0,0,0,0,0,0,1,0
naturally,0,0,1,0,0,0,0,0,0
upward,0,0,1,0,0,0,0,0,0
mathematic,0,0,0,0,0,6,0,0,0
solution,0,0,0,0,0,7,0,0,0
brilliantly,0,0,3,0,0,0,0,0,0
employ,0,0,0,0,0,0,0,7,0
assumption,0,0,0,0,0,13,0,0,0
insight,0,0,0,0,0,2,0,0,0
lead,0,0,0,0,0,2,0,18,0
demonstration,0,0,0,0,0,3,0,0,0
particularly,0,0,3,0,0,0,0,0,0
static,3,0,0,0,0,1,0,0,0
hydrostatic,0,0,0,0,0,1,0,0,0
lever,0,0,0,0,0,1,0,0,0
rigorously,0,0,1,0,0,0,0,0,0
equilibrium,0,0,0,0,0,2,0,0,0
float,0,0,0,0,0,0,0,2,0
reach,0,0,0,0,0,1,0,3,0
zenith,0,0,0,0,0,1,0,0,0
lack,0,0,0,0,0,2,0,1,0
reduce,0,0,0,0,0,0,0,3,0
level,0,0,0,0,0,6,0,0,0
predigest,0,0,0,0,0,0,0,1,0
handbook,0,0,0,0,0,1,0,0,0
encyclopaedia,0,0,0,0,0,1,0,0,0
distil,0,0,0,0,0,0,0,1,0
social,1,0,0,0,0,0,0,0,0
political,1,0,0,0,0,0,0,0,0
persecution,0,0,0,0,0,1,0,0,0
anti,1,0,0,0,0,0,0,0,0
intellectual,1,0,0,0,0,0,0,0,0
bias,0,0,0,0,0,1,0,0,0
drive,0,0,0,0,0,0,0,5,0
find,0,0,0,0,0,0,0,20,0
welcome,0,0,0,0,0,1,0,0,0
stimulate,0,0,0,0,0,0,0,3,0
subject,2,0,0,0,0,1,0,0,0
text,0,0,0,0,0,3,0,0,0
preserve,0,0,0,0,0,0,0,1,0
arabic,1,0,0,0,0,0,0,0,0
translation,0,0,0,0,0,2,0,0,0
alter,0,0,0,0,0,0,0,3,0
foundation,0,0,0,0,0,5,0,0,0
learning,0,0,0,0,0,1,0,0,0
revive,0,0,0,0,0,0,0,3,0
scholar,0,0,0,0,0,3,0,0,0
islamic,1,0,0,0,0,0,0,0,0
spate,0,0,0,0,0,1,0,0,0
revival,0,0,0,0,0,1,0,0,0
coincide,0,0,0,0,0,0,0,1,0
university,0,0,0,0,0,3,0,0,0
predominantly,0,0,1,0,0,0,0,0,0
high,7,0,0,0,0,0,0,0,0
sophistication,0,0,0,0,0,1,0,0,0
prepare,0,0,0,0,0,0,0,1,0
ground,0,0,0,0,0,1,0,0,0
revolution,0,0,0,0,0,17,0,0,0
muslim,1,0,0,0,0,0,0,0,0
write,0,0,0,0,0,0,0,3,0
page,0,0,0,0,0,2,0,0,0
mechanics,0,0,0,0,0,1,0,0,0
highly,0,0,4,0,0,0,0,0,0
developed,1,0,0,0,0,0,0,0,0
operate,0,0,0,0,0,0,0,2,0
medieval,4,0,0,0,0,0,0,0,0
criticize,0,0,0,0,0,0,0,1,0
projectile,1,0,0,0,0,8,0,0,0
crucial,2,0,0,0,0,0,0,0,0
analysis,0,0,0,0,0,9,0,0,0
continuation,0,0,0,0,0,2,0,0,0
continue,0,0,0,0,0,0,0,8,0
action,0,0,0,0,0,8,0,0,0
motive,0,0,0,0,0,3,0,0,0
contact,0,0,0,0,0,1,0,0,0
projector,0,0,0,0,0,1,0,0,0
propose,0,0,0,0,0,0,0,30,0
hoc,0,0,0,0,0,0,0,0,1
render,0,0,0,0,0,0,0,4,0
unsatisfactory,1,0,0,0,0,0,0,0,0
commentator,0,0,0,0,0,1,0,0,0
retain,0,0,0,0,0,0,0,1,0
fundamental,12,0,0,0,0,0,0,0,0
fruitful,1,0,0,0,0,0,0,0,0
alternative,1,0,0,0,0,1,0,0,0
concept,0,0,0,0,0,8,0,0,0
impressed,2,0,0,0,0,0,0,0,0
incorporeal,1,0,0,0,0,0,0,0,0
impart,0,0,0,0,0,0,0,1,0
espouse,0,0,0,0,0,0,0,1,0
flourish,0,0,0,0,0,0,0,1,0
persian,1,0,0,0,0,0,0,0,0
die,0,0,0,0,0,0,0,3,0
french,12,0,0,0,0,0,0,0,0
version,0,0,0,0,0,3,0,0,0
quality,0,0,0,0,0,4,0,0,0
impress,0,0,0,0,0,0,0,4,0
impetus,0,0,0,0,0,3,0,0,0
permanent,3,0,0,0,0,0,0,0,0
measurable,3,0,0,0,0,0,0,0,0
initial,3,0,0,0,0,0,0,0,0
