word,ADJ,ADP,ADV,NOUN,VERB
combat,0,0,0,0,1
harmful,1,0,0,0,0
help,0,0,0,0,10
digest,0,0,0,0,4
normally,0,0,1,0,0
release,0,0,0,1,5
damage,0,0,0,1,1
disappear,0,0,0,0,1
entire,2,0,0,0,0
death,0,0,0,1,0
necrosis,0,0,0,1,0
specialize,0,0,0,0,3
make,0,0,0,0,10
define,0,0,0,0,1
border,0,0,0,1,0
distinct,1,0,0,0,0
show,0,0,0,0,8
basic,2,0,0,0,0
rigid,4,0,0,0,0
execute,0,0,0,0,1
task,0,0,0,1,0
red,13,0,0,0,0
mammal,0,0,0,2,0
lung,0,0,0,11,0
hemoglobin,0,0,0,1,0
iron,0,0,0,1,0
rich,2,0,0,0,0
choanocyte,0,0,0,1,0
collar,0,0,0,2,0
line,0,0,0,0,6
central,7,0,0,0,0
cavity,0,0,0,1,0
sponge,0,0,0,2,0
capture,0,0,0,0,3
absorb,0,0,0,0,14
current,0,0,0,2,0
flagella,0,0,0,1,0
whiplike,1,0,0,0,0
create,0,0,0,0,3
draw,0,0,0,0,1
neuron,0,0,0,16,0
trait,0,0,0,1,0
ability,0,0,0,2,0
respond,0,0,0,0,1
quickly,0,0,3,0,0
internal,2,0,0,0,0
external,1,0,0,0,0
stimulus,0,0,0,1,0
spin,0,0,0,0,1
hear,0,0,0,0,2
crash,0,0,0,1,0
system,0,0,0,11,0
coordinate,0,0,0,0,1
response,0,0,0,1,0
nervous,3,0,0,0,0
vertebrate,0,0,0,1,0
backbone,0,0,0,1,0
sensory,4,0,0,0,0
girl,0,0,0,1,0
lap,0,0,0,0,1
noise,0,0,0,1,0
feel,0,0,0,0,4
dog,0,0,0,1,0
pull,0,0,0,0,3
leash,0,0,0,1,0
long,7,0,2,0,0
wirelike,1,0,0,0,0
extension,0,0,0,1,0
thread,0,0,0,1,0
foot,0,0,0,1,0
telephone,0,0,0,1,0
wire,0,0,0,1,0
connect,0,0,0,0,3
transmit,0,0,0,0,2
message,0,0,0,8,0
stretch,0,0,0,0,1
human,2,0,0,4,0
brain,0,0,0,3,0
spinal,2,0,0,0,0
cord,0,0,0,2,0
motor,0,0,0,3,0
sensation,0,0,0,1,0
pressure,0,0,0,4,0
heat,0,0,0,2,0
cold,0,0,0,1,0
pain,0,0,0,1,0
ear,0,0,0,1,0
move,0,0,0,0,2
arm,0,0,0,1,0
leg,0,0,0,1,0
dendrite,0,0,0,4,0
receive,0,0,0,0,2
conduct,0,0,0,0,1
impulse,0,0,0,1,0
input,0,0,0,1,0
arrive,0,0,0,0,1
integrate,0,0,0,0,1
interneuron,0,0,0,1,0
accidentally,0,0,1,0,0
touch,0,0,0,0,1
hot,3,0,0,0,0
stove,0,0,0,2,0
immediately,0,0,1,0,0
hand,0,0,0,2,0
remove,0,0,0,0,1
chain,0,0,0,2,0
branchlike,2,0,0,0,0
end,0,0,0,6,0
axon,0,0,0,1,0
neighbor,0,0,0,0,1
reach,0,0,0,0,2
appropriate,1,0,0,0,0
destination,0,0,0,1,0
compact,2,0,0,0,0
arrange,0,0,0,0,2
concentric,4,0,0,0,0
circle,0,0,0,7,0
look,0,0,0,0,7
cut,0,0,0,1,1
slice,0,0,0,2,0
onion,0,0,0,1,0
actually,0,0,4,0,0
hollow,3,0,0,0,0
fill,0,0,0,0,3
yellow,5,0,0,0,0
marrow,0,0,0,6,0
white,1,0,0,0,0
new,6,0,0,0,0
repair,0,0,0,0,1
consume,0,0,0,0,4
self,0,0,0,3,0
ensure,0,0,0,0,1
remain,0,0,0,0,3
room,0,0,0,2,0
grow,0,0,0,0,10
childhood,0,0,0,1,0
adulthood,0,0,0,1,0
order,0,0,0,2,0
thank,0,0,0,1,0
continuously,0,0,1,0,0
individual,3,0,0,0,0
shorten,0,0,0,0,1
lengthen,0,0,0,0,1
contract,0,0,0,0,2
tired,1,0,0,0,0
run,0,0,0,0,3
time,0,0,0,2,0
provide,0,0,0,0,9
combine,0,0,0,0,1
combination,0,0,0,1,0
athlete,0,0,0,3,0
get,0,0,0,0,2
sure,1,0,0,0,0
demand,0,0,0,0,1
conversely,0,0,1,0,0
idle,1,0,0,0,0
experience,0,0,0,0,1
reverse,1,0,0,0,0
dark,3,0,0,0,0
magnify,0,0,0,0,4
image,0,0,0,4,0
autonomic,1,0,0,0,0
consciously,0,0,1,0,0
epithelial,15,0,0,0,0
ileum,0,0,0,2,0
intestine,0,0,0,4,0
lining,0,0,0,2,0
vessel,0,0,0,7,0
cover,0,0,0,0,3
come,0,0,0,0,4
flat,5,0,0,0,0
cube,0,0,0,1,0
shaped,1,0,0,0,0
columnar,1,0,0,0,0
air,0,0,0,9,0
alveoli,0,0,0,3,0
extremely,0,0,1,0,0
gas,0,0,0,8,0
squamous,2,0,0,0,0
appearance,0,0,0,1,0
plate,0,0,0,1,0
flow,0,0,0,0,3
easily,0,0,2,0,0
damaged,1,0,0,0,0
case,0,0,0,1,0
covering,0,0,0,1,0
epidermis,0,0,0,5,0
tough,2,0,0,0,0
protect,0,0,0,0,3
beneath,0,0,1,0,0
germ,0,0,0,2,0
environmental,1,0,0,0,0
hazard,0,0,0,1,0
possibly,0,0,1,0,0
cause,0,0,0,0,6
infection,0,0,0,1,0
lose,0,0,0,0,6
minute,0,0,0,2,0
day,0,0,0,3,0
wash,0,0,0,0,1
rub,0,0,0,0,1
regenerate,0,0,0,0,1
notice,0,0,0,0,1
pound,0,0,0,1,0
kilogram,0,0,0,1,0
dead,1,0,1,0,0
year,0,0,0,4,0
main,2,0,0,0,0
breathe,0,0,0,0,6
easy,3,0,0,0,0
reason,0,0,0,2,0
addition,0,0,0,3,0
thick,6,0,0,0,0
identify,0,0,0,0,1
flexible,1,0,0,0,0
cellulose,0,0,0,5,0
maintain,0,0,0,0,1
mechanical,1,0,0,0,0
link,0,0,0,0,2
major,2,0,0,0,0
raw,1,0,0,0,0
component,0,0,0,2,0
production,0,0,0,2,0
manufacture,0,0,0,0,2
rayon,0,0,0,1,0
historically,0,0,1,0,0
paper,0,0,0,1,0
cotton,0,0,0,1,0
percent,0,0,0,3,0
today,0,0,0,1,0
hardwood,0,0,0,1,0
softwood,0,0,0,1,0
source,0,0,0,1,0
papermaking,0,0,0,1,0
primarily,0,0,1,0,0
vacuole,0,0,0,13,0
mature,1,0,0,0,0
watery,1,0,0,0,0
bag,0,0,0,1,0
chemical,3,0,0,2,0
dangerous,1,0,0,0,0
feature,0,0,0,0,1
chloroplast,0,0,0,15,0
aid,0,0,0,0,2
growth,0,0,0,2,0
occur,0,0,0,0,6
elongate,0,0,0,0,1
contrast,0,0,0,1,0
organic,1,0,0,0,0
expand,0,0,0,0,1
stiff,3,0,0,0,0
turgor,0,0,0,3,0
wilt,0,0,0,0,3
transpiration,0,0,0,2,0
leave,0,0,0,24,1
constantly,0,0,2,0,0
evaporation,0,0,0,1,0
true,2,0,0,0,0
sunny,2,0,0,0,0
summer,0,0,0,2,0
evaporate,0,0,0,0,1
shrink,0,0,0,0,1
concentration,0,0,0,4,0
mineral,0,0,0,4,0
sugar,0,0,0,8,0
leaf,0,0,0,12,0
high,3,0,0,0,0
warm,2,0,0,0,0
low,1,0,0,0,0
stem,0,0,0,19,0
rate,0,0,0,2,0
vary,0,0,0,0,2
soil,0,0,0,5,0
pigment,0,0,0,8,0
chlorophyll,0,0,0,6,0
unripe,1,0,0,0,0
fruit,0,0,0,6,0
photosynthesis,0,0,0,26,0
light,6,0,0,6,0
sun,0,0,0,3,0
trap,0,0,0,0,4
wear,0,0,0,0,1
black,1,0,0,0,0
shirt,0,0,0,1,0
color,0,0,0,9,0
likely,0,0,1,0,0
normal,1,0,0,0,0
plastid,0,0,0,2,0
chromoplast,0,0,0,2,0
carotenoid,0,0,0,2,0
flower,0,0,0,3,0
autumn,0,0,0,2,0
orange,2,0,0,1,0
hue,0,0,0,1,0
convert,0,0,0,0,1
change,0,0,0,2,1
characteristic,1,0,0,0,0
sign,0,0,0,1,0
ripe,1,0,0,0,0
ready,1,0,0,0,0
enclose,0,0,0,0,1
stroma,0,0,0,1,0
dissolve,0,0,0,0,4
lamella,0,0,0,1,0
close,0,0,0,0,3
disk,0,0,0,2,0
thylakoid,0,0,0,1,0
fall,0,0,0,3,0
foliage,0,0,0,2,0
colorful,1,0,0,0,0
carotene,0,0,0,2,0
xanthophyll,0,0,0,1,0
cactus,0,0,0,8,0
adapt,0,0,0,0,1
little,1,0,0,0,0
loss,0,0,0,1,0
happen,0,0,0,0,3
reduce,0,0,0,0,1
spine,0,0,0,2,0
determine,0,0,0,0,1
position,0,0,0,1,0
sunlight,0,0,0,5,0
absorption,0,0,0,2,0
spongy,1,0,0,0,0
droop,0,0,0,0,1
drop,0,0,0,0,2
support,0,0,0,2,4
start,0,0,0,0,1
die,0,0,0,0,4
undergo,0,0,0,0,2
plasmolysis,0,0,0,1,0
shrivel,0,0,0,0,1
strength,0,0,0,3,0
blue,1,0,0,0,0
ray,0,0,0,2,0
reflect,0,0,0,0,2
tannin,0,0,0,1,0
abundant,2,0,0,0,0
brown,1,0,0,0,0
display,0,0,0,0,1
stunning,1,0,0,0,0
array,0,0,0,1,0
gather,0,0,0,0,1
nutrient,0,0,0,3,0
nonvascular,2,0,0,0,0
moss,0,0,0,1,0
liverwort,0,0,0,1,0
section,0,0,0,4,0
oak,0,0,0,2,0
fluid,0,0,0,1,0
stump,0,0,0,1,0
branch,0,0,0,2,1
distribute,0,0,0,0,1
transportation,0,0,0,2,0
highway,0,0,0,1,0
walled,1,0,0,0,0
join,0,0,0,0,2
microscopic,2,0,0,0,0
firm,1,0,0,0,0
wood,0,0,0,1,0
stalk,0,0,0,3,0
blade,0,0,0,2,0
grass,0,0,0,1,0
upright,1,0,2,0,0
tall,1,0,0,0,0
convey,0,0,0,0,1
sap,0,0,0,1,0
tend,0,0,0,0,1
pith,0,0,0,2,0
organize,0,0,0,0,2
strand,0,0,0,3,0
bundle,0,0,0,2,0
waxy,1,0,0,0,0
waterproof,1,0,0,0,0
coating,0,0,0,3,0
herbaceous,1,0,0,0,0
nonwoody,1,0,0,0,0
mainly,0,0,2,0,0
parenchyma,0,0,0,8,0
packing,0,0,0,1,0
collenchyma,0,0,0,6,0
woody,1,0,0,0,0
bark,0,0,0,1,0
diameter,0,0,0,1,0
probably,0,0,1,0,0
spring,0,0,0,1,0
slow,0,0,0,0,2
size,0,0,0,1,0
season,0,0,0,1,0
annual,1,0,0,0,0
ring,0,0,0,1,0
indicator,0,0,0,1,0
age,0,0,0,1,0
stoma,0,0,0,2,0
underside,0,0,0,3,0
camellia,0,0,0,1,0
vein,0,0,0,1,0
petiole,0,0,0,1,0
base,0,0,0,1,0
opening,0,0,0,2,0
exchange,0,0,0,1,1
take,0,0,0,0,3
pair,0,0,0,2,0
guard,0,0,0,6,0
thousand,0,0,0,1,0
kidney,0,0,0,1,0
bean,0,0,0,1,0
typical,1,0,0,0,0
cylinder,0,0,0,3,0
open,1,0,0,0,1
cap,0,0,0,2,0
tip,0,0,0,5,0
division,0,0,0,1,0
zone,0,0,0,2,0
elongation,0,0,0,2,0
differentiation,0,0,0,1,0
fully,0,0,1,0,0
functional,1,0,0,0,0
digestion,0,0,0,1,0
absorptive,1,0,0,0,0
property,0,0,0,1,0
hair,0,0,0,1,0
maximum,2,0,0,0,0
carrot,0,0,0,3,0
salad,0,0,0,1,0
core,0,0,0,2,0
slightly,0,0,1,0,0
cortex,0,0,0,1,0
meristem,0,0,0,1,0
push,0,0,0,0,1
far,0,0,2,0,0
simple,3,0,0,0,0
dermal,1,0,0,0,0
sclerenchyma,0,0,0,3,0
particularly,0,0,1,0,0
maturity,0,0,0,3,0
retain,0,0,0,0,1
differ,0,0,0,0,1
celery,0,0,0,1,0
lignin,0,0,0,1,0
great,1,0,0,0,0
intact,1,0,0,0,0
life,0,0,0,3,0
natural,1,0,0,0,0
solar,1,0,0,0,0
panel,0,0,0,1,0
require,0,0,0,0,6
equation,0,0,0,7,0
reaction,0,0,0,3,0
confusing,1,0,0,0,0
formula,0,0,0,1,0
atom,0,0,0,4,0
abbreviate,0,0,0,0,3
hydrogen,0,0,0,1,0
zoom,0,0,0,0,1
left,0,0,0,1,0
palisade,0,0,0,1,0
upper,1,0,0,0,0
incoming,1,0,0,0,0
enter,0,0,0,0,2
stomata,0,0,0,2,0
flank,0,0,0,0,1
extensive,1,0,0,0,0
bring,0,0,0,0,1
deforestation,0,0,0,2,0
cutting,0,0,0,1,0
forest,0,0,0,4,0
problem,0,0,0,1,0
feed,0,0,0,0,2
autotrophic,1,0,0,0,0
autotroph,0,0,0,1,0
scientist,0,0,0,2,0
advocate,0,0,0,0,1
restoration,0,0,0,1,0
means,0,0,0,1,0
global,2,0,0,0,0
warming,0,0,0,2,0
ecological,1,0,0,0,0
crisis,0,0,0,1,0
level,0,0,0,1,0
greenhouse,0,0,0,2,0
atmosphere,0,0,0,2,0
rise,0,0,0,1,0
average,1,0,0,0,0
temperature,0,0,0,1,0
past,1,0,0,0,0
century,0,0,0,1,0
suggest,0,0,0,0,1
directly,0,0,1,0,0
herbivore,0,0,0,1,0
carnivore,0,0,0,1,0
basically,0,0,1,0,0
opposite,1,0,0,0,0
second,1,0,0,0,0
inextricably,0,0,1,0,0
necessary,2,0,0,0,0
inhale,0,0,0,1,1
fish,0,0,0,3,0
gill,0,0,0,6,0
extract,0,0,0,0,1
environment,0,0,0,1,0
exhale,0,0,0,0,1
spread,0,0,0,0,2
circulatory,3,0,0,0,0
vast,1,0,0,0,0
constant,1,0,0,0,0
supply,0,0,0,1,1
bloodstream,0,0,0,2,0
beginning,0,0,0,1,0
complete,1,0,0,0,0
loop,0,0,0,1,0
adult,1,0,0,0,0
frog,0,0,0,2,0
begin,0,0,0,0,2
tadpole,0,0,0,1,0
mammalian,1,0,0,0,0
huge,1,0,0,0,0
bronchus,0,0,0,1,0
bronchiole,0,0,0,2,0
exposure,0,0,0,1,0
alveolus,0,0,0,1,0
moist,1,0,0,0,0
capillary,0,0,0,2,0
pick,0,0,0,0,1
coexist,0,0,0,0,1
flourish,0,0,0,0,1
fundamental,1,0,0,0,0
relationship,0,0,0,2,0
interconnection,0,0,0,1,0
bee,0,0,0,1,0
pollinate,0,0,0,0,1
nectar,0,0,0,1,0
disperse,0,0,0,0,1
seed,0,0,0,2,0
stuck,1,0,0,0,0
fur,0,0,0,1,0
paw,0,0,0,1,0
wren,0,0,0,2,0
bug,0,0,0,1,0
turn,0,0,0,1,0
bird,0,0,0,1,0
interdependence,0,0,0,1,0
basis,0,0,0,1,0
science,0,0,0,1,0
ecology,0,0,0,1,0
learn,0,0,0,0,1
understand,0,0,0,0,1
biological,1,0,0,0,0
filament,0,0,0,3,0
mouth,0,0,0,3,0
force,0,0,0,0,1
opercula,0,0,0,1,0
delicate,1,0,0,0,0
strain,0,0,0,0,1
device,0,0,0,1,0
raker,0,0,0,1,0
prevent,0,0,0,0,1
debris,0,0,0,1,0
injure,0,0,0,0,1
