word,ADJ,ADP,ADV,DET,NOUN,PUNCT,SCONJ,VERB,X
grow,0,0,0,0,0,0,0,20,0
crop,0,0,0,0,8,0,0,0,0
know,0,0,0,0,0,0,0,8,0
oasis,0,0,0,0,9,0,0,0,0
available,6,0,0,0,0,0,0,0,0
occupy,0,0,0,0,0,0,0,5,0
land,0,0,0,0,22,0,0,1,0
dominate,0,0,0,0,0,0,0,1,0
extend,0,0,0,0,0,0,0,5,0
forest,0,0,0,0,39,0,0,0,0
vary,0,0,0,0,0,0,0,3,0
soil,0,0,0,0,16,0,0,0,0
example,0,0,0,0,16,0,0,0,0
close,0,0,2,0,0,0,0,0,0
short,9,0,0,0,0,0,0,0,0
bunch,0,0,0,0,2,0,0,0,0
tropical,41,0,0,0,0,0,0,0,0
call,0,0,0,0,0,0,0,22,0
savanna,0,0,0,0,18,0,0,0,0
mark,0,0,0,0,0,0,0,1,0
dry,22,0,0,0,0,0,0,2,0
season,0,0,0,0,14,0,0,0,0
yield,0,0,0,0,0,0,0,1,0
coarse,3,0,1,0,0,0,0,0,0
stiff,2,0,0,0,0,0,0,0,0
prairie,0,0,0,0,15,0,0,0,0
temperature,0,0,0,0,14,0,0,0,0
extreme,1,0,0,0,0,0,0,0,0
tall,11,0,0,0,0,0,0,0,0
alongside,0,1,0,0,0,0,0,0,0
fertile,1,0,0,0,0,0,0,0,0
steppe,3,0,0,0,10,0,0,0,0
tend,0,0,0,0,0,0,0,3,0
shallow,6,0,0,0,0,0,0,0,0
root,0,0,0,0,6,0,0,0,0
system,0,0,0,0,5,0,0,0,0
make,0,0,0,0,0,0,0,3,0
herbivorous,2,0,0,0,0,0,0,0,0
eat,0,0,0,0,0,0,0,4,0
turn,0,0,0,0,2,0,0,1,0
attract,0,0,0,0,0,0,0,2,0
carnivore,0,0,0,0,1,0,0,0,0
meat,0,0,0,0,1,0,0,0,0
eater,0,0,0,0,1,0,0,0,0
teem,0,0,0,0,0,0,0,1,0
zebra,0,0,0,0,2,0,0,0,0
lion,0,0,0,0,3,0,0,0,0
kangaroo,0,0,0,0,1,0,0,0,0
hawk,0,0,0,0,1,0,0,0,0
horse,0,0,0,0,3,0,0,0,0
dog,0,0,0,0,1,0,0,0,0
verdant,1,0,0,0,0,0,0,0,0
feature,0,0,0,0,4,0,0,1,0
leaved,3,0,0,0,0,0,0,0,0
evergreen,4,0,0,0,0,0,0,0,0
rainfall,0,0,0,0,22,0,0,0,0
upper,7,0,0,0,0,0,0,0,0
layer,0,0,0,0,9,0,0,0,0
create,0,0,0,0,0,0,0,9,0
canopy,0,0,0,0,10,0,0,0,0
thick,6,0,0,0,0,0,0,0,0
sunlight,0,0,0,0,5,0,0,0,0
rarely,0,0,2,0,0,0,0,0,0
shine,0,0,0,0,0,0,0,1,0
low,14,0,0,0,0,0,0,0,0
foliage,0,0,0,0,2,0,0,0,0
incredible,1,0,0,0,0,0,0,0,0
diversity,0,0,0,0,8,0,0,0,0
orchid,0,0,0,0,3,0,0,0,0
liana,0,0,0,0,4,0,0,0,0
orangutan,0,0,0,0,2,0,0,0,0
bat,0,0,0,0,4,0,0,0,0
bird,0,0,0,0,27,0,0,0,0
frog,0,0,0,0,5,0,0,0,0
specie,0,0,0,0,46,0,0,0,0
occur,0,0,0,0,0,0,0,14,0
warm,4,0,0,0,0,0,0,0,0
clime,0,0,0,0,1,0,0,0,0
subtropical,9,0,0,0,0,0,0,0,0
lie,0,0,0,0,0,0,0,7,0
equatorial,9,0,0,0,0,0,0,0,0
generally,0,0,8,0,0,0,0,0,0
fluctuate,0,0,0,0,0,0,0,1,0
unevenly,0,0,4,0,0,0,0,0,0
distribute,0,0,0,0,0,0,0,4,0
montane,1,0,0,0,2,0,0,0,0
seasonal,6,0,0,0,0,0,0,0,0
diverge,0,0,0,0,0,0,0,1,0
classical,2,0,0,0,0,0,0,0,0
definition,0,0,0,0,3,0,0,0,0
period,0,0,0,0,7,0,0,0,0
intense,1,0,0,0,0,0,0,0,0
moisture,0,0,0,0,9,0,0,0,0
certainly,0,0,1,0,0,0,0,0,0
ample,1,0,0,0,0,0,0,0,0
portion,0,0,0,0,2,0,0,0,0
globe,0,0,0,0,1,0,0,0,0
page,0,0,0,0,1,0,0,0,0
sweeping,1,0,0,0,0,0,0,0,0
look,0,0,0,0,1,0,0,1,0
captivating,1,0,0,0,0,0,0,0,0
flora,0,0,0,0,1,0,0,0,0
fauna,0,0,0,0,1,0,0,0,0
certain,6,0,0,0,0,0,0,0,0
type,0,0,0,0,11,0,0,0,0
live,0,0,0,0,0,0,0,11,0
thing,0,0,0,0,1,0,0,0,0
barren,6,0,0,0,0,0,0,0,0
support,0,0,0,0,2,0,0,4,0
life,0,0,0,0,18,0,0,0,0
commonly,0,0,1,0,0,0,0,0,0
term,0,0,0,0,6,0,0,1,0
reserve,0,0,0,0,0,0,0,1,0
characterize,0,0,0,0,0,0,0,1,0
specialized,1,0,0,0,0,0,0,0,0
tolerate,0,0,0,0,0,0,0,1,0
drought,0,0,0,0,4,0,0,0,0
salty,1,0,0,0,0,0,0,0,0
windswept,1,0,0,0,0,0,0,0,0
expanse,0,0,0,0,2,0,0,0,0
loose,1,0,0,0,0,0,0,0,0
rugged,3,0,0,0,0,0,0,0,0
mountain,0,0,0,0,10,0,0,0,0
plateau,0,0,0,0,4,0,0,0,0
strew,0,0,0,0,0,0,0,2,0
gravel,0,0,0,0,3,0,0,0,0
shortage,0,0,0,0,2,0,0,0,0
precise,1,0,0,0,0,0,0,0,0
measure,0,0,0,0,1,0,0,0,0
characteristically,0,0,4,0,0,0,0,0,0
average,6,0,0,0,2,0,0,2,0
inch,0,0,0,0,11,0,0,0,0
centimeter,0,0,0,0,10,0,0,0,0
year,0,0,0,0,21,0,0,0,0
half,0,0,0,2,2,0,0,0,0
yearly,0,0,1,0,0,0,0,0,0
annual,8,0,0,0,0,0,0,0,0
semidesert,0,0,0,0,1,0,0,0,0
factor,0,0,0,0,4,0,0,0,0
influence,0,0,0,0,0,0,0,1,0
distribution,0,0,0,0,1,0,0,0,0
humidity,0,0,0,0,1,0,0,0,0
air,0,0,0,0,10,0,0,0,0
sunshine,0,0,0,0,1,0,0,0,0
play,0,0,0,0,0,0,0,1,0
role,0,0,0,0,1,0,0,0,0
focus,0,0,0,0,0,0,0,2,0
imbalance,0,0,0,0,1,0,0,0,0
lose,0,0,0,0,0,0,0,9,0
evaporation,0,0,0,0,4,0,0,0,0
leave,0,0,0,0,7,0,0,7,0
southwestern,2,0,0,0,0,0,0,0,0
potential,2,0,0,0,1,0,0,0,0
present,4,0,0,0,0,0,0,0,0
time,0,0,0,0,11,0,0,0,0
actual,1,0,0,0,0,0,0,0,0
sparse,1,0,0,0,0,0,0,0,0
sporadic,1,0,0,0,0,0,0,0,0
lack,0,0,0,0,1,0,0,1,0
mean,0,0,0,0,0,0,0,2,0
erratic,1,0,0,0,0,0,0,0,0
day,0,0,0,0,3,0,0,0,0
storm,0,0,0,0,2,0,0,0,0
northern,3,0,0,0,0,0,0,0,0
fifth,2,0,0,0,1,0,0,0,0
bring,0,0,0,0,0,0,0,4,0
fall,0,0,0,0,2,0,0,3,0
single,4,0,0,0,0,0,0,0,0
shower,0,0,0,0,1,0,0,0,0
widely,0,0,3,0,0,0,0,0,0
daytime,0,0,0,0,2,0,0,0,0
regularly,0,0,2,0,0,0,0,0,0
exceed,0,0,0,0,0,0,0,2,0
summer,0,0,0,0,6,0,0,0,0
hold,0,0,0,0,0,0,0,2,0
record,0,0,0,0,1,0,0,0,0
high,21,0,0,0,2,0,0,0,0
come,0,0,0,0,0,0,0,7,0
winter,0,0,0,0,5,0,0,0,0
locate,0,0,0,0,0,0,0,2,0
far,0,0,5,0,0,0,0,0,0
tundra,0,0,0,0,2,0,0,0,0
pole,0,0,0,0,2,0,0,0,0
drop,0,0,0,0,0,0,0,1,0
sharply,0,0,1,0,0,0,0,0,0
night,0,0,0,0,2,0,0,0,0
cloudless,1,0,0,0,0,0,0,0,0
sky,0,0,0,0,1,0,0,0,0
earth,0,0,0,0,1,0,0,0,0
furnish,0,0,0,0,0,0,0,1,0
ideal,1,0,0,0,0,0,0,0,0
cooling,0,0,0,0,1,0,0,0,0
sunset,0,0,0,0,1,0,0,0,0
hour,0,0,0,0,3,0,0,0,0
common,7,0,0,0,0,0,0,0,0
near,0,7,0,0,0,0,0,0,0
respectively,0,0,1,0,0,0,0,0,0
couple,0,0,0,0,1,0,0,0,0
coastal,1,0,0,0,0,0,0,0,0
keep,0,0,0,0,0,0,0,1,0
ocean,0,0,0,0,2,0,0,0,0
current,0,0,0,0,1,0,0,0,0
straddle,0,0,0,0,0,0,0,1,0
wet,6,0,0,0,0,0,0,0,0
predominant,1,0,0,0,0,0,0,0,0
circulation,0,0,0,0,1,0,0,0,0
pattern,0,0,0,0,7,0,0,0,0
descend,0,0,0,0,0,0,0,2,0
heat,0,0,0,0,4,0,0,1,0
prevent,0,0,0,0,0,0,0,2,0
mainly,0,0,2,0,0,0,0,0,0
small,16,0,0,0,0,0,0,0,0
western,3,0,0,0,0,0,0,0,0
southeastern,4,0,0,0,0,0,0,0,0
southern,7,0,0,0,0,0,0,0,0
separate,0,0,0,0,0,0,0,4,0
coast,0,0,0,0,3,0,0,0,0
great,9,0,0,0,0,0,0,0,0
distance,0,0,0,0,2,0,0,0,0
pick,0,0,0,0,0,0,0,1,0
reach,0,0,0,0,0,0,0,10,0
nearer,0,1,0,0,0,0,0,0,0
point,0,0,0,0,1,0,0,0,0
famous,1,0,0,0,0,0,0,0,0
scene,0,0,0,0,1,0,0,0,0
suffering,0,0,0,0,1,0,0,0,0
gold,0,0,0,0,2,0,0,0,0
rush,0,0,0,0,1,0,0,1,0
seeker,0,0,0,0,1,0,0,0,0
nearly,0,0,4,0,0,0,0,0,0
sear,0,0,0,0,0,0,0,1,0
give,0,0,0,0,0,0,0,4,0
valley,0,0,0,0,5,0,0,0,0
grim,1,0,0,0,0,0,0,0,0
deep,3,0,3,0,0,0,0,0,0
trough,0,0,0,0,1,0,0,0,0
west,0,0,0,0,1,0,0,0,0
steep,2,0,0,0,0,0,0,0,0
slope,0,0,0,0,3,0,0,0,0
east,0,0,0,0,1,0,0,0,0
kilometer,0,0,0,0,5,0,0,0,0
long,12,0,2,0,0,0,0,0,0
wide,3,0,0,0,0,0,0,0,0
square,4,0,0,0,0,0,0,0,0
sea,0,0,0,0,5,0,0,0,0
level,0,0,0,0,9,0,0,0,0
contain,0,0,0,0,0,0,0,2,0
country,0,0,0,0,8,0,0,0,0
foot,0,0,0,0,12,0,0,0,0
meter,0,0,0,0,11,0,0,0,0
away,0,3,2,0,0,0,0,0,0
tower,0,0,0,0,0,0,0,1,0
scorch,0,0,0,0,0,0,0,1,0
despite,0,0,0,0,0,0,3,0,0
kind,0,0,0,0,5,0,0,0,0
thrive,0,0,0,0,0,0,0,1,0
rattlesnake,0,0,0,0,1,0,0,0,0
lizard,0,0,0,0,2,0,0,0,0
coyote,0,0,0,0,1,0,0,0,0
rabbit,0,0,0,0,1,0,0,0,0
roadrunner,0,0,0,0,1,0,0,0,0
bed,0,0,0,0,1,0,0,0,0
cut,0,0,0,0,0,0,0,5,0
series,0,0,0,0,1,0,0,0,0
channel,0,0,0,0,2,0,0,0,0
consist,0,0,0,0,0,0,0,5,0
third,0,0,0,0,4,0,0,0,0
national,1,0,0,0,0,0,0,0,0
park,0,0,0,0,1,0,0,0,0
ice,0,0,0,0,1,0,0,0,0
cap,0,0,0,0,1,0,0,0,0
dearth,0,0,0,0,1,0,0,0,0
cause,0,0,0,0,0,0,0,4,0
chiefly,0,0,1,0,0,0,0,0,0
differ,0,0,0,0,0,0,0,3,0
greatly,0,0,1,0,0,0,0,0,0
plateaus,0,0,0,0,1,0,0,0,0
plain,1,0,0,0,5,0,0,0,0
ground,0,0,0,0,11,0,0,0,0
scatter,0,0,0,0,0,0,0,3,0
pavement,0,0,0,0,1,0,0,0,0
stone,0,0,0,0,1,0,0,0,0
dune,0,0,0,0,4,0,0,0,0
spectacular,1,0,0,0,0,0,0,0,0
believe,0,0,0,0,0,0,0,2,0
sandy,1,0,0,0,0,0,0,0,0
arabian,1,0,0,0,0,0,0,0,0
total,1,0,0,0,0,0,0,0,0
accumulation,0,0,0,0,1,0,0,0,0
extensive,4,0,0,0,0,0,0,0,0
appear,0,0,0,0,0,0,0,1,0
erg,0,0,0,0,2,0,0,0,0
basin,0,0,0,0,7,0,0,0,0
bolson,0,0,0,0,2,0,0,0,0
downpour,0,0,0,0,1,0,0,0,0
gully,0,0,0,0,3,0,0,0,0
carry,0,0,0,0,0,0,0,4,0
fragment,0,0,0,0,1,0,0,0,0
material,0,0,0,0,3,0,0,0,0
free,0,0,0,0,0,0,0,1,0
slow,0,0,0,0,0,0,0,1,0
evaporate,0,0,0,0,0,0,0,2,0
deposit,0,0,0,0,0,0,0,1,0
cone,0,0,0,0,1,0,0,0,0
fan,0,0,0,0,8,0,0,0,0
sediment,0,0,0,0,2,0,0,0,0
alluvial,7,0,0,0,0,0,0,0,0
form,0,0,0,0,5,0,0,5,0
produce,0,0,0,0,1,0,0,3,0
way,0,0,0,0,8,0,0,0,0
terrain,0,0,0,0,2,0,0,0,0
badland,0,0,0,0,2,0,0,0,0
floodwater,0,0,0,0,1,0,0,0,0
temporary,2,0,0,0,0,0,0,0,0
lake,0,0,0,0,3,0,0,0,0
outlet,0,0,0,0,1,0,0,0,0
playa,0,0,0,0,4,0,0,0,0
soon,0,0,1,0,0,0,0,0,0
filtrate,0,0,0,0,0,0,0,1,0
clay,0,0,0,0,1,0,0,0,0
silt,0,0,0,0,1,0,0,0,0
salt,0,0,0,0,4,0,0,0,0
flat,4,0,0,0,1,0,0,0,0
bottomed,1,0,0,0,0,0,0,0,0
depression,0,0,0,0,1,0,0,0,0
narrow,2,0,0,0,0,0,0,0,0
edge,0,0,0,0,2,0,0,0,0
relief,0,0,0,0,1,0,0,0,0
gentle,1,0,0,0,0,0,0,0,0
downward,1,0,0,0,0,0,0,0,0
llano,0,0,0,0,2,0,0,0,0
rocky,1,0,0,0,0,0,0,0,0
hammada,0,0,0,0,3,0,0,0,0
fill,0,0,0,0,0,0,0,2,0
difference,0,0,0,0,1,0,0,0,0
altitude,0,0,0,0,5,0,0,0,0
usually,0,0,10,0,0,0,0,0,0
slight,1,0,0,0,0,0,0,0,0
dome,0,0,0,0,2,0,0,0,0
shaped,2,0,0,0,0,0,0,0,0
stream,0,0,0,0,5,0,0,1,0
wind,0,0,0,0,4,0,0,0,0
wear,0,0,0,0,0,0,0,2,0
weak,1,0,0,0,0,0,0,0,0
strong,1,0,0,0,0,0,0,0,0
formation,0,0,0,0,1,0,0,0,0
stand,0,0,0,0,0,0,0,1,0
boldly,0,0,1,0,0,0,0,0,0
mesa,0,0,0,0,1,0,0,0,0
cuesta,0,0,0,0,1,0,0,0,0
pinnacle,0,0,0,0,2,0,0,0,0
needle,0,0,0,0,1,0,0,0,0
arch,0,0,0,0,2,0,0,0,0
carve,0,0,0,0,0,0,0,1,0
lend,0,0,0,0,0,0,0,1,0
fantastic,1,0,0,0,0,0,0,0,0
beauty,0,0,0,0,2,0,0,0,0
force,0,0,0,0,1,0,0,0,0
torrent,0,0,0,0,1,0,0,0,0
wadi,0,0,0,0,2,0,0,0,0
arroyo,0,0,0,0,1,0,0,0,0
place,0,0,0,0,8,0,0,1,0
environment,0,0,0,0,7,0,0,0,0
host,0,0,0,0,2,0,0,1,0
specially,0,0,1,0,0,0,0,0,0
harsh,2,0,0,0,0,0,0,0,0
relatively,0,0,4,0,0,0,0,0,0
human,4,0,0,0,3,0,0,0,0
activity,0,0,0,0,6,0,0,0,0
profound,1,0,0,0,0,0,0,0,0
impact,0,0,0,0,2,0,0,0,0
ecosystem,0,0,0,0,6,0,0,0,0
part,0,0,0,0,5,0,0,0,0
seep,0,0,0,0,0,0,0,1,0
variety,0,0,0,0,5,0,0,0,0
spring,0,0,0,0,2,0,0,3,0
shrub,0,0,0,0,5,0,0,0,0
fragrant,1,0,0,0,0,0,0,0,0
brightly,0,0,2,0,0,0,0,0,0
colored,1,0,0,0,0,0,0,0,0
apart,0,0,1,0,0,0,0,0,0
instead,0,0,2,0,0,0,0,0,0
provide,0,0,0,0,0,0,0,5,0
complete,2,0,0,0,0,0,0,0,0
prominent,1,0,0,0,0,0,0,0,0
pilgrim,0,0,0,0,1,0,0,0,0
gather,0,0,0,0,0,0,0,1,0
state,0,0,0,0,2,0,0,0,0
sprout,0,0,0,0,0,0,0,1,0
quickly,0,0,2,0,0,0,0,0,0
ripen,0,0,0,0,0,0,0,1,0
seed,0,0,0,0,3,0,0,0,0
wither,0,0,0,0,0,0,0,2,0
die,0,0,0,0,0,0,0,1,0
survive,0,0,0,0,0,0,0,5,0
physiologically,0,0,1,0,0,0,0,0,0
inactive,2,0,0,0,0,0,0,0,0
swell,0,0,0,0,0,0,0,1,0
resume,0,0,0,0,0,0,0,1,0
depend,0,0,0,0,0,0,0,8,0
underground,2,0,1,0,0,0,0,0,0
able,1,0,0,0,0,0,0,0,0
absorb,0,0,0,0,0,0,0,1,0
dew,0,0,0,0,1,0,0,0,0
adaptation,0,0,0,0,1,0,0,0,0
help,0,0,0,0,0,0,0,3,0
loss,0,0,0,0,5,0,0,0,0
absent,1,0,0,0,0,0,0,0,0
extremely,0,0,1,0,0,0,0,0,0
succulent,1,0,0,0,0,0,0,0,0
store,0,0,0,0,0,0,0,1,0
fleshy,1,0,0,0,0,0,0,0,0
tissue,0,0,0,0,2,0,0,0,0
profile,0,0,0,0,3,0,0,0,0
stretch,0,0,0,0,2,0,0,2,0
useful,2,0,0,0,0,0,0,0,0
domestic,1,0,0,0,0,0,0,0,0
physical,2,0,0,0,0,0,0,0,0
structure,0,0,0,0,4,0,0,0,0
permit,0,0,0,0,0,0,0,2,0
wild,2,0,1,0,0,0,0,0,0
food,0,0,0,0,11,0,0,0,0
remain,0,0,0,0,0,0,0,5,0
hide,0,0,0,0,0,0,0,1,0
sun,0,0,0,0,2,0,0,0,0
feed,0,0,0,0,0,0,0,4,0
humid,6,0,0,0,0,0,0,0,0
strategy,0,0,0,0,1,0,0,0,0
migration,0,0,0,0,2,0,0,0,0
move,0,0,0,0,0,0,0,3,0
recently,0,0,1,0,0,0,0,0,0
genus,0,0,0,0,4,0,0,0,0
densely,0,0,2,0,0,0,0,0,0
populated,1,0,0,0,0,0,0,0,0
ordinary,2,0,0,0,0,0,0,0,0
well,1,0,3,0,3,0,0,0,0
table,0,0,0,0,1,0,0,0,0
boundary,0,0,0,0,1,0,0,0,0
groundwater,0,0,0,0,1,0,0,0,0
depth,0,0,0,0,1,0,0,0,0
sink,0,0,0,0,0,0,0,1,0
porous,1,0,0,0,0,0,0,0,0
tip,0,0,0,0,2,0,0,0,0
tap,0,0,0,0,0,0,0,1,0
supply,0,0,0,0,8,0,0,1,0
oasi,0,0,0,0,2,0,0,0,0
settlement,0,0,0,0,4,0,0,0,0
numerous,7,0,0,0,0,0,0,0,0
drain,0,0,0,0,0,0,0,1,0
hollow,0,0,0,0,1,0,0,0,0
signal,0,0,0,0,0,0,0,1,0
presence,0,0,0,0,1,0,0,0,0
artesian,2,0,0,0,0,0,0,0,0
bore,0,0,0,0,0,0,0,1,0
pressure,0,0,0,0,2,0,0,0,0
flow,0,0,0,0,0,0,0,2,0
crack,0,0,0,0,1,0,0,0,0
rise,0,0,0,0,0,0,0,2,0
rainy,5,0,0,0,0,0,0,0,0
outside,0,3,0,0,0,0,0,0,0
generous,1,0,0,0,0,0,0,0,0
irrigation,0,0,0,0,2,0,0,0,0
cross,0,0,0,0,0,0,0,1,0
exotic,1,0,0,0,0,0,0,0,0
river,0,0,0,0,9,0,0,0,0
productive,2,0,0,0,0,0,0,0,0
textured,1,0,0,0,0,0,0,0,0
highly,0,0,1,0,0,0,0,0,0
mineralized,1,0,0,0,0,0,0,0,0
cultivate,0,0,0,0,0,0,0,6,0
transport,0,0,0,0,0,0,0,2,0
floodplain,0,0,0,0,2,0,0,0,0
precious,1,0,0,0,0,0,0,0,0
intensively,0,0,1,0,0,0,0,0,0
african,5,0,0,0,0,0,0,0,0
asian,1,0,0,0,0,0,0,0,0
chief,1,0,0,0,0,0,0,0,0
date,0,0,0,0,2,0,0,0,0
fig,0,0,0,0,2,0,0,0,0
wheat,0,0,0,0,1,0,0,0,0
barley,0,0,0,0,1,0,0,0,0
rice,0,0,0,0,1,0,0,0,0
bean,0,0,0,0,1,0,0,0,0
farmer,0,0,0,0,6,0,0,0,0
raise,0,0,0,0,0,0,0,8,0
cotton,0,0,0,0,4,0,0,0,0
sugarcane,0,0,0,0,1,0,0,0,0
irrigated,2,0,0,0,0,0,0,0,0
citrus,0,0,0,0,1,0,0,0,0
fruit,0,0,0,0,1,0,0,0,0
vegetable,0,0,0,0,1,0,0,0,0
proper,1,0,0,0,0,0,0,0,0
development,0,0,0,0,2,0,0,0,0
critical,1,0,0,0,0,0,0,0,0
resource,0,0,0,0,1,0,0,0,0
improve,0,0,0,0,0,0,0,2,0
management,0,0,0,0,1,0,0,0,0
technique,0,0,0,0,1,0,0,0,0
control,0,0,0,0,2,0,0,0,0
storage,0,0,0,0,1,0,0,0,0
runoff,0,0,0,0,2,0,0,0,0
reduce,0,0,0,0,0,0,0,3,0
aquifer,0,0,0,0,1,0,0,0,0
desalt,0,0,0,0,0,0,0,1,0
brackish,1,0,0,0,0,0,0,0,0
buildup,0,0,0,0,1,0,0,0,0
problem,0,0,0,0,2,0,0,0,0
study,0,0,0,0,2,0,0,2,0
nation,0,0,0,0,1,0,0,0,0
introduction,0,0,0,0,1,0,0,0,0
tolerance,0,0,0,0,1,0,0,0,0
promising,1,0,0,0,0,0,0,0,0
alternative,0,0,0,0,1,0,0,0,0
abandon,0,0,0,0,0,0,0,2,0
giant,2,0,0,0,0,0,0,0,0
airport,0,0,0,0,1,0,0,0,0
gas,0,0,0,0,2,0,0,0,0
station,0,0,0,0,1,0,0,0,0
motor,0,0,0,0,1,0,0,0,0
vehicle,0,0,0,0,1,0,0,0,0
obtain,0,0,0,0,0,0,0,2,0
valuable,3,0,0,0,0,0,0,0,0
mineral,0,0,0,0,2,0,0,0,0
petroleum,0,0,0,0,1,0,0,0,0
copper,0,0,0,0,1,0,0,0,0
metal,0,0,0,0,1,0,0,0,0
typical,3,0,0,0,0,0,0,0,0
soluble,1,0,0,0,0,0,0,0,0
sodium,1,0,0,0,0,0,0,0,0
nitrate,0,0,0,0,1,0,0,0,0
mismanagement,0,0,0,0,1,0,0,0,0
overuse,0,0,0,0,1,0,0,0,0
semiarid,3,0,0,0,0,0,0,0,0
desertification,0,0,0,0,2,0,0,0,0
spread,0,0,0,0,1,0,0,1,0
excessive,1,0,0,0,0,0,0,0,0
cultivation,0,0,0,0,2,0,0,0,0
clear,0,0,0,0,0,0,0,3,0
exhaust,0,0,0,0,0,0,0,3,0
rob,0,0,0,0,0,0,0,1,0
sustain,0,0,0,0,0,0,0,1,0
intermix,0,0,0,0,0,0,0,1,0
decrease,0,0,0,0,0,0,0,1,0
treeless,2,0,0,0,0,0,0,0,0
distinct,4,0,0,0,0,0,0,0,0
mix,0,0,0,0,0,0,0,3,0
gallery,0,0,0,0,2,0,0,0,0
wood,0,0,0,0,2,0,0,0,0
diminish,0,0,0,0,0,0,0,1,0
scrub,0,0,0,0,1,0,0,0,0
thorn,0,0,0,0,2,0,0,0,0
bush,0,0,0,0,1,0,0,0,0
eventually,0,0,2,0,0,0,0,0,0
border,0,0,0,0,1,0,0,4,0
