word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PUNCT,SCONJ,VERB,X
culture,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
indigenous,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
navigate,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
serie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
short,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0
song,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0
popularly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
songline,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
article,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
oral,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
address,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
network,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mythical,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tangible,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
landmark,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
constitute,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
catalogue,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
local,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
route,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
system,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
essence,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
map,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
delineate,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
geographical,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spiritual,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
historical,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contour,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
environment,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
example,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0
record,0,0,0,0,0,0,0,8,0,0,0,0,0,14,0
fashion,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0
bard,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
memorize,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
enormous,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quantity,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
material,4,0,0,0,0,0,0,18,0,0,0,0,0,0,0
clear,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0
persistent,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
performance,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
significance,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
humanity,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
book,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
deal,0,0,0,0,0,0,0,4,0,0,0,0,0,47,0
chiefly,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
subject,7,0,0,0,0,0,0,56,0,0,0,0,0,5,0
drama,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0
considerable,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overlap,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
genre,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0
style,0,0,0,0,0,0,0,78,0,0,0,0,0,1,0
form,0,0,0,0,0,0,0,268,0,0,0,0,0,20,0
ancient,89,0,0,0,0,0,0,2,0,0,0,0,0,0,0
mean,0,0,0,0,0,0,0,15,0,0,0,0,0,41,0
literary,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
communication,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
represent,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
move,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
mere,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
counting,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
type,0,0,0,0,0,0,0,41,0,0,0,0,0,2,0
reckoning,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
communal,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exchange,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0
continue,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
today,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
country,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
world,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0
sort,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
diverge,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
long,78,0,27,0,0,0,0,0,0,0,0,0,0,0,0
stream,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
include,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0
stand,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
comedy,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0
fiction,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
introduction,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0
recent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
american,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
critic,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0
academic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
discuss,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
difference,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
read,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
novel,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
find,0,0,0,0,0,0,0,1,0,0,0,0,0,64,0
hard,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
category,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ritually,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
invoke,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
feel,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
respond,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
literature,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0
replicate,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
race,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
class,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
gender,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
want,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0
mirror,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0
metaphor,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
mimesis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
imitation,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
mimicry,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
realm,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
make,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
distinctive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
love,0,0,0,0,0,0,0,39,0,0,0,0,0,7,0
hate,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0
critical,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lie,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
ability,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
bit,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
use,0,0,0,0,0,0,0,50,0,0,0,0,0,29,0
correct,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
set,4,0,0,0,0,0,0,5,0,0,0,0,0,32,0
key,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
unlock,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
meaning,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
poem,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0
provide,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
foundation,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
lifetime,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
pleasurable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
immensely,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
rewarding,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reading,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
lovesick,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lost,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncertain,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
direction,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
clarify,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
like,4,51,0,0,0,0,0,0,0,0,0,0,0,3,0
humiliate,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
misunderstand,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pain,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
angry,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work,0,0,0,0,0,0,0,123,0,0,0,0,0,19,0
perfect,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0
remedy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
poet,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0
ten,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
thousand,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
create,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
tool,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
acoustic,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rhythmic,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
effect,0,0,0,0,0,0,0,60,0,0,0,0,0,1,0
prose,1,0,0,0,0,0,0,61,0,0,0,0,0,0,1
gather,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
umbrella,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
term,0,0,0,0,0,0,0,65,0,0,0,0,0,3,0
prosody,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0
element,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0
scansion,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1
combination,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
rhythm,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0
pace,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
variety,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
sonic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consonance,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
assonance,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
alliteration,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
degree,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
mercy,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
native,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tongue,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
germanic,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
specialize,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
somewhat,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
different,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
difficult,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
translate,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
determine,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
length,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0
nature,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0
depend,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
intent,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
narrative,14,0,0,0,0,0,0,36,0,0,0,0,0,0,0
epic,43,0,0,0,0,0,0,71,0,0,0,0,0,0,0
dramatic,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fix,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
verse,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0
sonnet,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
prefer,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
clerihew,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2
deliberately,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
lame,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
achieve,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
hilarious,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
limping,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quality,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
reflect,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
simply,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
voice,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
monologue,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
figure,0,0,0,0,0,0,0,25,0,0,0,0,0,2,0
choose,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
vehicle,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
lyrical,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eloquent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tendency,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
snake,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sibilant,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
competent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ingredient,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
contribute,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
success,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
communicate,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
reader,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
token,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
awareness,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
rich,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0
full,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
english,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
surely,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
great,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doubtful,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certainly,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
shape,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0
basis,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
greek,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
education,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
classical,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backbone,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
humane,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
time,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0
probably,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
impact,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
subtly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
affect,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0
western,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
standard,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0
look,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0
distinguished,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
far,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
heart,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
hold,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0
symbol,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
hellenic,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unity,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
heroism,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
source,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
moral,46,0,0,0,0,0,0,2,0,0,0,0,0,0,0
practical,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
instruction,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
translation,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
remain,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
strong,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brother,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
movie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
art,0,0,0,0,0,0,0,41,0,0,0,0,0,1,0
thou,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
acclaimed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
follow,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0
scheme,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
journey,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
home,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0
model,0,0,0,0,0,0,0,25,0,0,0,0,0,7,0
day,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
meander,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mode,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1
main,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thread,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
written,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abound,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
trace,0,0,0,0,0,0,0,3,0,0,0,0,0,14,0
lose,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
african,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ballad,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0
root,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0
despite,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
similarly,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
origin,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
number,0,0,0,0,0,0,0,37,0,0,0,0,0,2,0
associate,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0
music,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
emphasis,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
decisive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moment,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
large,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overall,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exhibit,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
usual,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trait,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
incremental,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
repetition,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
plain,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0
conventional,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
imagery,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
impersonal,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speaker,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
typically,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
drive,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
economical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gain,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
emotional,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
