word,ADJ,ADP,ADV,NOUN,NUM,PRON,SCONJ,VERB,X
finish,0,0,0,0,0,0,0,1,0
competition,0,0,0,2,0,0,0,0,0
single,1,0,1,0,0,0,0,0,0
history,0,0,0,3,0,0,0,0,0
rack,0,0,0,0,0,0,0,1,0
accomplishment,0,0,0,2,0,0,0,0,0
soon,0,0,1,0,0,0,0,0,0
international,4,0,0,0,0,0,0,0,0
display,0,0,0,0,0,0,0,1,0
gambeta,0,0,0,0,0,0,0,0,1
dribble,0,0,0,1,0,0,0,0,0
flourish,0,0,0,1,0,0,0,0,0
tango,0,0,0,2,0,0,0,0,0
step,0,0,0,2,0,0,0,0,0
talent,0,0,0,4,0,0,0,0,0
idol,0,0,0,2,0,0,0,0,0
vote,0,0,0,0,0,0,0,1,0
secure,0,0,0,0,0,0,0,1,0
pair,0,0,0,1,0,0,0,0,0
penalty,0,0,0,1,0,0,0,0,0
eighteen,0,0,0,0,1,0,0,0,0
spend,0,0,0,0,0,0,0,2,0
bench,0,0,0,1,0,0,0,0,0
gold,0,0,0,3,0,0,0,0,0
medal,0,0,0,3,0,0,0,0,0
drive,0,0,0,0,0,0,0,1,0
effort,0,0,0,1,0,0,0,0,0
spite,0,0,0,1,0,0,0,0,0
criticism,0,0,0,1,0,0,0,0,0
make,0,0,0,0,0,0,0,5,0
measure,0,0,0,0,0,0,0,1,0
natural,3,0,0,0,0,0,0,0,0
dynamic,0,0,0,1,0,0,0,0,0
form,0,0,0,0,0,0,0,1,0
accord,0,0,0,0,0,0,0,1,0
change,0,0,0,0,0,0,0,3,0
playing,0,0,0,1,0,0,0,0,0
practice,0,0,0,1,0,0,0,0,0
claim,0,0,0,0,0,0,0,3,0
deep,1,0,0,0,0,0,0,0,0
understanding,0,0,0,1,0,0,0,0,0
confidence,0,0,0,1,0,0,0,0,0
great,9,0,0,0,0,0,0,0,0
handedly,0,0,1,0,0,0,0,0,0
group,0,0,0,7,0,0,0,0,0
stage,0,0,0,4,0,0,0,0,0
knockout,0,0,0,1,0,0,0,0,0
crucial,1,0,0,0,0,0,0,0,0
final,2,0,0,3,0,0,0,0,0
lose,0,0,0,0,0,0,0,2,0
tournament,0,0,0,2,0,0,0,0,0
commentator,0,0,0,3,0,0,0,0,0
note,0,0,0,0,0,0,0,1,0
disappointment,0,0,0,3,0,0,0,0,0
face,0,0,0,2,0,0,0,2,0
collection,0,0,0,1,0,0,0,0,0
prefer,0,0,0,0,0,0,0,1,0
individual,2,0,0,1,0,0,0,0,0
prize,0,0,0,1,0,0,0,0,0
outscore,0,0,0,0,0,0,0,1,0
beat,0,0,0,0,0,0,0,1,0
nonetheless,0,0,1,0,0,0,0,0,0
accept,0,0,0,0,0,0,0,1,0
expectation,0,0,0,1,0,0,0,0,0
fellow,3,0,0,0,0,0,0,0,0
medium,0,0,0,1,0,0,0,0,0
lot,0,0,0,4,0,0,0,0,0
largely,0,0,1,0,0,0,0,0,0
concerned,1,0,0,0,0,0,0,0,0
put,0,0,0,0,0,0,0,1,0
critical,1,0,0,0,0,0,0,0,0
badly,0,0,1,0,0,0,0,0,0
tell,0,0,0,0,0,0,0,2,0
influence,0,0,0,2,0,0,0,0,0
add,0,0,0,0,0,0,0,1,0
component,0,0,0,1,0,0,0,0,0
grace,0,0,0,1,0,0,0,0,0
power,0,0,0,1,0,0,0,0,0
mental,1,0,0,0,0,0,0,0,0
agility,0,0,0,1,0,0,0,0,0
run,0,0,0,0,0,0,0,1,0
fast,0,0,1,0,0,0,0,0,0
seemingly,0,0,1,0,0,0,0,0,0
mysterious,1,0,0,0,0,0,0,0,0
quality,0,0,0,2,0,0,0,0,0
genius,0,0,0,2,0,0,0,0,0
gifted,3,0,0,0,0,0,0,0,0
trouble,0,0,0,1,0,0,0,0,0
right,1,0,0,2,0,0,0,0,0
describe,0,0,0,0,0,0,0,1,0
case,0,0,0,1,0,0,0,0,0
exceptional,1,0,0,0,0,0,0,0,0
answer,0,0,0,1,0,0,0,0,0
offer,0,0,0,0,0,0,0,2,0
give,0,0,0,0,0,0,0,4,0
gift,0,0,0,1,0,0,0,0,0
wild,1,0,0,0,0,0,0,0,0
explain,0,0,0,0,0,0,0,2,0
understand,0,0,0,0,0,0,0,1,0
watch,0,0,0,0,0,0,0,3,0
reporter,0,0,0,2,0,0,0,0,0
difficult,3,0,0,0,0,0,0,0,0
get,0,0,0,0,0,0,0,2,0
pull,0,0,0,0,0,0,0,1,0
tooth,0,0,0,1,0,0,0,0,0
usually,0,0,2,0,0,0,0,0,0
ahead,0,0,3,0,0,0,0,0,0
endurance,0,0,0,2,0,0,0,0,0
surprising,1,0,0,0,0,0,0,0,0
sound,0,0,0,0,0,0,0,2,0
childhood,0,0,0,1,0,0,0,0,0
likely,0,0,1,0,0,0,0,0,0
factor,0,0,0,1,0,0,0,0,0
strong,1,0,0,0,0,0,0,0,0
opponent,0,0,0,2,0,0,0,0,0
lesson,0,0,0,1,0,0,0,0,0
stay,0,0,0,0,0,0,0,1,0
complete,0,0,0,0,0,0,0,1,0
deny,0,0,0,0,0,0,0,1,0
trial,0,0,0,1,0,0,0,0,0
discuss,0,0,0,0,0,0,0,2,0
wipe,0,0,0,0,0,0,0,1,0
superior,3,0,0,0,0,0,0,0,0
sportsmanship,0,0,0,4,0,0,0,0,0
wrong,1,0,0,0,0,0,0,0,0
belittling,1,0,0,0,0,0,0,0,0
flea,0,0,0,1,0,0,0,0,0
shake,0,0,0,0,0,0,0,1,0
standing,0,0,0,1,0,0,0,0,0
dart,0,0,0,0,0,0,0,1,0
semifinal,0,0,0,1,0,0,0,0,0
debate,0,0,0,1,0,0,0,0,0
contemporary,1,0,0,0,0,0,0,0,0
ultimate,1,0,0,0,0,0,0,0,0
place,0,0,0,1,0,0,0,1,0
plenty,0,0,0,1,0,0,0,0,0
love,0,0,0,1,0,0,0,0,0
take,0,0,0,0,0,0,0,2,0
achieve,0,0,0,0,0,0,0,3,0
express,0,0,0,0,0,0,0,2,0
aspect,0,0,0,1,0,0,0,0,0
regard,0,0,0,0,0,0,0,2,0
generation,0,0,0,3,0,0,0,0,0
collective,1,0,0,0,0,0,0,0,0
outstanding,1,0,0,0,0,0,0,0,0
journalist,0,0,0,1,0,0,0,0,0
write,0,0,0,0,0,0,0,1,0
isolate,0,0,0,0,0,0,0,1,0
thousand,0,0,0,1,0,0,0,0,0
overshadow,0,0,0,0,0,0,0,1,0
lengthy,1,0,0,0,0,0,0,0,0
level,0,0,0,1,0,0,0,0,0
archrival,0,0,0,1,0,0,0,0,0
portuguese,3,0,0,0,0,0,0,0,0
similar,1,0,0,0,0,0,0,0,0
opinion,0,0,0,1,0,0,0,0,0
insist,0,0,0,0,0,0,0,5,0
token,0,0,0,1,0,0,0,0,0
possible,2,0,0,0,0,0,0,0,0
happen,0,0,0,0,0,0,0,1,0
rival,1,0,0,1,0,0,0,0,0
fight,0,0,0,0,0,0,0,4,0
close,2,0,0,0,0,0,0,0,0
relationship,0,0,0,1,0,0,0,0,0
modest,1,0,0,0,0,0,0,0,0
hope,0,0,0,2,0,0,0,1,0
retire,0,0,0,0,0,0,0,1,0
guy,0,0,0,2,0,0,0,0,0
people,0,0,0,3,0,0,0,0,0
predominant,1,0,0,0,0,0,0,0,0
reason,0,0,0,1,0,0,0,0,0
role,0,0,0,1,0,0,0,0,0
model,0,0,0,1,0,0,0,0,0
aspire,0,0,0,0,0,0,0,1,0
emphasis,0,0,0,1,0,0,0,0,0
teamwork,0,0,0,1,0,0,0,0,0
die,0,0,0,0,0,0,0,1,0
attitude,0,0,0,1,0,0,0,0,0
loss,0,0,0,1,0,0,0,0,0
recognize,0,0,0,0,0,0,0,2,0
enjoy,0,0,0,0,0,0,0,3,0
mature,0,0,0,0,0,0,0,1,0
beginning,0,0,0,1,0,0,0,0,0
bit,0,0,0,1,0,0,0,0,0
individualistic,1,0,0,0,0,0,0,0,0
occasionally,0,0,1,0,0,0,0,0,0
guilty,1,0,0,0,0,0,0,0,0
ignore,0,0,0,0,0,0,0,1,0
well,2,0,2,0,0,0,0,0,0
progress,0,0,0,0,0,0,0,1,0
addition,0,0,0,1,0,0,0,0,0
known,1,0,0,0,0,0,0,0,0
set,0,0,0,0,0,0,0,3,0
clever,1,0,0,0,0,0,0,0,0
perfect,1,0,0,0,0,0,0,0,0
position,0,0,0,1,0,0,0,0,0
estimate,0,0,0,0,0,0,0,2,0
million,0,0,0,1,4,0,0,0,0
viewer,0,0,0,1,0,0,0,0,0
global,1,0,0,0,0,0,0,0,0
audience,0,0,0,1,0,0,0,0,0
generous,1,0,0,0,0,0,0,0,0
hat,0,0,0,1,0,0,0,0,0
chance,0,0,0,2,0,0,0,0,0
fourth,1,0,0,0,0,0,0,0,0
instead,0,0,2,0,0,0,0,0,0
stretch,0,0,0,0,0,0,0,1,0
importance,0,0,0,1,0,0,0,0,0
figure,0,0,0,1,0,0,0,0,0
charity,0,0,0,3,0,0,0,0,0
business,0,0,0,1,0,0,0,0,0
endeavor,0,0,0,1,0,0,0,0,0
