word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,PRON,SCONJ,VERB,X
development,0,0,0,0,19,0,0,0,0,0
medicine,0,0,0,0,5,0,0,0,0,0
geology,0,0,0,0,2,0,0,0,0,0
geography,0,0,0,0,3,0,0,0,0,0
alchemy,0,0,0,0,2,0,0,0,0,0
locale,0,0,0,0,1,0,0,0,0,0
notable,4,0,0,0,0,0,0,0,0,0
practical,11,0,0,0,0,0,0,0,0,0
aspect,0,0,0,0,5,0,0,0,0,0
live,0,0,0,0,0,0,0,0,12,0
region,0,0,0,0,2,0,0,0,0,0
dependent,1,0,0,0,0,0,0,0,0,0
harness,0,0,0,0,0,0,0,0,3,0
river,0,0,0,0,3,0,0,0,0,0
avoid,0,0,0,0,0,0,0,0,1,0
storm,0,0,0,0,3,0,0,0,0,0
flood,0,0,0,0,6,0,0,0,0,0
invader,0,0,0,0,2,0,0,0,0,0
plague,0,0,0,0,0,0,0,0,1,0
area,0,0,0,0,13,0,0,0,0,0
stable,3,0,0,0,0,0,0,0,0,0
society,0,0,0,0,9,0,0,0,0,0
unpredictable,1,0,0,0,0,0,0,0,0,0
environment,0,0,0,0,2,0,0,0,0,0
feed,0,0,0,0,0,0,0,0,1,0
advancement,0,0,0,0,2,0,0,0,0,0
inhabitant,0,0,0,0,1,0,0,0,0,0
necessity,0,0,0,0,2,0,0,0,0,0
mother,0,0,0,0,2,0,0,0,0,0
invention,0,0,0,0,10,0,0,0,0,0
great,36,0,0,0,0,0,0,0,0,0
stride,0,0,0,0,2,0,0,0,0,0
noteworthy,2,0,0,0,0,0,0,0,0,0
algebra,0,0,0,0,4,0,0,0,0,0
elaborately,0,0,1,0,0,0,0,0,0,0
describe,0,0,0,0,0,0,0,0,10,0
mesopotamian,4,0,0,0,0,0,0,0,0,0
theretofore,0,0,1,0,0,0,0,0,0,0
unrecorded,1,0,0,0,0,0,0,0,0,0
description,0,0,0,0,8,0,0,0,0,0
nature,0,0,0,0,43,0,0,0,0,0
lack,0,0,0,0,0,0,0,0,1,0
reason,0,0,0,0,4,0,0,0,1,0
proper,5,0,0,0,0,0,0,0,0,0
instead,0,0,6,0,0,0,0,0,0,0
see,0,0,0,0,0,0,0,0,20,0
function,0,0,0,0,8,0,0,0,0,0
magic,0,0,0,0,3,0,0,0,0,0
attempt,0,0,0,0,5,0,0,0,2,0
find,0,0,0,0,0,0,0,0,14,0
explanation,0,0,0,0,8,0,0,0,0,0
outside,0,4,0,0,1,0,0,0,0,0
arbitrary,5,0,0,0,0,0,0,0,0,0
key,5,0,0,0,1,0,0,0,0,0
different,12,0,0,0,0,0,0,0,0,0
approach,0,0,0,0,3,0,0,0,1,0
relationship,0,0,0,0,5,0,0,0,0,0
greek,29,0,0,0,0,0,0,0,0,0
contain,0,0,0,0,0,0,0,0,7,0
oft,0,0,1,0,0,0,0,0,0,0
childish,1,0,0,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,27,0
well,1,0,10,0,0,0,0,0,0,0
interact,0,0,0,0,0,0,0,0,1,0
interaction,0,0,0,0,4,0,0,0,0,0
collect,0,0,0,0,0,0,0,0,1,0
essentially,0,0,7,0,0,0,0,0,0,0
folk,0,0,0,0,3,0,0,0,0,0
tale,0,0,0,0,4,0,0,0,0,0
primarily,0,0,4,0,0,0,0,0,0,0
literary,2,0,0,0,0,0,0,0,0,0
intend,0,0,0,0,0,0,0,0,1,0
answer,0,0,0,0,6,0,0,0,4,0
people,0,0,0,0,5,0,0,0,0,0
question,0,0,0,0,9,0,0,0,0,0
place,0,0,0,0,7,0,0,0,10,0
world,0,0,0,0,37,0,0,0,0,0
easy,2,0,0,0,0,0,0,0,0,0
theological,7,0,0,0,0,0,0,0,0,0
underpin,0,0,0,0,0,0,0,0,1,0
thinker,0,0,0,0,6,0,0,0,0,0
rely,0,0,0,0,0,0,0,0,5,0
reasoning,0,0,0,0,1,0,0,0,0,0
contemplate,0,0,0,0,0,0,0,0,3,0
result,0,0,0,0,17,0,0,0,2,0
advent,0,0,0,0,3,0,0,0,0,0
philosophy,0,0,0,0,15,0,0,0,0,0
precursor,0,0,0,0,1,0,0,0,0,0
modern,17,0,0,0,0,0,0,0,0,0
traditionally,0,0,1,0,0,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,7,0
philosopher,0,0,0,0,18,0,0,0,0,0
theorize,0,0,0,0,0,0,0,0,1,0
state,0,0,0,0,5,0,0,0,0,0
water,0,0,0,0,12,0,0,0,0,0
theory,0,0,0,0,30,0,0,0,0,0
especially,0,0,3,0,0,0,0,0,0,0
propose,0,0,0,0,0,0,0,0,5,0
rationality,0,0,0,0,3,0,0,0,0,0
supernatural,2,0,0,0,0,0,0,0,0,0
govern,0,0,0,0,0,0,0,0,5,0
fundamental,14,0,0,0,0,0,0,0,0,0
characteristic,1,0,0,0,5,0,0,0,0,0
universe,0,0,0,0,12,0,0,0,0,0
order,0,0,0,0,24,0,0,0,2,0
part,0,0,0,0,5,0,0,0,0,0
grand,5,0,0,0,0,0,0,0,0,0
scheme,0,0,0,0,4,0,0,0,0,0
thing,0,0,0,0,10,0,0,0,0,0
notion,0,0,0,0,7,0,0,0,0,0
teleology,0,0,0,0,4,0,0,0,0,0
ultimately,0,0,5,0,0,0,0,0,0,0
unfounded,1,0,0,0,0,0,0,0,0,0
signature,0,0,0,0,1,0,0,0,0,0
contribution,0,0,0,0,8,0,0,0,0,0
simple,12,0,0,0,0,0,0,0,0,0
act,0,0,0,0,1,0,0,0,4,0
name,0,0,0,0,1,0,0,0,8,0
specific,13,0,0,0,0,0,0,0,0,0
entity,0,0,0,0,4,0,0,0,0,0
underlie,0,0,0,0,0,0,0,0,4,0
matter,0,0,0,0,20,0,0,0,0,0
leave,0,0,0,0,0,0,0,0,3,0
opinion,0,0,0,0,1,0,0,0,0,0
open,1,0,0,0,0,0,0,0,2,0
critique,0,0,0,0,1,0,0,0,0,0
disciple,0,0,0,0,3,0,0,0,0,0
birth,0,0,0,0,4,0,0,0,0,0
cycle,0,0,0,0,8,0,0,0,0,0
criticism,0,0,0,0,6,0,0,0,0,0
revision,0,0,0,0,1,0,0,0,0,0
central,4,0,0,0,0,0,0,0,0,0
feature,0,0,0,0,2,0,0,0,0,0
initiate,0,0,0,0,0,0,0,0,3,0
finding,0,0,0,0,4,0,0,0,0,0
stand,0,0,0,0,0,0,0,0,6,0
test,0,0,0,0,3,0,0,0,1,0
say,0,0,0,0,0,0,0,0,4,0
fellow,1,0,0,0,0,0,0,0,0,0
biology,0,0,0,0,7,0,0,0,0,0
foundation,0,0,0,0,8,0,0,0,0,0
darwinian,1,0,0,0,0,0,0,0,0,0
biological,2,0,0,0,0,0,0,0,0,0
revolution,0,0,0,0,23,0,0,0,0,0
addition,0,0,0,0,3,0,0,0,0,0
tradition,0,0,0,0,10,0,0,0,0,0
subsequent,2,0,0,0,0,0,0,0,0,0
solely,0,0,3,0,0,0,0,0,0,0
oppose,0,0,0,0,0,0,0,0,2,0
experimentation,0,0,0,0,2,0,0,0,0,0
investigate,0,0,0,0,0,0,0,0,5,0
calculus,0,0,0,0,6,0,0,0,0,0
pioneering,1,0,0,0,0,0,0,0,0,0
demonstration,0,0,0,0,3,0,0,0,0,0
physical,16,0,0,0,0,0,0,0,0,0
represent,0,0,0,0,0,0,0,0,4,0
manipulate,0,0,0,0,0,0,0,0,3,0
mathematical,24,0,0,0,0,0,0,0,0,0
manner,0,0,0,0,1,0,0,0,0,0
internalize,0,0,0,0,0,0,0,0,1,0
literally,0,0,5,0,0,0,0,0,0,0
exterior,1,0,0,0,0,0,0,0,0,0
force,0,0,0,0,41,0,0,0,2,0
previous,2,0,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,7,0
assert,0,0,0,0,0,0,0,0,3,0
malady,0,0,0,0,3,0,0,0,0,0
originate,0,0,0,0,0,0,0,0,3,0
inside,0,3,1,0,0,0,0,0,0,0
body,0,0,0,0,30,0,0,0,0,0
set,0,0,0,0,0,0,0,0,10,0
course,0,0,2,0,3,0,0,0,0,0
future,2,0,0,0,0,0,0,0,0,0
medical,3,0,0,0,0,0,0,0,0,0
progress,0,0,0,0,5,0,0,0,0,0
exception,0,0,0,0,2,0,0,0,0,0
monumental,1,0,0,0,0,0,0,0,0,0
islamic,6,0,0,0,0,0,0,0,0,0
scientist,0,0,0,0,17,0,0,0,0,0
notably,0,0,2,0,0,0,0,0,0,0
largely,0,0,7,0,0,0,0,0,0,0
stagnant,1,0,0,0,0,0,0,0,0,0
decline,0,0,0,0,1,0,0,0,0,0
medieval,17,0,0,0,0,0,0,0,0,0
era,0,0,0,0,3,0,0,0,0,0
despite,0,0,0,0,0,0,0,1,0,0
denigrate,0,0,0,0,0,0,0,0,1,0
writer,0,0,0,0,4,0,0,0,0,0
gloss,0,0,0,0,0,0,0,0,1,0
important,28,0,0,0,0,0,0,0,0,0
come,0,0,0,0,0,0,0,0,17,0
horseshoe,0,0,0,0,2,0,0,0,0,0
crank,0,0,0,0,2,0,0,0,0,0
fly,0,0,0,0,0,0,0,0,6,0
buttress,0,0,0,0,3,0,0,0,1,0
windmill,0,0,0,0,3,0,0,0,0,0
wheelbarrow,0,0,0,0,2,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,8,0
forebear,0,0,0,0,1,0,0,0,0,0
paranormal,1,0,0,0,0,0,0,0,0,0
monotheistic,1,0,0,0,0,0,0,0,0,0
responsible,1,0,0,0,0,0,0,0,0,0
purposeful,1,0,0,0,0,0,0,0,0,0
conflict,0,0,0,0,3,0,0,0,0,0
scripture,0,0,0,0,2,0,0,0,0,0
interpretation,0,0,0,0,3,0,0,0,0,0
man,0,0,0,0,15,0,0,0,0,0
side,0,0,0,0,3,0,0,0,0,0
coin,0,0,0,0,1,0,0,0,0,0
integration,0,0,0,0,2,0,0,0,0,0
slowly,0,0,2,0,0,0,0,0,0,0
unravel,0,0,0,0,0,0,0,0,1,0
appropriately,0,0,1,0,0,0,0,0,0,0
explosion,0,0,0,0,2,0,0,0,0,0
antiquity,0,0,0,0,7,0,0,0,0,0
inspire,0,0,0,0,0,0,0,0,3,0
intellectual,10,0,0,0,2,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,13,0
location,0,0,0,0,2,0,0,0,0,0
fire,0,0,0,0,3,0,0,0,1,0
shot,0,0,0,0,2,0,0,0,0,0
assumption,0,0,0,0,7,0,0,0,0,0
centre,0,0,0,0,9,0,0,0,3,0
reveal,0,0,0,0,0,0,0,0,6,0
book,0,0,0,0,16,0,0,0,0,0
revolutionibus,0,0,0,0,0,0,0,0,0,3
orbium,0,0,0,0,0,0,0,0,0,3
coelestium,0,0,0,0,0,0,0,0,0,3
libri,0,0,0,0,0,0,0,0,0,3
concern,0,0,0,0,6,0,0,0,4,0
orb,0,0,0,0,2,0,0,0,0,0
observational,2,0,0,0,0,0,0,0,0,0
effort,0,0,0,0,1,0,0,0,0,0
prove,0,0,0,0,0,0,0,0,8,0
cosmo,0,0,0,0,12,0,0,0,0,0
orbit,0,0,0,0,8,0,0,0,0,0
profound,2,0,0,0,0,0,0,0,0,0
revelation,0,0,0,0,3,0,0,0,0,0
position,0,0,0,0,9,0,0,0,0,0
shift,0,0,0,0,1,0,0,0,2,0
revolve,0,0,0,0,0,0,0,0,6,0
expect,0,0,0,0,0,0,0,0,5,0
relatively,0,0,2,0,0,0,0,0,0,0
close,6,0,3,0,0,0,0,0,0,0
show,0,0,0,0,0,0,0,0,21,0
far,0,0,10,0,0,0,0,0,0,0
large,8,0,0,0,0,0,0,0,0,0
previously,0,0,2,0,0,0,0,0,0,0
twin,1,0,0,0,0,0,0,0,0,0
disclosure,0,0,0,0,1,0,0,0,0,0
wreak,0,0,0,0,0,0,0,0,1,0
havoc,0,0,0,0,1,0,0,0,0,0
traditional,5,0,0,0,0,0,0,0,0,0
judeo,1,0,0,0,0,0,0,0,0,0
christian,4,0,0,0,0,0,0,0,0,0
concept,0,0,0,0,4,0,0,0,0,0
creation,0,0,0,0,14,0,0,0,0,0
bother,0,0,0,0,0,0,0,0,1,0
minor,1,0,0,0,0,0,0,0,0,0
critical,8,0,0,0,0,0,0,0,0,0
continue,0,0,0,0,0,0,0,0,12,0
planetary,8,0,0,0,0,0,0,0,0,0
stellar,4,0,0,0,0,0,0,0,0,0
measurement,0,0,0,0,5,0,0,0,0,0
elliptical,1,0,0,0,0,0,0,0,0,0
gap,0,0,0,0,1,0,0,0,0,0
copernican,9,0,0,0,0,0,0,0,0,0
telescopic,1,0,0,0,0,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,12,0
numerous,1,0,0,0,0,0,0,0,0,0
devastate,0,0,0,0,0,0,0,0,1,0
universal,9,0,0,0,0,0,0,0,0,0
perfection,0,0,0,0,3,0,0,0,0,0
hold,0,0,0,0,1,0,0,0,9,0
sway,0,0,0,0,1,0,0,0,0,0
instigate,0,0,0,0,0,0,0,0,1,0
sea,0,0,0,0,1,0,0,0,0,0
change,0,0,0,0,6,0,0,0,3,0
way,0,0,0,0,18,0,0,0,0,0
view,0,0,0,0,8,0,0,0,2,0
overstate,0,0,0,0,0,0,0,0,1,0
terrestrial,4,0,0,0,0,0,0,0,0,0
analogue,0,0,0,0,1,0,0,0,0,0
celestial,5,0,0,0,0,0,0,0,0,0
incredibly,0,0,1,0,0,0,0,0,0,0
physics,0,0,0,0,27,0,0,0,0,0
basic,11,0,0,0,0,0,0,0,0,0
law,0,0,0,0,28,0,0,0,0,0
motion,0,0,0,0,41,0,0,0,0,0
define,0,0,0,0,0,0,0,0,3,0
subsequently,0,0,1,0,0,0,0,0,0,0
move,0,0,0,0,0,0,0,0,14,0
apply,0,0,0,0,0,0,0,0,4,0
earth,0,0,0,0,4,0,0,0,0,0
bind,0,0,0,0,0,0,0,0,2,0
building,0,0,0,0,3,0,0,0,0,0
block,0,0,0,0,2,0,0,0,0,0
mechanical,14,0,0,0,0,0,0,0,0,0
quantum,2,0,0,0,2,0,0,0,0,0
relativity,0,0,0,0,5,0,0,0,0,0
replace,0,0,0,0,0,0,0,0,5,0
physic,0,0,0,0,3,0,0,0,0,0
yield,0,0,0,0,0,0,0,0,5,0
measure,0,0,0,0,3,0,0,0,6,0
small,6,0,0,0,0,0,0,0,0,0
electron,0,0,0,0,3,0,0,0,0,0
near,0,2,0,0,0,0,0,0,0,0
speed,0,0,0,0,6,0,0,0,0,0
masterpiece,0,0,0,0,2,0,0,0,0,0
experimental,10,0,0,0,0,0,0,0,0,0
thorough,1,0,0,0,0,0,0,0,0,0
examination,0,0,0,0,3,0,0,0,0,0
treatise,0,0,0,0,2,0,0,0,0,0
establish,0,0,0,0,0,0,0,0,11,0
standard,1,0,0,0,1,0,0,0,0,0
method,0,0,0,0,17,0,0,0,0,0
repeatedly,0,0,1,0,0,0,0,0,0,0
hypothesis,0,0,0,0,4,0,0,0,0,0
logical,2,0,0,0,0,0,0,0,0,0
bear,0,0,0,0,0,0,0,0,3,0
fruit,0,0,0,0,1,0,0,0,0,0
chemical,13,0,0,0,1,0,0,0,0,0
experimentally,0,0,4,0,0,0,0,0,0,0
oxygen,0,0,0,0,2,0,0,0,0,0
pseudoscientific,1,0,0,0,0,0,0,0,0,0
substance,0,0,0,0,15,0,0,0,0,0
phlogiston,0,0,0,0,2,0,0,0,0,0
combustion,0,0,0,0,3,0,0,0,0,0
stress,0,0,0,0,0,0,0,0,1,0
analysis,0,0,0,0,8,0,0,0,0,0
chemistry,0,0,0,0,16,0,0,0,0,0
groundbreaking,1,0,0,0,0,0,0,0,0,0
similarly,0,0,5,0,0,0,0,0,0,0
electric,5,0,0,0,0,0,0,0,0,0
current,0,0,0,0,6,0,0,0,0,0
establishment,0,0,0,0,1,0,0,0,0,0
originator,0,0,0,0,1,0,0,0,0,0
atomic,8,0,0,0,0,0,0,0,0,0
play,0,0,0,0,1,0,0,0,3,0
role,0,0,0,0,11,0,0,0,0,0
arguably,0,0,1,0,0,0,0,0,0,0
extraordinary,2,0,0,0,0,0,0,0,0,0
evolution,0,0,0,0,4,0,0,0,0,0
painstakingly,0,0,1,0,0,0,0,0,0,0
variation,0,0,0,0,4,0,0,0,0,0
organism,0,0,0,0,16,0,0,0,0,0
deduce,0,0,0,0,0,0,0,0,3,0
difference,0,0,0,0,2,0,0,0,0,0
period,0,0,0,0,6,0,0,0,0,0
specie,0,0,0,0,6,0,0,0,0,0
adapt,0,0,0,0,0,0,0,0,3,0
take,0,0,0,0,0,0,0,0,10,0
form,0,0,0,0,18,0,0,0,6,0
divinely,0,0,3,0,0,0,0,0,0,0
being,0,0,0,0,2,0,0,0,0,0
doubt,0,0,0,0,5,0,0,0,0,0
plan,0,0,0,0,3,0,0,0,0,0
self,0,0,0,0,1,0,0,0,0,0
regard,0,0,0,0,1,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,12,0
existence,0,0,0,0,7,0,0,0,0,0
broadly,0,0,1,0,0,0,0,0,0,0
periodic,7,0,0,0,0,0,0,0,0,0
table,0,0,0,0,9,0,0,0,0,0
element,0,0,0,0,17,0,0,0,0,0
breakthrough,0,0,0,0,1,0,0,0,0,0
mark,0,0,0,0,0,0,0,0,3,0
bomb,0,0,0,0,2,0,0,0,0,0
nuclear,1,0,0,0,0,0,0,0,0,0
energy,0,0,0,0,8,0,0,0,0,0
potentially,0,0,1,0,0,0,0,0,0,0
late,4,0,1,0,0,0,0,0,0,0
animal,1,0,0,0,7,0,0,0,0,0
cloning,0,0,0,0,1,0,0,0,0,0
mapping,0,0,0,0,1,0,0,0,0,0
genome,0,0,0,0,1,0,0,0,0,0
genetically,0,0,1,0,0,0,0,0,0,0
modify,0,0,0,0,0,0,0,0,1,0
poise,0,0,0,0,0,0,0,0,1,0
biologist,0,0,0,0,2,0,0,0,0,0
experience,0,0,0,0,4,0,0,0,0,0
degree,0,0,0,0,9,0,0,0,0,0
upheaval,0,0,0,0,2,0,0,0,0,0
complete,2,0,0,0,0,0,0,0,0,0
expose,0,0,0,0,0,0,0,0,1,0
sense,0,0,0,0,10,0,0,0,0,0
innovative,2,0,0,0,0,0,0,0,0,0
persist,0,0,0,0,0,0,0,0,1,0
make,0,0,0,0,0,0,0,0,7,0
seemingly,0,0,2,0,0,0,0,0,0,0
shocking,1,0,0,0,0,0,0,0,0,0
good,5,0,0,0,1,0,0,0,0,0
example,0,0,0,0,12,0,0,0,0,0
contemporary,2,0,0,0,2,0,0,0,0,0
rapid,4,0,0,0,0,0,0,0,0,0
innovation,0,0,0,0,3,0,0,0,0,0
computer,0,0,0,0,2,0,0,0,0,0
technology,0,0,0,0,5,0,0,0,0,0
slow,1,0,0,0,0,0,0,0,0,0
desktop,0,0,0,0,1,0,0,0,0,0
lightning,0,0,0,0,1,0,0,0,0,0
fast,1,0,1,0,0,0,0,0,0,0
laptop,0,0,0,0,1,0,0,0,0,0
turn,0,0,0,0,2,0,0,0,4,0
complement,0,0,0,0,0,0,0,0,1,0
supersede,0,0,0,0,0,0,0,0,3,0
tablet,0,0,0,0,1,0,0,0,0,0
smartphone,0,0,0,0,1,0,0,0,0,0
march,0,0,0,0,1,0,0,0,1,0
apace,0,0,1,0,0,0,0,0,0,0
undoubtedly,0,0,2,0,0,0,0,0,0,0
generation,0,0,0,0,1,0,0,0,0,0
chapter,0,0,0,0,4,0,0,0,0,0
level,0,0,0,0,3,0,0,0,0,0
knowledge,0,0,0,0,17,0,0,0,0,0
mankind,0,0,0,0,11,0,0,0,0,0
recognize,0,0,0,0,0,0,0,0,3,0
survival,0,0,0,0,3,0,0,0,0,0
emergence,0,0,0,0,1,0,0,0,0,0
species,0,0,0,0,1,0,0,0,0,0
periodically,0,0,1,0,0,0,0,0,0,0
repeat,0,0,0,0,0,0,0,0,2,0
daily,2,0,0,0,0,0,0,0,0,0
annual,3,0,0,0,0,0,0,0,0,0
difficult,6,0,0,0,0,0,0,0,0,0
correlate,0,0,0,0,0,0,0,0,2,0
event,0,0,0,0,10,0,0,0,0,0
night,0,0,0,0,2,0,0,0,0,0
provide,0,0,0,0,0,0,0,0,24,0
rhythm,0,0,0,0,1,0,0,0,0,0
determine,0,0,0,0,0,0,0,0,3,0
migration,0,0,0,0,1,0,0,0,0,0
depend,0,0,0,0,0,0,0,0,5,0
agriculture,0,0,0,0,1,0,0,0,0,0
crucial,2,0,0,0,0,0,0,0,0,0
failure,0,0,0,0,3,0,0,0,0,0
planting,0,0,0,0,1,0,0,0,0,0
starvation,0,0,0,0,1,0,0,0,0,0
process,0,0,0,0,14,0,0,0,0,0
exist,0,0,0,0,0,0,0,0,9,0
dawn,0,0,0,0,2,0,0,0,0,0
mere,1,0,0,0,0,0,0,0,0,0
exhaust,0,0,0,0,0,0,0,0,2,0
meaning,0,0,0,0,1,0,0,0,0,0
construct,0,0,0,0,1,0,0,0,4,0
mind,0,0,0,0,7,0,0,0,0,0
leap,0,0,0,0,0,0,0,0,1,0
conclusion,0,0,0,0,4,0,0,0,0,0
tolerate,0,0,0,0,0,0,0,0,1,0
chaos,0,0,0,0,2,0,0,0,0,0
objectively,0,0,1,0,0,0,0,0,0,0
appearance,0,0,0,0,2,0,0,0,0,0
comet,0,0,0,0,4,0,0,0,0,0
presage,0,0,0,0,0,0,0,0,3,0
true,2,0,0,0,0,0,0,0,0,0
detached,1,0,0,0,0,0,0,0,0,0
datum,0,0,0,0,3,0,0,0,0,0
employ,0,0,0,0,0,0,0,0,2,0
certain,8,0,0,0,0,0,0,0,0,0
skepticism,0,0,0,0,3,0,0,0,0,0
prevent,0,0,0,0,0,0,0,0,1,0
