word,ADJ,ADP,ADV,DET,NOUN,NUM,VERB,X
western,3,0,0,0,0,0,0,0
overland,2,0,0,0,0,0,0,0
asian,2,0,0,0,0,0,0,0
merchandise,0,0,0,0,2,0,0,0
scarce,1,0,0,0,0,0,0,0
expensive,2,0,0,0,0,0,0,0
change,0,0,0,0,1,0,1,0
hand,0,0,0,0,3,0,0,0
reach,0,0,0,0,1,0,29,0
consumer,0,0,0,0,1,0,0,0
cost,0,0,0,0,1,0,0,0
increase,0,0,0,0,0,0,1,0
transport,0,0,0,0,0,0,1,0
camel,0,0,0,0,1,0,0,0
caravan,0,0,0,0,1,0,0,0
carry,0,0,0,0,0,0,7,0
comparatively,0,0,1,0,0,0,0,0
small,15,0,0,0,0,0,0,0
load,0,0,0,0,1,0,0,0
cheaply,0,0,1,0,0,0,0,0
italian,6,0,0,0,0,0,0,0
port,0,0,0,0,3,0,0,0
city,0,0,0,0,12,0,0,0
satisfied,1,0,0,0,0,0,0,0
monopoly,0,0,0,0,3,0,0,0
old,2,0,0,0,0,0,0,0
trading,0,0,0,0,1,0,0,0
order,0,0,0,0,2,0,0,0
portuguese,10,0,0,0,0,0,0,0
pioneer,0,0,0,0,1,0,1,0
eastern,10,0,0,0,0,0,0,0
southern,6,0,0,0,0,0,0,0
tip,0,0,0,0,3,0,0,0
round,2,0,0,0,0,0,2,0
successfully,0,0,1,0,0,0,0,0
discover,0,0,0,0,0,0,16,0
educated,1,0,0,0,0,0,0,0
east,1,0,0,0,3,0,0,0
west,4,0,9,0,4,0,0,0
believe,0,0,0,0,0,0,8,0
practical,1,0,0,0,0,0,0,0
voyage,0,0,0,0,25,0,0,0
different,1,0,0,0,0,0,0,0
matter,0,0,0,0,2,0,0,0
master,0,0,0,0,1,0,0,0
navigator,0,0,0,0,10,0,0,0
optimistic,1,0,0,0,0,0,0,0
advocate,0,0,0,0,1,0,0,0
set,0,0,0,0,0,0,18,0
expedition,0,0,0,0,51,0,0,0
speedy,1,0,0,0,0,0,0,0
caravel,0,0,0,0,2,0,0,0
flagship,0,0,0,0,3,0,0,0
twice,0,0,0,1,0,0,0,0
size,0,0,0,0,1,0,0,0
funding,0,0,0,0,1,0,0,0
spanish,24,0,0,0,0,0,0,0
monarch,0,0,0,0,1,0,0,0
banker,0,0,0,0,1,0,0,0
command,0,0,0,0,2,0,4,0
brother,0,0,0,0,1,0,0,0
captain,0,0,0,0,3,0,0,0
print,0,0,0,0,1,0,0,0
little,4,0,0,0,0,0,0,0
fleet,0,0,0,0,5,0,0,0
passage,0,0,0,0,6,0,0,0
smooth,1,0,0,0,0,0,0,0
wind,0,0,0,0,3,0,0,0
steady,1,0,0,0,0,0,0,0
day,0,0,0,0,7,0,0,0
pass,0,0,0,0,0,0,4,0
man,0,0,0,0,37,0,0,0
home,0,0,4,0,0,0,0,0
blow,0,0,0,0,0,0,3,0
steadily,0,0,1,0,0,0,0,0
ready,1,0,0,0,0,0,0,0
rebel,0,0,0,0,0,0,2,0
say,0,0,0,0,0,0,3,0
turn,0,0,0,0,0,0,9,0
sight,0,0,0,0,1,0,6,0
night,0,0,0,0,1,0,0,0
think,0,0,0,0,0,0,3,0
see,0,0,0,0,0,0,8,0
light,0,0,0,0,1,0,0,0
distance,0,0,0,0,2,0,0,0
seaman,0,0,0,0,1,0,0,0
aboard,0,1,0,0,0,0,0,0
cry,0,0,0,0,0,0,2,0
loudly,0,0,1,0,0,0,0,0
unknowingly,0,0,1,0,0,0,0,0
caribbean,3,0,0,0,0,0,0,0
island,0,0,0,0,18,0,0,0
lie,0,0,0,0,0,0,6,0
name,0,0,0,0,0,0,18,0
meet,0,0,0,0,0,0,9,0
royal,3,0,0,0,0,0,0,0
banner,0,0,0,0,1,0,0,0
take,0,0,0,0,0,0,8,0
possession,0,0,0,0,4,0,0,0
friendly,2,0,0,0,0,0,0,0
helpful,1,0,0,0,0,0,0,0
encounter,0,0,0,0,0,0,5,0
today,0,0,0,0,2,0,0,0
distinguish,0,0,0,0,0,0,1,0
guide,0,0,0,0,5,0,1,0
ask,0,0,0,0,0,0,2,0
inhabitant,0,0,0,0,2,0,0,0
rename,0,0,0,0,0,0,1,0
previously,0,0,1,0,0,0,0,0
trinket,0,0,0,0,1,0,0,0
save,0,0,0,0,0,0,1,0
ridicule,0,0,0,0,1,0,0,0
return,0,0,0,0,6,0,15,0
run,0,0,0,0,0,0,1,0
aground,0,0,1,0,0,0,0,0
north,1,0,4,0,9,0,0,0
abandon,0,0,0,0,0,0,4,0
timber,0,0,0,0,1,0,0,0
build,0,0,0,0,0,0,8,0
fort,0,0,0,0,5,0,0,0
help,0,0,0,0,1,0,1,0
chief,0,0,0,0,3,0,0,0
leave,0,0,0,0,0,0,6,0
crewman,0,0,0,0,1,0,0,0
colonist,0,0,0,0,5,0,0,0
parrot,0,0,0,0,1,0,0,0
strange,1,0,0,0,0,0,0,0
ornament,0,0,0,0,1,0,0,0
capture,0,0,0,0,0,0,2,0
nightmare,0,0,0,0,1,0,0,0
terrible,2,0,0,0,0,0,0,0
storm,0,0,0,0,3,0,0,0
engulf,0,0,0,0,0,0,1,0
separate,0,0,0,0,0,0,1,0
town,0,0,0,0,4,0,0,0
trip,0,0,0,0,3,0,0,0
die,0,0,0,0,0,0,3,0
line,0,0,0,0,5,0,0,0
demarcation,0,0,0,0,1,0,0,0
claim,0,0,0,0,11,0,13,0
merely,0,0,1,0,0,0,0,0
visit,0,0,0,0,1,0,5,0
dominion,0,0,0,0,1,0,0,0
pope,0,0,0,0,1,0,0,0
dispute,0,0,0,0,3,0,0,0
comply,0,0,0,0,0,0,1,0
draw,0,0,0,0,0,0,1,0
arbitrary,1,0,0,0,0,0,0,0
south,0,0,1,0,6,0,0,0
redrawn,0,0,0,0,1,0,0,0
following,4,0,0,0,0,0,0,0
give,0,0,0,0,0,0,5,0
exclusive,2,0,0,0,0,0,0,0
right,0,0,1,0,3,0,0,0
newly,0,0,2,0,0,0,0,0
undiscovered,1,0,0,0,0,0,0,0
country,0,0,0,0,1,0,0,0
face,0,0,0,0,0,0,2,0
accept,0,0,0,0,0,0,1,0
significant,2,0,0,0,0,0,0,0
prize,0,0,0,0,1,0,0,0
intend,0,0,0,0,0,0,2,0
avoid,0,0,0,0,0,0,2,0
calm,1,0,0,0,1,0,0,0
bear,0,0,0,0,0,0,2,0
far,0,0,9,0,0,0,0,0
brazilian,1,0,0,0,0,0,0,0
formal,1,0,0,0,0,0,0,0
territory,0,0,0,0,1,0,0,0
define,0,0,0,0,0,0,1,0
revise,0,0,0,0,0,0,1,0
news,0,0,0,0,3,0,0,0
landing,0,0,0,0,1,0,0,0
arouse,0,0,0,0,0,0,2,0
enthusiasm,0,0,0,0,1,0,0,0
king,0,0,0,0,11,0,0,0
sponsor,0,0,0,0,0,0,4,0
major,2,0,0,0,0,0,0,0
transatlantic,1,0,0,0,0,0,0,0
scholar,0,0,0,0,2,0,0,0
convinced,1,0,0,0,0,0,0,0
present,1,0,0,0,0,0,1,0
convince,0,0,0,0,0,0,1,0
region,0,0,0,0,17,0,0,0
reserve,0,0,0,0,0,0,1,0
commission,0,0,0,0,0,0,2,0
merchant,0,0,0,0,2,0,0,0
important,3,0,0,0,0,0,0,0
portrait,0,0,0,0,1,0,0,0
official,0,0,0,0,1,0,0,0
furnish,0,0,0,0,0,0,2,0
consort,0,0,0,0,1,0,0,0
crew,0,0,0,0,9,0,0,0
southwestern,2,0,0,0,0,0,0,0
search,0,0,0,0,10,0,7,0
strait,0,0,0,0,5,0,0,0
spend,0,0,0,0,0,0,5,0
difficult,3,0,0,0,0,0,0,0
winter,0,0,0,0,13,0,1,0
finally,0,0,4,0,0,0,0,0
westward,0,0,2,0,0,0,0,0
channel,0,0,0,0,3,0,0,0
mainland,0,0,0,0,4,0,0,0
prove,0,0,0,0,0,0,7,0
extremely,0,0,1,0,0,0,0,0
deep,1,0,0,0,0,0,0,0
tortuous,1,0,0,0,0,0,0,0
rock,0,0,0,0,1,0,0,0
wall,0,0,0,0,0,0,1,0
bedevil,0,0,0,0,0,0,1,0
icy,1,0,0,0,0,0,0,0
squall,0,0,0,0,1,0,0,0
dense,1,0,0,0,0,0,0,0
fog,0,0,0,0,1,0,0,0
ocean,0,0,0,0,6,0,0,0
iron,0,0,0,0,2,0,0,0
willed,1,0,0,0,0,0,0,0
reportedly,0,0,2,0,0,0,0,0
break,0,0,0,0,0,0,3,0
joy,0,0,0,0,1,0,0,0
away,0,0,2,0,0,0,0,0
mean,0,0,0,0,0,0,3,0
peaceable,1,0,0,0,0,0,0,0
week,0,0,0,0,3,0,0,0
short,2,0,0,0,0,0,0,0
sailor,0,0,0,0,3,0,0,0
eat,0,0,0,0,0,0,1,0
sawdust,0,0,0,0,1,0,0,0
mix,0,0,0,0,0,0,1,0
putrid,1,0,0,0,0,0,0,0
biscuit,0,0,0,0,1,0,0,0
rat,0,0,0,0,1,0,0,0
catch,0,0,0,0,1,0,3,0
exhausted,1,0,0,0,0,0,0,0
poor,2,0,0,0,0,0,0,0
health,0,0,0,0,1,0,0,0
secure,0,0,0,0,0,0,1,0
alliance,0,0,0,0,1,0,0,0
leader,0,0,0,0,3,0,0,0
convert,0,0,0,0,0,0,2,0
ruler,0,0,0,0,1,0,0,0
fight,0,0,0,0,2,0,2,0
survivor,0,0,0,0,8,0,0,0
obtain,0,0,0,0,0,0,3,0
valuable,4,0,0,0,0,0,0,0
attempt,0,0,0,0,4,0,1,0
fail,0,0,0,0,0,0,3,0
remain,0,0,0,0,0,0,7,0
slightly,0,0,1,0,0,0,0,0
circle,0,0,0,0,0,0,1,0
survive,0,0,0,0,0,0,2,0
consist,0,0,0,0,0,0,2,0
confirm,0,0,0,0,0,0,1,0
demonstrate,0,0,0,0,0,0,2,0
vastness,0,0,0,0,1,0,0,0
rest,0,0,0,0,3,0,1,0
aware,1,0,0,0,0,0,0,0
discovery,0,0,0,0,8,0,0,0
near,0,11,0,0,0,0,0,0
american,5,0,0,0,0,0,0,0
party,0,0,0,0,10,0,0,0
archaeologist,0,0,0,0,1,0,0,0
evidence,0,0,0,0,2,0,0,0
settlement,0,0,0,0,8,0,0,0
write,0,0,0,0,0,0,3,0
lively,1,0,0,0,0,0,0,0
embellished,1,0,0,0,0,0,0,0
description,0,0,0,0,3,0,0,0
popular,2,0,0,0,0,0,0,0
german,1,0,0,0,0,0,0,0
cartographer,0,0,0,0,1,0,0,0
suggest,0,0,0,0,0,0,4,0
pamphlet,0,0,0,0,1,0,0,0
honor,0,0,0,0,1,0,1,0
feel,0,0,0,0,0,0,1,0
deserve,0,0,0,0,0,0,1,0
originally,0,0,1,0,0,0,0,0
apply,0,0,0,0,0,0,1,0
term,0,0,0,0,1,0,0,0
soon,0,0,9,0,0,0,0,0
extend,0,0,0,0,0,0,1,0
accord,0,0,0,0,0,0,2,0
control,0,0,0,0,2,0,2,0
conqueror,0,0,0,0,1,0,0,0
conquistador,0,0,0,0,2,0,0,0
colony,0,0,0,0,16,0,0,0
serve,0,0,0,0,0,0,6,0
governor,0,0,0,0,2,0,0,0
hear,0,0,0,0,0,0,3,0
persistent,1,0,0,0,0,0,0,0
report,0,0,0,0,4,0,3,0
found,0,0,0,0,0,0,7,0
encourage,0,0,0,0,0,0,1,0
learn,0,0,0,0,0,0,4,0
miraculous,1,0,0,0,0,0,0,0
spring,0,0,0,0,5,0,0,0
fountain,0,0,0,0,3,0,0,0
keep,0,0,0,0,0,0,1,0
drink,0,0,0,0,0,0,1,0
perpetually,0,0,1,0,0,0,0,0
young,1,0,0,0,0,0,0,0
youth,0,0,0,0,1,0,0,0
fabled,3,0,0,0,0,0,0,0
current,0,0,0,0,1,0,0,0
site,0,0,0,0,5,0,0,0
realize,0,0,0,0,0,0,1,0
suppose,0,0,0,0,0,0,1,0
commemorate,0,0,0,0,0,0,1,0
holiday,0,0,0,0,1,0,0,0
florida,0,0,0,0,0,0,0,1
possibly,0,0,2,0,0,0,0,0
flower,0,0,0,0,1,0,0,0
grow,0,0,0,0,0,0,2,0
flowery,1,0,0,0,0,0,0,0
end,0,0,0,0,2,0,2,0
slay,0,0,0,0,0,0,1,0
additional,1,0,0,0,0,0,0,0
authorization,0,0,0,0,1,0,0,0
subdue,0,0,0,0,0,0,1,0
soldier,0,0,0,0,4,0,0,0
suffer,0,0,0,0,0,0,2,0
loss,0,0,0,0,1,0,0,0
desert,0,0,0,0,2,0,1,0
hurricane,0,0,0,0,1,0,0,0
sink,0,0,0,0,0,0,1,0
follower,0,0,0,0,1,0,0,0
distressing,1,0,0,0,0,0,0,0
northward,0,0,4,0,0,0,0,0
continually,0,0,1,0,0,0,0,0
panhandle,0,0,0,0,1,0,0,0
expect,0,0,0,0,0,0,2,0
instead,0,0,2,0,0,0,0,0
hope,0,0,0,0,2,0,5,0
drift,0,0,0,0,0,0,2,0
mouth,0,0,0,0,12,0,0,0
progress,0,0,0,0,0,0,1,0
lose,0,0,0,0,0,0,7,0
disappear,0,0,0,0,0,0,2,0
vessel,0,0,0,0,4,0,0,0
suddenly,0,0,1,0,0,0,0,0
shore,0,0,0,0,3,0,0,0
alive,1,0,0,0,0,0,0,0
eventually,0,0,3,0,0,0,0,0
black,2,0,0,0,0,0,0,0
enter,0,0,0,0,0,0,5,0
companion,0,0,0,0,5,0,0,0
tribe,0,0,0,0,3,0,0,0
river,0,0,0,0,19,0,0,0
grave,1,0,0,0,0,0,0,0
hardship,0,0,0,0,1,0,0,0
poverty,0,0,0,0,1,0,0,0
wandering,0,0,0,0,1,0,0,0
way,0,0,0,0,8,0,0,0
disastrous,2,0,0,0,0,0,0,0
story,0,0,0,0,1,0,0,0
civilization,0,0,0,0,1,0,0,0
supposedly,0,0,1,0,0,0,0,0
exist,0,0,0,0,0,0,1,0
seven,0,0,0,0,0,9,0,0
detailed,1,0,0,0,0,0,0,0
account,0,0,0,0,1,0,0,0
publish,0,0,0,0,0,0,1,0
edition,0,0,0,0,1,0,0,0
credit,0,0,0,0,0,0,2,0
discoverer,0,0,0,0,1,0,0,0
participate,0,0,0,0,0,0,1,0
brief,1,0,0,0,0,0,0,0
stop,0,0,0,0,1,0,0,0
village,0,0,0,0,3,0,0,0
supply,0,0,0,0,2,0,0,0
torture,0,0,0,0,1,0,1,0
useless,1,0,0,0,0,0,0,0
effort,0,0,0,0,4,0,0,0
tell,0,0,0,0,0,0,2,0
hide,0,0,0,0,0,0,1,0
abduct,0,0,0,0,0,0,1,0
brutality,0,0,0,0,1,0,0,0
battle,0,0,0,0,2,0,0,0
assortment,0,0,0,0,1,0,0,0
pearl,0,0,0,0,2,0,0,0
head,0,0,0,0,1,0,2,0
fortify,0,0,0,0,0,0,2,0
confederation,0,0,0,0,1,0,0,0
attack,0,0,0,0,0,0,2,0
decimate,0,0,0,0,0,0,1,0
severely,0,0,1,0,0,0,0,0
crippled,1,0,0,0,0,0,0,0
equipment,0,0,0,0,1,0,0,0
month,0,0,0,0,4,0,0,0
decide,0,0,0,0,0,0,4,0
inland,0,0,2,0,1,0,0,0
treasure,0,0,0,0,3,0,0,0
decision,0,0,0,0,1,0,0,0
northwest,1,0,2,0,0,0,0,0
relentlessly,0,0,1,0,0,0,0,0
ahead,0,0,2,0,0,0,0,0
escape,0,0,0,0,0,0,1,0
overcome,0,0,0,0,0,0,1,0
comrade,0,0,0,0,1,0,0,0
bury,0,0,0,0,0,0,1,0
body,0,0,0,0,2,0,0,0
half,0,0,0,2,1,0,0,0
original,1,0,0,0,0,0,0,0
raft,0,0,0,0,1,0,0,0
painting,0,0,0,0,1,0,0,0
figure,0,0,0,0,1,0,0,0
horseback,0,0,0,0,1,0,0,0
mission,0,0,0,0,2,0,0,0
locate,0,0,0,0,0,0,1,0
wealthy,1,0,0,0,0,0,0,0
franciscan,3,0,0,0,0,0,0,0
priest,0,0,0,0,2,0,0,0
shipwreck,0,0,0,0,1,0,1,0
scout,0,0,0,0,0,0,1,0
actually,0,0,1,0,0,0,0,0
pueblo,0,0,0,0,3,0,0,0
case,0,0,0,0,1,0,0,0
tale,0,0,0,0,1,0,0,0
stir,0,0,0,0,0,0,1,0
interest,0,0,0,0,3,0,0,0
forth,0,0,2,0,0,0,0,0
military,1,0,0,0,0,0,0,0
hundred,0,0,0,0,1,0,0,0
ally,0,0,0,0,1,0,0,0
herd,0,0,0,0,1,0,0,0
branch,0,0,0,0,1,0,0,0
inspire,0,0,0,0,0,0,2,0
legend,0,0,0,0,1,0,0,0
photograph,0,0,0,0,1,0,0,0
main,1,0,0,0,0,0,0,0
depart,0,0,0,0,0,0,1,0
unit,0,0,0,0,1,0,0,0
ride,0,0,0,0,0,0,1,0
scouting,0,0,0,0,1,0,0,0
view,0,0,0,0,0,0,1,0
valley,0,0,0,0,1,0,0,0
plain,0,0,0,0,1,0,0,0
northeast,5,0,1,0,4,0,0,0
central,2,0,0,0,0,0,0,0
hold,0,0,0,0,0,0,2,0
tepee,0,0,0,0,1,0,0,0
execute,0,0,0,0,0,0,1,0
legendary,1,0,0,0,0,0,0,0
start,0,0,0,0,1,0,1,0
homeward,1,0,2,0,0,0,0,0
tattered,1,0,0,0,0,0,0,0
army,0,0,0,0,2,0,0,0
mountain,0,0,0,0,3,0,0,0
blaze,0,0,0,0,0,0,1,0
summer,0,0,0,0,2,0,0,0
heat,0,0,0,0,1,0,0,0
fall,0,0,0,0,1,0,0,0
trail,0,0,0,0,0,0,1,0
basis,0,0,0,0,2,0,0,0
seaward,1,0,0,0,0,0,0,0
peninsula,0,0,0,0,2,0,0,0
southwest,0,0,0,0,1,0,0,0
certain,1,0,0,0,0,0,0,0
event,0,0,0,0,1,0,0,0
service,0,0,0,0,1,0,0,0
embark,0,0,0,0,0,0,1,0
mexican,1,0,0,0,0,0,0,0
bay,0,0,0,0,2,0,0,0
statue,0,0,0,0,1,0,0,0
strengthen,0,0,0,0,0,0,2,0
chart,0,0,0,0,0,0,1,0
ultimately,0,0,1,0,0,0,0,0
launch,0,0,0,0,0,0,1,0
have,0,0,0,0,0,0,2,0
care,0,0,0,0,0,0,1,0
disappointing,1,0,0,0,0,0,0,0
missionary,0,0,0,0,3,0,0,0
settler,0,0,0,0,6,0,0,0
colonial,3,0,0,0,0,0,0,0
concentrate,0,0,0,0,0,0,1,0
exploit,0,0,0,0,0,0,1,0
english,17,0,0,0,0,0,0,0
secret,1,0,0,0,0,0,0,0
financial,1,0,0,0,0,0,0,0
support,0,0,0,0,1,0,0,0
profitable,1,0,0,0,0,0,0,0
plunder,0,0,0,0,0,0,1,0
bind,0,0,0,0,0,0,1,0
anger,0,0,0,0,0,0,1,0
approach,0,0,0,0,0,0,1,0
interested,2,0,0,0,0,0,0,0
failure,0,0,0,0,2,0,0,0
disaster,0,0,0,0,1,0,0,0
shortly,0,0,1,0,0,0,0,0
authorize,0,0,0,0,0,0,1,0
unknown,1,0,0,0,0,0,0,0
weather,0,0,0,0,1,0,0,0
shortage,0,0,0,0,1,0,0,0
try,0,0,0,0,0,0,3,0
proceed,0,0,0,0,0,0,3,0
make,0,0,0,0,0,0,2,0
landfall,0,0,0,0,3,0,0,0
morning,0,0,0,0,1,0,0,0
go,0,0,0,0,0,0,3,0
ashore,0,0,1,0,0,0,0,0
notice,0,0,0,0,0,0,1,0
sign,0,0,0,0,1,0,0,0
inhabit,0,0,0,0,0,0,1,0
coastline,0,0,0,0,2,0,0,0
probably,0,0,1,0,0,0,0,0
likely,0,0,1,0,0,0,0,0
successful,2,0,0,0,0,0,0,0
lay,0,0,0,0,0,0,1,0
groundwork,0,0,0,0,1,0,0,0
possible,2,0,0,0,0,0,0,0
establishment,0,0,0,0,1,0,0,0
teem,0,0,0,0,0,0,1,0
fish,0,0,0,0,1,0,1,0
