word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,PRON,SCONJ,VERB,X
regulation,0,0,0,0,4,0,0,0,0,0
cover,0,0,0,0,0,0,0,0,2,0
aspect,0,0,0,0,4,0,0,0,0,0
production,0,0,0,0,15,0,0,0,0,0
crop,0,0,0,0,49,0,0,0,0,0
raise,0,0,0,0,0,0,0,0,4,0
animal,0,0,0,0,33,0,0,0,0,0
processing,0,0,0,0,8,0,0,0,0,0
packaging,0,0,0,0,8,0,0,0,0,0
storage,0,0,0,0,4,0,0,0,0,0
sale,0,0,0,0,5,0,0,0,0,0
rigorous,2,0,0,0,0,0,0,0,0,0
standard,0,0,0,0,9,0,0,0,0,0
official,0,0,0,0,1,0,0,0,0,0
check,0,0,0,0,3,0,0,0,6,0
maintain,0,0,0,0,0,0,0,0,7,0
worker,0,0,0,0,5,0,0,0,0,0
arrange,0,0,0,0,0,0,0,0,1,0
fish,0,0,0,0,3,0,0,0,0,0
stick,0,0,0,0,1,0,0,0,0,0
row,0,0,0,0,1,0,0,0,0,0
process,0,0,0,0,5,0,0,0,6,0
factory,0,0,0,0,7,0,0,0,0,0
today,0,0,0,0,1,0,0,0,0,0
produce,0,0,0,0,2,0,0,0,22,0
similar,2,0,0,0,0,0,0,0,0,0
combine,0,0,0,0,0,0,0,0,2,0
estimate,0,0,0,0,2,0,0,0,0,0
major,4,0,0,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,11,0
pathogen,0,0,0,0,1,0,0,0,0,0
unspecified,1,0,0,0,0,0,0,0,0,0
agent,0,0,0,0,3,0,0,0,0,0
conclude,0,0,0,0,0,0,0,0,1,0
overall,1,0,0,0,0,0,0,0,0,0
annual,1,0,0,0,0,0,0,0,0,0
total,1,0,0,0,0,0,0,0,0,0
burden,0,0,0,0,1,0,0,0,0,0
disease,0,0,0,0,14,0,0,0,0,0
contaminate,0,0,0,0,0,0,0,0,14,0
consume,0,0,0,0,0,0,0,0,3,0
illness,0,0,0,0,9,0,0,0,0,0
hospitalization,0,0,0,0,1,0,0,0,0,0
death,0,0,0,0,3,0,0,0,0,0
website,0,0,0,0,4,0,0,0,0,0
potential,7,0,0,0,0,0,0,0,0,0
fall,0,0,0,0,0,0,0,0,1,0
main,3,0,0,0,0,0,0,0,0,0
category,0,0,0,0,1,0,0,0,0,0
genetic,18,0,0,0,1,0,0,0,0,0
modification,0,0,0,0,3,0,0,0,0,0
scientific,4,0,0,0,0,0,0,0,0,0
technique,0,0,0,0,6,0,0,0,0,0
new,31,0,0,0,0,0,0,0,0,0
despite,0,0,0,0,0,0,0,1,0,0
reassurance,0,0,0,0,1,0,0,0,0,0
scientist,0,0,0,0,22,0,0,0,0,0
everybody,0,0,0,0,0,0,1,0,0,0
convince,0,0,0,0,0,0,0,0,2,0
add,0,0,0,0,0,0,0,0,29,0
stage,0,0,0,0,5,0,0,0,0,0
microbe,0,0,0,0,40,0,0,0,0,0
ancient,1,0,0,0,0,0,0,0,0,0
ancestor,0,0,0,0,1,0,0,0,0,0
live,0,0,0,0,0,0,0,0,6,0
find,0,0,0,0,0,0,0,0,16,0
roam,0,0,0,0,0,0,0,0,1,0
hunt,0,0,0,0,0,0,0,0,1,0
seek,0,0,0,0,0,0,0,0,1,0
edible,3,0,0,0,0,0,0,0,0,0
plant,0,0,0,0,55,0,0,0,4,0
part,0,0,0,0,2,0,0,0,0,0
fruit,0,0,0,0,14,0,0,0,0,0
berry,0,0,0,0,1,0,0,0,0,0
nut,0,0,0,0,2,0,0,0,0,0
thousand,0,0,0,0,2,0,0,0,0,0
year,0,0,0,0,19,0,0,0,0,0
gradual,1,0,0,0,0,0,0,0,0,0
change,0,0,0,0,7,0,0,0,8,0
take,0,0,0,0,0,0,0,0,14,0
place,0,0,0,0,4,0,0,0,1,0
sow,0,0,0,0,1,0,0,0,1,0
seed,0,0,0,0,6,0,0,0,0,0
tend,0,0,0,0,0,0,0,0,1,0
harvest,0,0,0,0,0,0,0,0,3,0
domesticate,0,0,0,0,0,0,0,0,1,0
milk,0,0,0,0,6,0,0,0,0,0
egg,0,0,0,0,7,0,0,0,0,0
meat,0,0,0,0,17,0,0,0,0,0
early,1,0,0,0,0,0,0,0,0,0
farmer,0,0,0,0,12,0,0,0,0,0
family,0,0,0,0,6,0,0,0,0,0
social,2,0,0,0,0,0,0,0,0,0
group,0,0,0,0,2,0,0,0,0,0
rely,0,0,0,0,0,0,0,0,2,0
native,3,0,0,0,0,0,0,0,0,0
suited,1,0,0,0,0,0,0,0,0,0
environment,0,0,0,0,7,0,0,0,0,0
gradually,0,0,1,0,0,0,0,0,0,0
selection,0,0,0,0,1,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,4,0
occur,0,0,0,0,0,0,0,0,7,0
example,0,0,0,0,22,0,0,0,0,0
choose,0,0,0,0,0,0,0,0,3,0
strong,4,0,0,0,0,0,0,0,0,0
ensure,0,0,0,0,0,0,0,0,7,0
future,4,0,0,0,5,0,0,0,0,0
generation,0,0,0,0,1,0,0,0,0,0
way,0,0,0,0,19,0,0,0,0,0
store,0,0,0,0,3,0,0,0,8,0
winter,0,0,0,0,1,0,0,0,0,0
fresh,13,0,0,0,0,0,0,0,0,0
scarce,1,0,0,0,0,0,0,0,0,0
drying,0,0,0,0,1,0,0,0,0,0
smoking,0,0,0,0,1,0,0,0,0,0
salting,0,0,0,0,1,0,0,0,0,0
pickling,0,0,0,0,2,0,0,0,0,0
help,0,0,0,0,0,0,0,0,17,0
preserve,0,0,0,0,0,0,0,0,6,0
photograph,0,0,0,0,2,0,0,0,1,0
show,0,0,0,0,0,0,0,0,11,0
woman,0,0,0,0,2,0,0,0,0,0
sort,0,0,0,0,0,0,0,0,1,0
pea,0,0,0,0,3,0,0,0,0,0
storeroom,0,0,0,0,1,0,0,0,0,0
previous,2,0,0,0,0,0,0,0,0,0
vegetable,0,0,0,0,7,0,0,0,0,0
jar,0,0,0,0,2,0,0,0,0,0
can,0,0,0,0,1,0,0,0,0,0
shelf,0,0,0,0,6,0,0,0,0,0
floor,0,0,0,0,1,0,0,0,0,0
society,0,0,0,0,1,0,0,0,0,0
civilization,0,0,0,0,1,0,0,0,0,0
farming,0,0,0,0,7,0,0,0,0,0
method,0,0,0,0,10,0,0,0,0,0
increasingly,0,0,2,0,0,0,0,0,0,0
organized,1,0,0,0,0,0,0,0,0,0
sophisticated,1,0,0,0,0,0,0,0,0,0
explorer,0,0,0,0,1,0,0,0,0,0
trader,0,0,0,0,1,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,2,0
distant,1,0,0,0,0,0,0,0,0,0
land,0,0,0,0,5,0,0,0,0,0
expand,0,0,0,0,0,0,0,0,2,0
range,0,0,0,0,4,0,0,0,0,0
available,6,0,0,0,0,0,0,0,0,0
nineteenth,1,0,0,0,0,0,0,0,0,0
twentieth,2,0,0,0,0,0,0,0,0,0
century,0,0,0,0,3,0,0,0,0,0
period,0,0,0,0,3,0,0,0,0,0
rapid,2,0,0,0,0,0,0,0,0,0
progress,0,0,0,0,1,0,0,0,0,0
electricity,0,0,0,0,1,0,0,0,0,0
machinery,0,0,0,0,4,0,0,0,0,0
speed,0,0,0,0,0,0,0,0,1,0
previously,0,0,2,0,0,0,0,0,0,0
hand,0,0,0,0,5,0,0,0,0,0
steam,0,0,0,0,1,0,0,0,0,0
ship,0,0,0,0,2,0,0,0,0,0
train,0,0,0,0,1,0,0,0,0,0
airplane,0,0,0,0,2,0,0,0,0,0
reduce,0,0,0,0,0,0,0,0,9,0
journey,0,0,0,0,2,0,0,0,0,0
time,0,0,0,0,7,0,0,0,0,0
unravel,0,0,0,0,0,0,0,0,1,0
secret,0,0,0,0,1,0,0,0,0,0
inheritance,0,0,0,0,1,0,0,0,0,0
investigate,0,0,0,0,0,0,0,0,4,0
study,0,0,0,0,0,0,0,0,1,0
combat,0,0,0,0,0,0,0,0,2,0
material,0,0,0,0,5,0,0,0,0,0
plastic,0,0,0,0,2,0,0,0,0,0
invent,0,0,0,0,0,0,0,0,1,0
household,0,0,0,0,1,0,0,0,0,0
appliance,0,0,0,0,1,0,0,0,0,0
refrigerator,0,0,0,0,3,0,0,0,0,0
freezer,0,0,0,0,4,0,0,0,0,0
commonplace,2,0,0,0,0,0,0,0,0,0
everyday,1,0,0,0,0,0,0,0,0,0
life,0,0,0,0,4,0,0,0,0,0
transform,0,0,0,0,0,0,0,0,1,0
hold,0,0,0,0,0,0,0,0,2,0
different,15,0,0,0,0,0,0,0,0,0
view,0,0,0,0,2,0,0,0,0,0
merit,0,0,0,0,1,0,0,0,0,0
traditional,4,0,0,0,0,0,0,0,0,0
versus,0,1,0,0,0,0,0,0,0,0
modern,4,0,0,0,0,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,1,0
real,2,0,0,0,0,0,0,0,0,0
prosperous,1,0,0,0,0,0,0,0,0,0
farm,0,0,0,0,11,0,0,0,0,0
case,0,0,0,0,9,0,0,0,0,0
diversified,1,0,0,0,0,0,0,0,0,0
basis,0,0,0,0,6,0,0,0,0,0
step,0,0,0,0,6,0,0,0,0,0
astonish,0,0,0,0,0,0,0,0,1,0
dismay,0,0,0,0,0,0,0,0,1,0
disappearance,0,0,0,0,1,0,0,0,0,0
secretary,0,0,0,0,1,0,0,0,0,0
continue,0,0,0,0,0,0,0,0,6,0
intensify,0,0,0,0,0,0,0,0,1,0
organic,8,0,0,0,0,0,0,0,0,0
feed,0,0,0,0,2,0,0,0,3,0
population,0,0,0,0,4,0,0,0,0,0
world,0,0,0,0,8,0,0,0,0,0
head,0,0,0,0,1,0,0,0,0,0
type,0,0,0,0,12,0,0,0,0,0
think,0,0,0,0,0,0,0,0,10,0
offer,0,0,0,0,0,0,0,0,4,0
hope,0,0,0,0,1,0,0,0,0,0
affect,0,0,0,0,0,0,0,0,5,0
small,8,0,0,0,0,0,0,0,0,0
field,0,0,0,0,7,0,0,0,0,0
large,5,0,0,0,0,0,0,0,0,0
suitable,3,0,0,0,0,0,0,0,0,0
agricultural,5,0,0,0,0,0,0,0,0,0
yield,0,0,0,0,8,0,0,0,0,0
increase,0,0,0,0,1,0,0,0,16,0
use,0,0,0,0,11,0,0,0,1,0
condition,0,0,0,0,8,0,0,0,0,0
specifically,0,0,1,0,0,0,0,0,0,0
calculate,0,0,0,0,0,0,0,0,1,0
allow,0,0,0,0,0,0,0,0,7,0
quickly,0,0,2,0,0,0,0,0,0,0
space,0,0,0,0,2,0,0,0,0,0
improve,0,0,0,0,0,0,0,0,8,0
long,5,0,5,0,0,0,0,0,0,0
organism,0,0,0,0,30,0,0,0,0,0
laboratory,0,0,0,0,2,0,0,0,0,0
selective,1,0,0,0,0,0,0,0,0,0
breeding,0,0,0,0,1,0,0,0,0,0
global,7,0,0,0,0,0,0,0,0,0
transportation,0,0,0,0,1,0,0,0,0,0
mean,0,0,0,0,0,0,0,0,8,0
thing,0,0,0,0,5,0,0,0,0,0
tiny,5,0,0,0,0,0,0,0,0,0
unit,0,0,0,0,1,0,0,0,0,0
call,0,0,0,0,0,0,0,0,16,0
cell,0,0,0,0,4,0,0,0,0,0
contain,0,0,0,0,0,0,0,0,18,0
set,0,0,0,0,2,0,0,0,5,0
instruction,0,0,0,0,3,0,0,0,0,0
code,0,0,0,0,6,0,0,0,0,0
genome,0,0,0,0,8,0,0,0,0,0
control,0,0,0,0,1,0,0,0,8,0
happen,0,0,0,0,0,0,0,0,4,0
engineering,0,0,0,0,8,0,0,0,0,0
diagram,0,0,0,0,1,0,0,0,0,0
chromosome,0,0,0,0,11,0,0,0,0,0
human,10,0,0,0,9,0,0,0,0,0
gene,0,0,0,0,31,0,0,0,0,0
link,0,0,0,0,0,0,0,0,4,0
base,0,0,0,0,1,0,0,0,4,0
pair,0,0,0,0,2,0,0,0,0,0
information,0,0,0,0,7,0,0,0,0,0
double,2,0,0,0,0,0,0,0,1,0
stranded,1,0,0,0,0,0,0,0,0,0
threadlike,1,0,0,0,0,0,0,0,0,0
structure,0,0,0,0,3,0,0,0,0,0
inside,0,4,2,0,0,0,0,0,0,0
nucleus,0,0,0,0,1,0,0,0,0,0
thread,0,0,0,0,1,0,0,0,0,0
piece,0,0,0,0,2,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,9,0
geneticist,0,0,0,0,2,0,0,0,0,0
visualize,0,0,0,0,0,0,0,0,1,0
line,0,0,0,0,1,0,0,0,1,0
like,1,6,0,0,0,0,0,0,0,0
bead,0,0,0,0,1,0,0,0,0,0
necklace,0,0,0,0,1,0,0,0,0,0
deoxyribonucleic,1,0,0,0,0,0,0,0,0,0
acid,0,0,0,0,5,0,0,0,0,0
complicated,1,0,0,0,0,0,0,0,0,0
helix,0,0,0,0,1,0,0,0,0,0
molecule,0,0,0,0,3,0,0,0,0,0
adenine,0,0,0,0,1,0,0,0,0,0
cytosine,0,0,0,0,1,0,0,0,0,0
guanine,0,0,0,0,1,0,0,0,0,0
thymine,0,0,0,0,1,0,0,0,0,0
specific,4,0,0,0,0,0,0,0,0,0
sequence,0,0,0,0,3,0,0,0,0,0
work,0,0,0,0,0,0,0,0,8,0
particular,3,0,0,0,0,0,0,0,0,0
characteristic,1,0,0,0,15,0,0,0,0,0
exactly,0,0,2,0,0,0,0,0,0,0
survive,0,0,0,0,0,0,0,0,5,0
drought,0,0,0,0,4,0,0,0,0,0
nutrition,0,0,0,0,2,0,0,0,0,0
able,1,0,0,0,0,0,0,0,0,0
benefit,0,0,0,0,6,0,0,0,2,0
community,0,0,0,0,4,0,0,0,0,0
economic,1,0,0,0,1,0,0,0,0,0
pathologist,0,0,0,0,1,0,0,0,0,0
talk,0,0,0,0,0,0,0,0,1,0
enzyme,0,0,0,0,2,0,0,0,0,0
split,0,0,0,0,0,0,0,0,2,0
dna,0,0,0,0,4,0,0,0,0,0
precise,2,0,0,0,0,0,0,0,0,0
point,0,0,0,0,3,0,0,0,0,0
possible,10,0,0,0,0,0,0,0,0,0
remove,0,0,0,0,0,0,0,0,2,0
insert,0,0,0,0,0,0,0,0,5,0
transfer,0,0,0,0,2,0,0,0,14,0
say,0,0,0,0,0,0,0,0,3,0
genetically,0,0,5,0,0,0,0,0,0,0
modify,0,0,0,0,0,0,0,0,6,0
shorten,0,0,0,0,0,0,0,0,1,0
swap,0,0,0,0,0,0,0,0,2,0
species,0,0,0,0,1,0,0,0,0,0
create,0,0,0,0,0,0,0,0,10,0
combination,0,0,0,0,1,0,0,0,0,0
variety,0,0,0,0,8,0,0,0,0,0
give,0,0,0,0,0,0,0,0,12,0
result,0,0,0,0,2,0,0,0,3,0
plum,0,0,0,0,1,0,0,0,0,0
apricot,0,0,0,0,2,0,0,0,0,0
left,0,0,1,0,2,0,0,0,0,0
aprium,0,0,0,0,1,0,0,0,0,0
right,0,0,2,0,3,0,0,0,0,0
pluot,0,0,0,0,1,0,0,0,0,0
ordinary,2,0,0,0,0,0,0,0,0,0
tomato,0,0,0,0,8,0,0,0,0,0
cold,2,0,0,0,0,0,0,0,0,0
weather,0,0,0,0,1,0,0,0,0,0
dogfish,0,0,0,0,2,0,0,0,0,0
shark,0,0,0,0,2,0,0,0,0,0
frost,0,0,0,0,2,0,0,0,0,0
resistant,8,0,0,0,0,0,0,0,0,0
usual,1,0,0,0,0,0,0,0,0,0
plus,0,0,0,1,0,0,0,0,0,0
slow,1,0,0,0,0,0,0,0,0,0
expensive,2,0,0,0,0,0,0,0,0,0
average,1,0,0,0,0,0,0,0,0,0
cost,0,0,0,0,0,0,0,0,2,0
decide,0,0,0,0,0,0,0,0,3,0
want,0,0,0,0,0,0,0,0,4,0
host,0,0,0,0,8,0,0,0,0,0
receive,0,0,0,0,0,0,0,0,2,0
identify,0,0,0,0,0,0,0,0,4,0
donor,0,0,0,0,4,0,0,0,0,0
have,0,0,0,0,0,0,0,0,1,0
analyze,0,0,0,0,0,0,0,0,1,0
specify,0,0,0,0,0,0,0,0,1,0
extract,0,0,0,0,1,0,0,0,2,0
require,0,0,0,0,0,0,0,0,4,0
rest,0,0,0,0,1,0,0,0,0,0
section,0,0,0,0,1,0,0,0,0,0
focus,0,0,0,0,2,0,0,0,1,0
success,0,0,0,0,1,0,0,0,0,0
cotton,0,0,0,0,3,0,0,0,0,0
beginning,0,0,0,0,1,0,0,0,0,0
trouble,0,0,0,0,2,0,0,0,0,0
pest,0,0,0,0,12,0,0,0,0,0
corn,0,0,0,0,1,0,0,0,0,0
earworm,0,0,0,0,2,0,0,0,0,0
difficult,3,0,0,0,0,0,0,0,0,0
spray,0,0,0,0,2,0,0,0,4,0
switch,0,0,0,0,0,0,0,0,1,0
solve,0,0,0,0,0,0,0,0,1,0
thank,0,0,0,0,1,0,0,0,0,0
relaxed,1,0,0,0,0,0,0,0,0,0
spraying,0,0,0,0,1,0,0,0,0,0
night,0,0,0,0,1,0,0,0,0,0
week,0,0,0,0,2,0,0,0,0,0
feel,0,0,0,0,0,0,0,0,1,0
management,0,0,0,0,2,0,0,0,0,0
practice,0,0,0,0,3,0,0,0,1,0
fourth,1,0,0,0,0,0,0,0,0,0
procedure,0,0,0,0,1,0,0,0,0,0
old,3,0,0,0,0,0,0,0,0,0
common,8,0,0,0,0,0,0,0,0,0
recombinant,1,0,0,0,0,0,0,0,0,0
ring,0,0,0,0,1,0,0,0,0,0
plasmid,0,0,0,0,1,0,0,0,0,0
bacterium,0,0,0,0,5,0,0,0,0,0
virus,0,0,0,0,10,0,0,0,0,0
inject,0,0,0,0,0,0,0,0,1,0
act,0,0,0,0,0,0,0,0,4,0
carrier,0,0,0,0,1,0,0,0,0,0
vector,0,0,0,0,1,0,0,0,0,0
yellowness,0,0,0,0,1,0,0,0,0,0
yellow,3,0,0,0,0,0,0,0,0,0
pepper,0,0,0,0,2,0,0,0,0,0
red,2,0,0,0,0,0,0,0,0,0
test,0,0,0,0,6,0,0,0,7,0
incorporate,0,0,0,0,0,0,0,0,2,0
present,4,0,0,0,0,0,0,0,0,0
prove,0,0,0,0,0,0,0,0,3,0
unexpected,2,0,0,0,0,0,0,0,0,0
harmful,9,0,0,0,0,0,0,0,0,0
dangerous,5,0,0,0,0,0,0,0,0,0
viable,1,0,0,0,0,0,0,0,0,0
original,1,0,0,0,0,0,0,0,0,0
initial,2,0,0,0,0,0,0,0,0,0
number,0,0,0,0,5,0,0,0,0,0
closely,0,0,3,0,0,0,0,0,0,0
sure,4,0,0,0,0,0,0,0,0,0
scale,0,0,0,0,3,0,0,0,0,0
finally,0,0,1,0,0,0,0,0,0,0
commercial,2,0,0,0,0,0,0,0,0,0
trial,0,0,0,0,1,0,0,0,0,0
testing,0,0,0,0,3,0,0,0,0,0
complete,1,0,0,0,0,0,0,0,0,0
license,0,0,0,0,0,0,0,0,2,0
release,0,0,0,0,1,0,0,0,4,0
reason,0,0,0,0,1,0,0,0,0,0
include,0,0,0,0,0,0,0,0,13,0
herbicide,0,0,0,0,8,0,0,0,0,0
resistance,0,0,0,0,7,0,0,0,0,0
kill,0,0,0,0,0,0,0,0,16,0
weed,0,0,0,0,7,0,0,0,0,0
strain,0,0,0,0,4,0,0,0,0,0
soybean,0,0,0,0,2,0,0,0,0,0
commercially,0,0,1,0,0,0,0,0,0,0
killer,0,0,0,0,1,0,0,0,0,0
bean,0,0,0,0,2,0,0,0,0,0
straight,0,0,1,0,0,0,0,0,0,0
soil,0,0,0,0,10,0,0,0,0,0
clear,0,0,0,0,0,0,0,0,1,0
ground,0,0,0,0,1,0,0,0,0,0
growing,0,0,0,0,1,0,0,0,0,0
insect,0,0,0,0,5,0,0,0,0,0
toxin,0,0,0,0,4,0,0,0,0,0
susceptible,1,0,0,0,0,0,0,0,0,0
try,0,0,0,0,0,0,0,0,3,0
pesticide,0,0,0,0,11,0,0,0,0,0
badly,0,0,1,0,0,0,0,0,0,0
affected,1,0,0,0,0,0,0,0,0,0
fungal,4,0,0,0,0,0,0,0,0,0
viral,1,0,0,0,0,0,0,0,0,0
stress,0,0,0,0,1,0,0,0,0,0
naturally,0,0,1,0,0,0,0,0,0,0
well,1,0,2,0,0,0,0,0,0,0
thrive,0,0,0,0,0,0,0,0,1,0
normally,0,0,1,0,0,0,0,0,0,0
weak,1,0,0,0,0,0,0,0,0,0
open,1,0,0,0,0,0,0,0,1,0
possibility,0,0,0,0,3,0,0,0,0,0
current,5,0,0,0,0,0,0,0,0,0
research,0,0,0,0,5,0,0,0,0,0
extremely,0,0,2,0,0,0,0,0,0,0
arid,1,0,0,0,0,0,0,0,0,0
area,0,0,0,0,6,0,0,0,0,0
golden,2,0,0,0,0,0,0,0,0,0
rice,0,0,0,0,4,0,0,0,0,0
low,6,0,0,0,0,0,0,0,0,0
vitamin,0,0,0,0,5,0,0,0,0,0
deficiency,0,0,0,0,2,0,0,0,0,0
staple,1,0,0,0,0,0,0,0,0,0
high,8,0,0,0,0,0,0,0,0,0
level,0,0,0,0,5,0,0,0,0,0
vaccine,0,0,0,0,5,0,0,0,0,0
pharmacological,1,0,0,0,0,0,0,0,0,0
barley,0,0,0,0,2,0,0,0,0,0
engineer,0,0,0,0,1,0,0,0,1,0
normal,3,0,0,0,0,0,0,0,0,0
obtain,0,0,0,0,0,0,0,0,1,0
shortage,0,0,0,0,1,0,0,0,0,0
important,2,0,0,0,0,0,0,0,0,0
tolerance,0,0,0,0,1,0,0,0,0,0
tolerant,1,0,0,0,0,0,0,0,0,0
development,0,0,0,0,5,0,0,0,0,0
necessitate,0,0,0,0,0,0,0,0,1,0
harmonized,1,0,0,0,0,0,0,0,0,0
approach,0,0,0,0,2,0,0,0,0,0
nutritious,1,0,0,0,0,0,0,0,0,0
supply,0,0,0,0,3,0,0,0,0,0
light,0,0,0,0,2,0,0,0,0,0
derive,0,0,0,0,0,0,0,0,1,0
ingredient,0,0,0,0,9,0,0,0,0,0
complex,1,0,0,0,0,0,0,0,0,0
chain,0,0,0,0,5,0,0,0,0,0
working,0,0,0,0,1,0,0,0,0,0
paper,0,0,0,0,1,0,0,0,0,0
pig,0,0,0,0,3,0,0,0,0,0
lean,1,0,0,0,0,0,0,0,0,0
salmon,0,0,0,0,2,0,0,0,0,0
fast,1,0,1,0,0,0,0,0,0,0
larger,0,0,1,0,0,0,0,0,0,0
product,0,0,0,0,25,0,0,0,0,0
currently,0,0,1,0,0,0,0,0,0,0
consumption,0,0,0,0,3,0,0,0,0,0
feedstuff,0,0,0,0,2,0,0,0,0,0
controversial,1,0,0,0,0,0,0,0,0,0
answer,0,0,0,0,1,0,0,0,0,0
health,0,0,0,0,14,0,0,0,0,0
hardly,0,0,1,0,0,0,0,0,0,0
understand,0,0,0,0,0,0,0,0,2,0
assess,0,0,0,0,0,0,0,0,1,0
hazard,0,0,0,0,5,0,0,0,0,0
pose,0,0,0,0,0,0,0,0,4,0
regard,0,0,0,0,0,0,0,0,1,0
interfere,0,0,0,0,0,0,0,0,1,0
nature,0,0,0,0,1,0,0,0,0,0
religious,1,0,0,0,0,0,0,0,0,0
belief,0,0,0,0,1,0,0,0,0,0
ethical,1,0,0,0,0,0,0,0,0,0
standpoint,0,0,0,0,1,0,0,0,0,0
anti,4,0,0,0,0,0,0,0,0,0
protester,0,0,0,0,1,0,0,0,0,0
attempt,0,0,0,0,0,0,0,0,1,0
destroy,0,0,0,0,0,0,0,0,2,0
outline,0,0,0,0,0,0,0,0,1,0
page,0,0,0,0,1,0,0,0,0,0
risk,0,0,0,0,25,0,0,0,0,0
cross,0,0,0,0,4,0,0,0,1,0
fertilization,0,0,0,0,1,0,0,0,0,0
specie,0,0,0,0,4,0,0,0,0,0
possibly,0,0,4,0,0,0,0,0,0,0
reverse,0,0,0,0,0,0,0,0,1,0
interaction,0,0,0,0,1,0,0,0,0,0
negative,1,0,0,0,0,0,0,0,0,0
effect,0,0,0,0,4,0,0,0,0,0
ecosystem,0,0,0,0,1,0,0,0,0,0
introduction,0,0,0,0,1,0,0,0,0,0
mix,0,0,0,0,1,0,0,0,0,0
nonfood,1,0,0,0,0,0,0,0,0,0
allergy,0,0,0,0,3,0,0,0,0,0
peanut,0,0,0,0,3,0,0,0,0,0
allergic,2,0,0,0,0,0,0,0,0,0
sterile,1,0,0,0,0,0,0,0,0,0
save,0,0,0,0,0,0,0,0,1,0
follow,0,0,0,0,0,0,0,0,5,0
instead,0,0,2,0,0,0,0,0,0,0
buy,0,0,0,0,0,0,0,0,5,0
biotech,1,0,0,0,0,0,0,0,0,0
company,0,0,0,0,4,0,0,0,0,0
extra,3,0,0,0,0,0,0,0,0,0
unaffordable,1,0,0,0,0,0,0,0,0,0
expense,0,0,0,0,1,0,0,0,0,0
poor,3,0,0,0,0,0,0,0,0,0
biotechnology,0,0,0,0,3,0,0,0,0,0
apply,0,0,0,0,0,0,0,0,4,0
addition,0,0,0,0,2,0,0,0,0,0
enhance,0,0,0,0,0,0,0,0,2,0
nutritional,2,0,0,0,0,0,0,0,0,0
property,0,0,0,0,4,0,0,0,0,0
appear,0,0,0,0,0,0,0,0,4,0
consumer,0,0,0,0,4,0,0,0,0,0
acceptance,0,0,0,0,1,0,0,0,0,0
technology,0,0,0,0,10,0,0,0,0,0
