word,ADJ,ADP,ADV,DET,INTJ,NOUN,NUM,SCONJ,VERB,X
presumably,0,0,1,0,0,0,0,0,0,0
school,0,0,0,0,0,25,0,0,1,0
probably,0,0,6,0,0,0,0,0,0,0
belong,0,0,0,0,0,0,0,0,1,0
family,0,0,0,0,0,11,0,0,0,0
produce,0,0,0,0,0,0,0,0,4,0
generation,0,0,0,0,0,2,0,0,0,0
say,0,0,0,0,0,0,0,0,4,0
politic,0,0,0,0,0,1,0,0,0,0
call,0,0,0,0,0,0,0,0,10,0
body,0,0,0,0,0,14,0,0,0,0
writing,0,0,0,0,0,8,0,0,0,0
ascribe,0,0,0,0,0,0,0,0,1,0
actually,0,0,1,0,0,0,0,0,0,0
preserve,0,0,0,0,0,0,0,0,1,0
early,6,0,3,0,0,0,0,0,0,0
survive,0,0,0,0,0,0,0,0,3,0
copy,0,0,0,0,0,3,0,0,1,0
date,0,0,0,0,0,0,0,0,1,0
differ,0,0,0,0,0,0,0,0,1,0
greatly,0,0,3,0,0,0,0,0,0,0
opinion,0,0,0,0,0,2,0,0,0,0
express,0,0,0,0,0,0,0,0,3,0
type,0,0,0,0,0,4,0,0,0,0
intend,0,0,0,0,0,0,0,0,1,0
user,0,0,0,0,0,1,0,0,0,0
assistant,3,0,0,0,0,9,0,0,0,0
layman,0,0,0,0,0,1,0,0,0,0
philosophical,2,0,0,0,0,0,0,0,0,0
generally,0,0,1,0,0,0,0,0,0,0
agree,0,0,0,0,0,0,0,0,4,0
library,0,0,0,0,0,2,0,0,0,0
ship,0,0,0,0,0,0,0,0,1,0
title,0,0,0,0,0,3,0,0,0,0
head,0,0,0,0,0,11,0,0,5,0
aphorism,0,0,0,0,0,1,0,0,0,0
epidemic,0,0,0,0,0,7,0,0,0,0
pharmacologist,0,0,0,0,0,1,0,0,0,0
volume,0,0,0,0,0,1,0,0,0,0
treatise,0,0,0,0,0,4,0,0,0,0
derive,0,0,0,0,0,0,0,0,1,0
plant,0,0,0,0,0,5,0,0,0,0
mineral,0,0,0,0,0,3,0,0,0,0
milk,0,0,0,0,0,3,0,0,0,0
honey,0,0,0,0,0,2,0,0,0,0
cannabis,0,0,0,0,0,1,0,0,0,0
marijuana,0,0,0,0,0,1,0,0,0,0
peppermint,0,0,0,0,0,1,0,0,0,0
mercury,0,0,0,0,0,2,0,0,0,0
arsenic,0,0,0,0,0,4,0,0,0,0
calcium,0,0,0,0,0,2,0,0,0,0
opium,0,0,0,0,0,2,0,0,0,0
foremost,3,0,0,0,0,0,0,0,0,0
source,0,0,0,0,0,1,0,0,0,0
modern,17,0,0,0,0,0,0,0,0,0
botanical,1,0,0,0,0,0,0,0,0,0
terminology,0,0,0,0,0,1,0,0,0,0
pharmacological,1,0,0,0,0,0,0,0,0,0
text,0,0,0,0,0,5,0,0,0,0
surgeon,0,0,0,0,0,27,0,0,0,0
army,0,0,0,0,0,7,0,0,0,0
emperor,0,0,0,0,0,4,0,0,0,0
provide,0,0,0,0,0,0,0,0,11,0
opportunity,0,0,0,0,0,4,0,0,0,0
study,0,0,0,0,0,24,0,0,31,0
feature,0,0,0,0,0,1,0,0,0,0
distribution,0,0,0,0,0,1,0,0,0,0
medicinal,2,0,0,0,0,0,0,0,0,0
property,0,0,0,0,0,3,0,0,0,0
excellent,1,0,0,0,0,0,0,0,0,0
description,0,0,0,0,0,4,0,0,0,0
nearly,0,0,4,0,0,0,0,0,0,0
contain,0,0,0,0,0,0,0,0,3,0
deal,0,0,0,0,0,2,0,0,5,0
approximately,0,0,1,0,0,0,0,0,0,0
drug,0,0,0,0,0,8,0,0,0,0
dietetic,1,0,0,0,0,0,0,0,0,0
value,0,0,0,0,0,2,0,0,0,0
derivative,0,0,0,0,0,1,0,0,0,0
describe,0,0,0,0,0,0,0,0,6,0
second,2,0,0,0,0,1,0,0,0,0
synopsis,0,0,0,0,0,1,0,0,0,0
chemical,3,0,0,0,0,1,0,0,0,0
direction,0,0,0,0,0,1,0,0,0,0
preparation,0,0,0,0,0,1,0,0,0,0
cinnabar,0,0,0,0,0,1,0,0,0,0
auripigmentum,0,0,0,0,0,1,0,0,0,0
sulfide,0,0,0,0,0,1,0,0,0,0
acetate,0,0,0,0,0,1,0,0,0,0
hydrate,0,0,0,0,0,1,0,0,0,0
copper,0,0,0,0,0,1,0,0,0,0
oxide,0,0,0,0,0,1,0,0,0,0
fifth,1,0,0,0,0,0,0,0,0,0
potion,0,0,0,0,0,1,0,0,0,0
prepare,0,0,0,0,0,0,0,0,4,0
mandragora,0,0,0,0,0,1,0,0,0,0
mandrake,0,0,0,0,0,1,0,0,0,0
picture,0,0,0,0,0,1,0,0,2,0
surgical,4,0,0,0,0,0,0,0,0,0
anesthetic,0,0,0,0,0,1,0,0,0,0
illustrated,1,0,0,0,0,0,0,0,0,0
entry,0,0,0,0,0,1,0,0,0,0
believe,0,0,0,0,0,0,0,0,3,0
magical,1,0,0,0,0,0,0,0,0,0
power,0,0,0,0,0,4,0,0,0,0
fork,0,0,0,0,0,0,0,0,1,0
root,0,0,0,0,0,1,0,0,0,0
resemble,0,0,0,0,0,0,0,0,1,0
depict,0,0,0,0,0,0,0,0,3,0
imaginative,1,0,0,0,0,0,0,0,0,0
detail,0,0,0,0,0,1,0,0,0,0
collector,0,0,0,0,0,1,0,0,0,0
manual,0,0,0,0,0,1,0,0,0,0
standard,0,0,0,0,0,2,0,0,0,0
original,1,0,0,0,0,0,0,0,0,0
manuscript,0,0,0,0,0,2,0,0,0,0
seven,0,0,0,0,0,0,4,0,0,0
language,0,0,0,0,0,2,0,0,0,0
primary,1,0,0,0,0,0,0,0,0,0
pharmacology,0,0,0,0,0,1,0,0,0,0
end,1,0,0,0,0,5,0,0,2,0
edition,0,0,0,0,0,2,0,0,0,0
publish,0,0,0,0,0,0,0,0,18,0
significant,1,0,0,0,0,0,0,0,0,0
achieve,0,0,0,0,0,0,0,0,3,0
fame,0,0,0,0,0,2,0,0,0,0
founder,0,0,0,0,0,3,0,0,0,0
experimental,3,0,0,0,0,0,0,0,0,0
physiology,0,0,0,0,0,7,0,0,0,0
influence,0,0,0,0,0,3,0,0,1,0
partly,0,0,1,0,0,0,0,0,0,0
responsible,3,0,0,0,0,0,0,0,0,0
emergence,0,0,0,0,0,1,0,0,0,0
science,0,0,0,0,0,13,0,0,0,0
renaissance,0,0,0,0,0,1,0,0,0,0
bear,0,0,0,0,0,0,0,0,40,0
city,0,0,0,0,0,5,0,0,0,0
shrine,0,0,0,0,0,2,0,0,0,0
attach,0,0,0,0,0,0,0,0,1,0
troupe,0,0,0,0,0,1,0,0,0,0
gladiator,0,0,0,0,0,2,0,0,0,0
director,0,0,0,0,0,15,0,0,0,0
chance,0,0,0,0,0,1,0,0,0,0
treatment,0,0,0,0,0,15,0,0,0,0
continue,0,0,0,0,0,0,0,0,11,0
wander,0,0,0,0,0,0,0,0,1,0
take,0,0,0,0,0,0,0,0,13,0
visit,0,0,0,0,0,0,0,0,2,0
return,0,0,0,0,0,2,0,0,16,0
home,0,0,2,0,0,4,0,0,0,0
soon,0,0,5,0,0,0,0,0,0,0
earn,0,0,0,0,0,0,0,0,10,0
outstanding,2,0,0,0,0,0,0,0,0,0
appoint,0,0,0,0,0,0,0,0,15,0
afford,0,0,0,0,0,0,0,0,2,0
subject,0,0,0,0,0,5,0,0,0,0
include,0,0,0,0,0,0,0,0,14,0
philosophy,0,0,0,0,0,5,0,0,0,0
drama,0,0,0,0,0,1,0,0,0,0
show,0,0,0,0,0,0,0,0,3,0
penetrating,1,0,0,0,0,0,0,0,0,0
accurate,4,0,0,0,0,0,0,0,0,0
observation,0,0,0,0,0,4,0,0,0,0
anatomy,0,0,0,0,0,11,0,0,0,0
heart,0,0,0,0,0,14,0,0,0,0
liver,0,0,0,0,0,2,0,0,0,0
kidney,0,0,0,0,0,2,0,0,0,0
bladder,0,0,0,0,0,4,0,0,0,0
nerve,0,0,0,0,0,7,0,0,0,0
function,0,0,0,0,0,7,0,0,1,0
translate,0,0,0,0,0,0,0,0,2,0
muslim,2,0,0,0,0,0,0,0,0,0
arab,1,0,0,0,0,0,0,0,0,0
scholar,0,0,0,0,0,4,0,0,0,0
version,0,0,0,0,0,1,0,0,0,0
contribute,0,0,0,0,0,0,0,0,2,0
convey,0,0,0,0,0,0,0,0,1,0
thought,0,0,0,0,0,1,0,0,0,0
thinker,0,0,0,0,0,1,0,0,0,0
western,2,0,0,0,0,0,0,0,0,0
definitive,1,0,0,0,0,0,0,0,0,0
field,0,0,0,0,0,5,0,0,0,0
spend,0,0,0,0,0,0,0,0,5,0
childhood,0,0,0,0,0,4,0,0,0,0
islamic,1,0,0,0,0,0,0,0,0,0
law,0,0,0,0,0,3,0,0,0,0
literature,0,0,0,0,0,3,0,0,0,0
leave,0,0,0,0,0,2,0,0,7,0
live,1,0,0,0,0,0,0,0,12,0
different,3,0,0,0,0,0,0,0,0,0
complete,1,0,0,0,0,0,0,0,6,0
major,5,0,0,0,0,0,0,0,0,0
large,8,0,0,0,0,0,0,0,0,0
encyclopedia,0,0,0,0,0,1,0,0,0,0
cover,0,0,0,0,0,1,0,0,2,0
natural,2,0,0,0,0,0,0,0,0,0
logic,0,0,0,0,0,1,0,0,0,0
mathematic,0,0,0,0,0,2,0,0,0,0
psychology,0,0,0,0,0,6,0,0,0,0
astronomy,0,0,0,0,0,1,0,0,0,0
