word,ADJ,ADP,ADV,CCONJ,DET,INTJ,NOUN,NUM,PUNCT,SCONJ,VERB,X
complex,18,0,0,0,0,0,5,0,0,0,0,0
process,0,0,0,0,0,0,33,0,0,0,7,0
medium,1,0,0,0,0,0,9,0,0,0,0,0
water,0,0,0,0,0,0,25,0,0,0,0,0
ultimately,0,0,3,0,0,0,0,0,0,0,0,0
recognize,0,0,0,0,0,0,0,0,0,0,20,0
know,0,0,0,0,0,0,0,0,0,0,58,0
energy,0,0,0,0,0,0,7,0,0,0,0,0
transformation,0,0,0,0,0,0,2,0,0,0,0,0
relay,0,0,0,0,0,0,2,0,0,0,7,0
information,0,0,0,0,0,0,24,0,0,0,0,0
centre,0,0,0,0,0,0,17,0,0,0,1,0
outer,83,0,0,0,0,0,0,0,0,0,0,0
channel,0,0,0,0,0,0,9,0,0,0,3,0
tympanic,62,0,0,0,0,0,0,0,0,0,0,0
membrane,0,0,0,0,0,0,175,0,0,0,0,0
eardrum,0,0,0,0,0,0,10,0,0,0,0,0
middle,97,0,0,0,0,0,1,0,0,0,0,0
transfer,0,0,0,0,0,0,0,0,0,0,2,0
minute,7,0,0,0,0,0,4,0,0,0,0,0
bone,0,0,0,0,0,0,84,0,0,0,0,0
ossicle,0,0,0,0,0,0,7,0,0,0,0,0
movement,0,0,0,0,0,0,34,0,0,0,0,0
create,0,0,0,0,0,0,0,0,0,0,8,0
fluid,0,0,0,0,0,0,46,0,0,0,0,0
cochlea,0,0,0,0,0,0,54,0,0,0,0,0
contain,0,0,0,0,0,0,0,0,0,0,48,0
sensory,34,0,0,0,0,0,0,0,0,0,0,0
distinguish,0,0,0,0,0,0,0,0,0,0,12,0
coiled,2,0,0,0,0,0,0,0,0,0,0,0
shape,0,0,0,0,0,0,7,0,0,0,5,0
resemble,0,0,0,0,0,0,0,0,0,0,7,0
snail,0,0,0,0,0,0,3,0,0,0,0,0
shell,0,0,0,0,0,0,5,0,0,0,0,0
cochlear,54,0,0,0,0,0,34,0,0,0,0,0
travel,0,0,0,0,0,0,0,0,0,0,11,0
basilar,39,0,0,0,0,0,3,0,0,0,0,0
stimulate,0,0,0,0,0,0,0,0,0,0,29,0
hair,0,0,0,0,0,0,116,0,0,0,0,0
cell,0,0,0,0,0,0,220,0,0,0,0,0
convert,0,0,0,0,0,0,0,0,0,0,11,0
transmit,0,0,0,0,0,0,0,0,0,0,21,0
brainstem,0,0,0,0,0,0,20,0,0,0,0,0
processing,0,0,0,0,0,0,2,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,34,0
present,14,0,0,0,0,0,0,0,0,0,6,0
mammal,0,0,0,0,0,0,8,0,0,0,0,0
consist,0,0,0,0,0,0,0,0,0,0,28,0
malleus,0,0,0,0,0,0,17,0,0,0,0,0
incus,0,0,0,0,0,0,15,0,0,0,0,0
stape,0,0,0,0,0,0,25,0,0,0,0,0
commonly,0,0,11,0,0,0,0,0,0,0,0,0
hammer,0,0,0,0,0,0,5,0,0,0,0,0
anvil,0,0,0,0,0,0,4,0,0,0,0,0
stirrup,0,0,0,0,0,0,8,0,0,0,0,0
respectively,0,0,5,0,0,0,0,0,0,0,0,0
small,59,0,0,0,0,0,0,0,0,0,0,0
impossible,2,0,0,0,0,0,0,0,0,0,0,0
device,0,0,0,0,0,0,22,0,0,0,0,0
method,0,0,0,0,0,0,11,0,0,0,0,0
evaluate,0,0,0,0,0,0,0,0,0,0,6,0
develop,0,0,0,0,0,0,0,0,0,0,21,0
year,0,0,0,0,0,0,8,0,0,0,0,0
audiometer,0,0,0,0,0,0,8,0,0,0,0,0
electrocochleogram,0,0,0,0,0,0,2,0,0,0,0,0
evoke,0,0,0,0,0,0,0,0,0,0,4,0
response,0,0,0,0,0,0,31,0,0,0,0,0
audiometry,0,0,0,0,0,0,5,0,0,0,0,0
audiologist,0,0,0,0,0,0,9,0,0,0,0,0
rely,0,0,0,0,0,0,0,0,0,0,3,0
far,0,0,12,0,0,0,0,0,0,0,0,0
simple,9,0,0,0,0,0,0,0,0,0,0,0
diagnostic,6,0,0,0,0,0,0,0,0,0,0,0
tool,0,0,0,0,0,0,3,0,0,0,0,0
tuning,0,0,0,0,0,0,12,0,0,0,0,0
fork,0,0,0,0,0,0,12,0,0,0,0,0
addition,0,0,0,0,0,0,11,0,0,0,0,0
specific,23,0,0,0,0,0,0,0,0,0,0,0
orientation,0,0,0,0,0,0,4,0,0,0,0,0
respect,0,0,0,0,0,0,8,0,0,0,0,0
gravity,0,0,0,0,0,0,7,0,0,0,0,0
case,0,0,0,0,0,0,67,0,0,0,0,0
history,0,0,0,0,0,0,5,0,0,0,0,0
researcher,0,0,0,0,0,0,3,0,0,0,0,0
learn,0,0,0,0,0,0,0,0,0,0,14,0
organism,0,0,0,0,0,0,1,0,0,0,0,0
observe,0,0,0,0,0,0,0,0,0,0,5,0
effect,0,0,0,0,0,0,23,0,0,0,1,0
injury,0,0,0,0,0,0,26,0,0,0,0,0
semicircular,24,0,0,0,0,0,0,0,0,0,0,0
canal,0,0,0,0,0,0,94,0,0,0,0,0
critical,1,0,0,0,0,0,0,0,0,0,0,0
postural,5,0,0,0,0,0,0,0,0,0,0,0
damage,0,0,0,0,0,0,10,0,0,0,7,0
destroy,0,0,0,0,0,0,0,0,0,0,7,0
suffer,0,0,0,0,0,0,0,0,0,0,9,0
vertigo,0,0,0,0,0,0,14,0,0,0,0,0
false,6,0,0,0,0,0,0,0,0,0,0,0
turn,0,0,0,0,0,0,15,0,0,0,5,0
fall,0,0,0,0,0,0,0,0,0,0,5,0
disorientation,0,0,0,0,0,0,3,0,0,0,0,0
vulnerable,1,0,0,0,0,0,0,0,0,0,0,0
subject,4,0,0,0,0,0,7,0,0,0,0,0
frostbite,0,0,0,0,0,0,4,0,0,0,0,0
boxer,0,0,0,0,0,0,2,0,0,0,0,0
repeat,0,0,0,0,0,0,0,0,0,0,5,0
blow,0,0,0,0,0,0,3,0,0,0,1,0
side,0,0,0,0,0,0,7,0,0,0,0,0
head,0,0,0,0,0,0,58,0,0,0,0,0
rise,0,0,0,0,0,0,6,0,0,0,5,0
cauliflower,0,0,0,0,0,0,2,0,0,0,0,0
type,0,0,0,0,0,0,52,0,0,0,0,0
cartilage,0,0,0,0,0,0,13,0,0,0,0,0
foreign,3,0,0,0,0,0,0,0,0,0,0,0
substance,0,0,0,0,0,0,32,0,0,0,0,0
enter,0,0,0,0,0,0,0,0,0,0,14,0
cause,0,0,0,0,0,0,39,0,0,0,85,0
problem,0,0,0,0,0,0,14,0,0,0,0,0
perichondritis,0,0,0,0,0,0,2,0,0,0,0,0
inflammation,0,0,0,0,0,0,11,0,0,0,0,0
swim,0,0,0,0,0,0,0,0,0,0,3,0
contaminate,0,0,0,0,0,0,0,0,0,0,1,0
proximity,0,0,0,0,0,0,2,0,0,0,0,0
cavity,0,0,0,0,0,0,85,0,0,0,0,0
potential,2,0,0,0,0,0,11,0,0,0,0,0
danger,0,0,0,0,0,0,2,0,0,0,0,0
infection,0,0,0,0,0,0,56,0,0,0,0,0
leave,0,0,0,0,0,0,0,0,0,0,7,0
untreated,2,0,0,0,0,0,0,0,0,0,0,0
condition,0,0,0,0,0,0,36,0,0,0,2,0
alleviate,0,0,0,0,0,0,0,0,0,0,4,0
antibiotic,4,0,0,0,0,0,9,0,0,0,0,0
ironically,0,0,1,0,0,0,0,0,0,0,0,0
streptomycin,0,0,0,0,0,0,4,0,0,0,0,0
ototoxic,4,0,0,0,0,0,0,0,0,0,0,0
harmful,2,0,0,0,0,0,0,0,0,0,0,0
affect,0,0,0,0,0,0,0,0,0,0,54,0
sufferer,0,0,0,0,0,0,2,0,0,0,0,0
rubella,0,0,0,0,0,0,7,0,0,0,0,0
virus,0,0,0,0,0,0,6,0,0,0,0,0
contract,0,0,0,0,0,0,0,0,0,0,4,0
woman,0,0,0,0,0,0,8,0,0,0,0,0
pregnancy,0,0,0,0,0,0,6,0,0,0,0,0
congenital,20,0,0,0,0,0,0,0,0,0,0,0
deafness,0,0,0,0,0,0,22,0,0,0,0,0
baby,0,0,0,0,0,0,4,0,0,0,0,0
vaccine,0,0,0,0,0,0,3,0,0,0,0,0
age,0,0,0,0,0,0,21,0,0,0,2,0
people,0,0,0,0,0,0,20,0,0,0,0,0
gradual,7,0,0,0,0,0,0,0,0,0,0,0
loss,0,0,0,0,0,0,83,0,0,0,0,0
result,0,0,0,0,0,0,40,0,0,0,33,0
presbycusis,0,0,0,0,0,0,4,0,0,0,0,0
percent,0,0,0,0,0,0,22,0,0,0,0,0
population,0,0,0,0,0,0,8,0,0,0,0,0
chronic,16,0,0,0,0,0,0,0,0,0,0,0
tinnitus,0,0,0,0,0,0,19,0,0,0,0,0
persistent,2,0,0,0,0,0,0,0,0,0,0,0
ringing,0,0,0,0,0,0,4,0,0,0,0,0
buzzing,0,0,0,0,0,0,2,0,0,0,0,0
vital,1,0,0,0,0,0,0,0,0,0,0,0
mechanic,0,0,0,0,0,0,1,0,0,0,0,0
repair,0,0,0,0,0,0,1,0,0,0,3,0
way,0,0,0,0,0,0,19,0,0,0,0,0
help,0,0,0,0,0,0,6,0,0,0,26,0
regenerate,0,0,0,0,0,0,0,0,0,0,1,0
day,0,0,0,0,0,0,6,0,0,0,0,0
cure,0,0,0,0,0,0,5,0,0,0,4,0
profound,10,0,0,0,0,0,0,0,0,0,0,0
speech,0,0,0,0,0,0,141,0,0,0,0,0
acquisition,0,0,0,0,0,0,1,0,0,0,0,0
dependent,2,0,0,0,0,0,0,0,0,0,0,0
young,13,0,0,0,0,0,0,0,0,0,0,0
child,0,0,0,0,0,0,52,0,0,0,0,0
hamper,0,0,0,0,0,0,0,0,0,0,1,0
arrest,0,0,0,0,0,0,1,0,0,0,5,0
development,0,0,0,0,0,0,20,0,0,0,0,0
measure,0,0,0,0,0,0,2,0,0,0,15,0
degree,0,0,0,0,0,0,23,0,0,0,0,0
impairment,0,0,0,0,0,0,39,0,0,0,0,0
use,0,0,0,0,0,0,17,0,0,0,14,0
surgery,0,0,0,0,0,0,22,0,0,0,0,0
medicine,0,0,0,0,0,0,3,0,0,0,0,0
defect,0,0,0,0,0,0,18,0,0,0,0,0
severe,30,0,0,0,0,0,0,0,0,0,0,0
depend,0,0,0,0,0,0,0,0,0,0,19,0
aid,0,0,0,0,0,0,42,0,0,0,7,0
fine,9,0,2,0,0,0,0,0,0,0,0,0
tune,0,0,0,0,0,0,0,0,0,0,7,0
need,0,0,0,0,0,0,2,0,0,0,10,0
benefit,0,0,0,0,0,0,1,0,0,0,7,0
lip,0,0,0,0,0,0,17,0,0,0,0,0
reading,0,0,0,0,0,0,7,0,0,0,0,0
order,0,0,0,0,0,0,11,0,0,0,0,0
communicate,0,0,0,0,0,0,0,0,0,0,11,0
signer,0,0,0,0,0,0,1,0,0,0,0,0
recent,4,0,0,0,0,0,0,0,0,0,0,0
advance,0,0,0,0,0,0,8,0,0,0,1,0
technology,0,0,0,0,0,0,8,0,0,0,0,0
implant,0,0,0,0,0,0,19,0,0,0,5,0
work,0,0,0,0,0,0,2,0,0,0,8,0
fibre,0,0,0,0,0,0,90,0,0,0,0,0
generate,0,0,0,0,0,0,0,0,0,0,10,0
controversy,0,0,0,0,0,0,1,0,0,0,0,0
deaf,23,0,0,0,0,0,0,0,0,0,0,0
community,0,0,0,0,0,0,4,0,0,0,0,0
object,0,0,0,0,0,0,3,0,0,0,1,0
characterization,0,0,0,0,0,0,1,0,0,0,0,0
reference,0,0,0,0,0,0,2,0,0,0,0,0
floor,0,0,0,0,0,0,15,0,0,0,0,0
roof,0,0,0,0,0,0,11,0,0,0,0,0
mouth,0,0,0,0,0,0,37,0,0,0,0,0
hard,16,0,0,0,0,0,0,0,0,0,0,0
palate,0,0,0,0,0,0,44,0,0,0,0,0
form,0,0,0,0,0,0,18,0,0,0,53,0
palatine,7,0,0,0,0,0,0,0,0,0,0,0
flap,0,0,0,0,0,0,4,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,0,97,0
soft,14,0,0,0,0,0,0,0,0,0,0,0
extend,0,0,0,0,0,0,0,0,0,0,30,0
nasopharynx,0,0,0,0,0,0,6,0,0,0,0,0
nasal,65,0,0,0,0,0,0,0,0,0,0,0
portion,0,0,0,0,0,0,29,0,0,0,0,0
prevent,0,0,0,0,0,0,0,0,0,0,9,0
go,0,0,0,0,0,0,0,0,0,0,2,0
eat,0,0,0,0,0,0,0,0,0,0,2,0
facial,15,0,0,0,0,0,0,0,0,0,0,0
hollow,5,0,0,0,0,0,1,0,0,0,0,0
space,0,0,0,0,0,0,19,0,0,0,0,0
site,0,0,0,0,0,0,6,0,0,0,0,0
paranasal,6,0,0,0,0,0,0,0,0,0,0,0
sinus,0,0,0,0,0,0,41,0,0,0,0,0
reduce,0,0,0,0,0,0,0,0,0,0,17,0
weight,0,0,0,0,0,0,6,0,0,0,0,0
skull,0,0,0,0,0,0,18,0,0,0,0,0
add,0,0,0,0,0,0,0,0,0,0,6,0
resonance,0,0,0,0,0,0,11,0,0,0,0,0
voice,0,0,0,0,0,0,44,0,0,0,1,0
inhale,0,0,0,0,0,0,0,0,0,0,3,0
lung,0,0,0,0,0,0,11,0,0,0,0,0
serve,0,0,0,0,0,0,0,0,0,0,17,0
entrance,0,0,0,0,0,0,5,0,0,0,0,0
tract,0,0,0,0,0,0,10,0,0,0,0,0
source,0,0,0,0,0,0,12,0,0,0,0,0
olfactory,40,0,0,0,0,0,0,0,0,0,0,0
odorant,3,0,0,0,0,0,6,0,0,0,0,0
chemoreceptor,0,0,0,0,0,0,1,0,0,0,0,0
electrical,15,0,0,0,0,0,0,0,0,0,0,0
odour,1,0,0,0,0,0,41,0,0,0,0,0
liken,0,0,0,0,0,0,0,0,0,0,2,0
claim,0,0,0,0,0,0,0,0,0,0,1,0
hear,0,0,0,0,0,0,0,0,0,0,47,0
earlobe,0,0,0,0,0,0,5,0,0,0,0,0
visible,8,0,0,0,0,0,0,0,0,0,0,0
little,9,0,2,0,0,0,0,0,0,0,0,0
actual,4,0,0,0,0,0,0,0,0,0,0,0
detect,0,0,0,0,0,0,0,0,0,0,23,0
dog,0,0,0,0,0,0,4,0,0,0,0,0
animal,0,0,0,0,0,0,17,0,0,0,0,0
refined,1,0,0,0,0,0,0,0,0,0,0,0
acute,14,0,0,0,0,0,0,0,0,0,0,0
average,2,0,0,0,0,0,1,0,0,0,2,0
person,0,0,0,0,0,0,43,0,0,0,0,0
like,2,13,0,0,0,0,0,0,0,0,0,0
early,32,0,7,0,0,0,0,0,0,0,0,0
warning,0,0,0,0,0,0,1,0,0,0,0,0
let,0,0,0,0,0,0,0,0,0,0,1,0
spoil,0,0,0,0,0,0,0,0,0,0,1,0
gas,0,0,0,0,0,0,2,0,0,0,0,0
stove,0,0,0,0,0,0,1,0,0,0,0,0
fail,0,0,0,0,0,0,0,0,0,0,6,0
ignite,0,0,0,0,0,0,0,0,0,0,1,0
bulb,0,0,0,0,0,0,8,0,0,0,0,0
stimulation,0,0,0,0,0,0,10,0,0,0,0,0
perception,0,0,0,0,0,0,4,0,0,0,0,0
limbic,1,0,0,0,0,0,0,0,0,0,0,0
emotional,8,0,0,0,0,0,0,0,0,0,0,0
life,0,0,0,0,0,0,15,0,0,0,0,0
personal,2,0,0,0,0,0,0,0,0,0,0,0
connection,0,0,0,0,0,0,5,0,0,0,0,0
certain,22,0,0,0,0,0,0,0,0,0,0,0
immediately,0,0,6,0,0,0,0,0,0,0,0,0
trigger,0,0,0,0,0,0,0,0,0,0,2,0
memory,0,0,0,0,0,0,2,0,0,0,0,0
catch,0,0,0,0,0,0,0,0,0,0,2,0
whiff,0,0,0,0,0,0,1,0,0,0,0,0
cinnamon,0,0,0,0,0,0,1,0,0,0,0,0
suddenly,0,0,2,0,0,0,0,0,0,0,0,0
stand,0,0,0,0,0,0,0,0,0,0,2,0
grandmother,0,0,0,0,0,0,1,0,0,0,0,0
warm,5,0,0,0,0,0,0,0,0,0,1,0
kitchen,0,0,0,0,0,0,1,0,0,0,0,0
alter,0,0,0,0,0,0,0,0,0,0,5,0
mood,0,0,0,0,0,0,1,0,0,0,0,0
job,0,0,0,0,0,0,1,0,0,0,0,0
fascinating,1,0,0,0,0,0,0,0,0,0,0,0
emotion,0,0,0,0,0,0,1,0,0,0,0,0
intrigue,0,0,0,0,0,0,0,0,0,0,1,0
writer,0,0,0,0,0,0,2,0,0,0,0,0
neuroscientist,0,0,0,0,0,0,1,0,0,0,0,0
perfumer,0,0,0,0,0,0,1,0,0,0,0,0
real,4,0,0,0,0,0,0,0,0,0,0,0
estate,0,0,0,0,0,0,1,0,0,0,0,0
agent,0,0,0,0,0,0,8,0,0,0,0,0
advertiser,0,0,0,0,0,0,1,0,0,0,0,0
capitalize,0,0,0,0,0,0,0,0,0,0,1,0
procedure,0,0,0,0,0,0,12,0,0,0,0,0
examine,0,0,0,0,0,0,0,0,0,0,9,0
nasopharyngolaryngoscopy,0,0,0,0,0,0,2,0,0,0,0,0
polyp,0,0,0,0,0,0,12,0,0,0,0,0
usually,0,0,42,0,0,0,0,0,0,0,0,0
allergy,0,0,0,0,0,0,4,0,0,0,0,0
nosebleed,0,0,0,0,0,0,5,0,0,0,0,0
sinusitis,0,0,0,0,0,0,2,0,0,0,0,0
mucosal,1,0,0,0,0,0,0,0,0,0,0,0
lining,0,0,0,0,0,0,10,0,0,0,0,0
inability,0,0,0,0,0,0,3,0,0,0,0,0
perceive,0,0,0,0,0,0,0,0,0,0,11,0
anosmia,0,0,0,0,0,0,6,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,5,0
pharynx,0,0,0,0,0,0,33,0,0,0,0,0
connect,0,0,0,0,0,0,0,0,0,0,15,0
esophagus,0,0,0,0,0,0,12,0,0,0,0,0
trachea,0,0,0,0,0,0,6,0,0,0,0,0
windpipe,0,0,0,0,0,0,2,0,0,0,0,0
muscular,3,0,0,0,0,0,0,0,0,0,0,0
passageway,0,0,0,0,0,0,6,0,0,0,0,0
ensure,0,0,0,0,0,0,0,0,0,0,2,0
carry,0,0,0,0,0,0,0,0,0,0,21,0
stomach,0,0,0,0,0,0,2,0,0,0,0,0
box,0,0,0,0,0,0,5,0,0,0,0,0
dual,1,0,0,0,0,0,0,0,0,0,0,0
tubular,4,0,0,0,0,0,0,0,0,0,0,0
cord,0,0,0,0,0,0,18,0,0,0,0,0
produce,0,0,0,0,0,0,0,0,0,0,51,0
singer,0,0,0,0,0,0,2,0,0,0,0,0
announcer,0,0,0,0,0,0,2,0,0,0,0,0
tumour,0,0,0,0,0,0,20,0,0,0,0,0
growth,0,0,0,0,0,0,11,0,0,0,0,0
papilloma,0,0,0,0,0,0,3,0,0,0,0,0
generally,0,0,10,0,0,0,0,0,0,0,0,0
benign,4,0,0,0,0,0,0,0,0,0,0,0
patient,0,0,0,0,0,0,33,0,0,0,0,0
remove,0,0,0,0,0,0,0,0,0,0,29,0
typically,0,0,5,0,0,0,0,0,0,0,0,0
laryngeal,11,0,0,0,0,0,0,0,0,0,0,0
cancer,0,0,0,0,0,0,54,0,0,0,0,0
electronic,3,0,0,0,0,0,0,0,0,0,0,0
synthesizer,0,0,0,0,0,0,1,0,0,0,0,0
teach,0,0,0,0,0,0,0,0,0,0,7,0
esophageal,2,0,0,0,0,0,0,0,0,0,0,0
practice,0,0,0,0,0,0,3,0,0,0,0,0
involve,0,0,0,0,0,0,0,0,0,0,22,0
swallow,0,0,0,0,0,0,0,0,0,0,14,0
belch,0,0,0,0,0,0,0,0,0,0,2,0
controlled,1,0,0,0,0,0,0,0,0,0,0,0
manner,0,0,0,0,0,0,4,0,0,0,0,0
recognizable,5,0,0,0,0,0,0,0,0,0,0,0
tonsil,0,0,0,0,0,0,26,0,0,0,0,0
oval,22,0,0,0,0,0,0,0,0,0,0,0
shaped,10,0,0,0,0,0,0,0,0,0,0,0
masse,0,0,0,0,0,0,6,0,0,0,0,0
situate,0,0,0,0,0,0,0,0,0,0,4,0
believe,0,0,0,0,0,0,0,0,0,0,4,0
production,0,0,0,0,0,0,11,0,0,0,0,0
antibody,0,0,0,0,0,0,3,0,0,0,0,0
infected,8,0,0,0,0,0,0,0,0,0,0,0
tonsillitis,0,0,0,0,0,0,4,0,0,0,0,0
surgical,17,0,0,0,0,0,0,0,0,0,0,0
removal,0,0,0,0,0,0,18,0,0,0,0,0
tonsillectomy,0,0,0,0,0,0,3,0,0,0,0,0
ancient,2,0,0,0,0,0,0,0,0,0,0,0
