word,ADJ,ADP,ADV,DET,NOUN,NUM,PUNCT,VERB
steal,0,0,0,0,0,0,0,1
get,0,0,0,0,0,0,0,2
easy,3,0,0,0,0,0,0,0
layup,0,0,0,0,1,0,0,0
opponent,0,0,0,0,1,0,0,0
confused,1,0,0,0,0,0,0,0
frustrate,0,0,0,0,0,0,0,1
lose,0,0,0,0,0,0,0,2
unusual,2,0,0,0,0,0,0,0
approach,0,0,0,0,1,0,0,2
professional,2,0,0,0,0,0,0,0
sport,0,0,0,0,2,0,0,0
play,0,0,0,0,0,0,0,3
particularly,0,0,2,0,0,0,0,0
big,1,0,0,0,0,0,0,0
role,0,0,0,0,2,0,0,0
work,0,0,0,0,1,0,0,3
fan,0,0,0,0,1,0,0,0
recite,0,0,0,0,0,0,0,1
favorite,1,0,0,0,0,0,0,0
player,0,0,0,0,4,0,0,0
stat,0,0,0,0,1,0,0,0
imagine,0,0,0,0,0,0,0,1
want,0,0,0,0,0,0,0,3
clue,0,0,0,0,2,0,0,0
possible,16,0,0,0,0,0,0,0
situation,0,0,0,0,1,0,0,0
likely,8,0,1,0,0,0,0,0
turn,0,0,0,0,0,0,0,3
dangerous,1,0,0,0,0,0,0,0
instance,0,0,0,0,1,0,0,0
astronaut,0,0,0,0,2,0,0,0
send,0,0,0,0,0,0,0,3
space,0,0,0,0,8,0,0,0
later,0,0,3,0,0,0,0,0
report,0,0,0,0,2,0,0,2
wonder,0,0,0,0,0,0,0,1
fry,0,0,0,0,0,0,0,1
light,2,0,0,0,0,0,0,0
energy,0,0,0,0,1,0,0,0
stray,0,0,0,0,0,0,0,1
outside,0,1,0,0,0,0,0,0
spaceship,0,0,0,0,1,0,0,0
walk,0,0,0,0,1,0,0,0
scientist,0,0,0,0,1,0,0,0
figure,0,0,0,0,8,0,0,2
thing,0,0,0,0,4,0,0,0
like,0,7,0,0,0,0,0,1
expect,0,0,0,0,0,0,0,1
ray,0,0,0,0,1,0,0,0
meteorite,0,0,0,0,1,0,0,0
random,10,0,0,0,0,0,0,0
danger,0,0,0,0,1,0,0,0
force,0,0,0,0,0,0,0,1
mathematician,0,0,0,0,4,0,0,0
problem,0,0,0,0,5,0,0,0
avoid,0,0,0,0,0,0,0,1
program,0,0,0,0,1,0,0,0
successful,1,0,0,0,0,0,0,0
accident,0,0,0,0,3,0,0,0
reduce,0,0,0,0,0,0,0,1
chapter,0,0,0,0,4,0,0,0
statistical,15,0,0,0,0,0,0,0
data,0,0,0,0,6,0,0,0
watch,0,0,0,0,2,0,0,1
television,0,0,0,0,1,0,0,0
browse,0,0,0,0,0,0,0,1
internet,0,0,0,0,1,0,0,0
read,0,0,0,0,0,0,0,6
book,0,0,0,0,1,0,0,0
newspaper,0,0,0,0,3,0,0,0
magazine,0,0,0,0,2,0,0,0
help,0,0,0,0,0,0,0,3
aware,1,0,0,0,0,0,0,0
term,0,0,0,0,13,0,0,0
different,5,0,0,0,0,0,0,0
way,0,0,0,0,16,0,0,0
plural,0,0,0,0,1,0,0,0
refer,0,0,0,0,0,0,0,3
highway,0,0,0,0,1,0,0,0
cause,0,0,0,0,1,0,0,2
singular,1,0,0,0,0,0,0,0
mean,3,0,0,0,17,0,0,9
method,0,0,0,0,13,0,0,0
body,0,0,0,0,2,0,0,0
principle,0,0,0,0,6,0,0,0
develop,0,0,0,0,0,0,0,2
collect,0,0,0,0,0,0,0,8
analyze,0,0,0,0,0,0,0,3
present,1,0,0,0,0,0,0,3
interpret,0,0,0,0,0,0,0,2
large,17,0,0,0,0,0,0,0
masse,0,0,0,0,2,0,0,0
appear,0,0,0,0,0,0,0,3
claim,0,0,0,0,1,0,0,0
advertiser,0,0,0,0,1,0,0,0
prediction,0,0,0,0,6,0,0,0
election,0,0,0,0,4,0,0,0
opinion,0,0,0,0,6,0,0,0
poll,0,0,0,0,2,0,0,0
cost,0,0,0,0,1,0,0,1
living,0,0,0,0,1,0,0,0
index,0,0,0,0,1,0,0,0
business,0,0,0,0,2,0,0,0
trend,0,0,0,0,2,0,0,0
cycle,0,0,0,0,1,0,0,0
science,0,0,0,0,3,0,0,0
depend,0,0,0,0,0,0,0,4
extent,0,0,0,0,1,0,0,0
interpreting,0,0,0,0,1,0,0,0
basis,0,0,0,0,2,0,0,0
decision,0,0,0,0,3,0,0,0
field,0,0,0,0,3,0,0,0
government,0,0,0,0,3,0,0,0
industry,0,0,0,0,2,0,0,0
education,0,0,0,0,1,0,0,0
average,11,0,0,0,14,0,0,1
person,0,0,0,0,13,0,0,0
base,0,0,0,0,0,0,0,4
personal,1,0,0,0,0,0,0,0
information,0,0,0,0,7,0,0,0
supply,0,0,0,0,0,0,0,1
pie,0,0,0,0,1,0,0,0
chart,0,0,0,0,6,0,0,0
businessman,0,0,0,0,1,0,0,0
common,3,0,0,0,0,0,0,0
display,0,0,0,0,0,0,0,7
investigation,0,0,0,0,2,0,0,0
single,7,0,0,0,0,0,0,0
sentence,0,0,0,0,1,0,0,0
weather,0,0,0,0,1,0,0,0
forecasting,0,0,0,0,1,0,0,0
form,0,0,0,0,10,0,0,0
table,0,0,0,0,14,0,0,0
show,0,0,0,0,0,0,0,24
pictorially,0,0,1,0,0,0,0,0
graph,0,0,0,0,12,0,0,3
usually,0,0,7,0,0,0,0,0
following,2,0,0,0,0,0,0,0
consult,0,0,0,0,0,0,0,1
exist,0,0,0,0,0,0,0,3
source,0,0,0,0,3,0,0,0
material,0,0,0,0,1,0,0,0
periodical,0,0,0,0,1,0,0,0
agency,0,0,0,0,1,0,0,0
research,0,0,0,0,2,0,0,0
bureaus,0,0,0,0,1,0,0,0
set,0,0,0,0,2,0,0,4
survey,0,0,0,0,4,0,0,0
firsthand,0,0,1,0,0,0,0,0
individual,1,0,0,0,8,0,0,0
organization,0,0,0,0,1,0,0,0
conduct,0,0,0,0,0,0,0,5
scientific,2,0,0,0,0,0,0,0
experiment,0,0,0,0,5,0,0,0
measure,0,0,0,0,23,0,0,21
count,0,0,0,0,0,0,0,6
control,0,0,0,0,0,0,0,2
condition,0,0,0,0,1,0,0,0
basic,5,0,0,0,0,0,0,0
accurate,8,0,0,0,0,0,0,0
representative,5,0,0,0,0,0,0,0
comprehensive,1,0,0,0,0,0,0,0
treatment,0,0,0,0,1,0,0,0
improve,0,0,0,0,0,0,0,1
validity,0,0,0,0,3,0,0,0
accuracy,0,0,0,0,1,0,0,0
raw,1,0,0,0,0,0,0,0
population,0,0,0,0,28,0,0,0
ordinarily,0,0,2,0,0,0,0,0
number,0,0,0,0,37,0,0,0
specific,3,0,0,0,0,0,0,0
speak,0,0,0,0,0,0,0,1
automobile,0,0,0,0,1,0,0,0
salary,0,0,0,0,1,0,0,0
ballot,0,0,0,0,1,0,0,0
blood,0,0,0,0,1,0,0,0
pressure,0,0,0,0,1,0,0,0
characteristic,0,0,0,0,6,0,0,0
call,0,0,0,0,0,0,0,26
universe,0,0,0,0,2,0,0,0
entire,3,0,0,0,0,0,0,0
group,0,0,0,0,31,0,0,5
item,0,0,0,0,2,0,0,0
class,0,0,0,0,13,0,0,0
consider,0,0,0,0,0,0,0,2
gather,0,0,0,0,0,0,0,1
observation,0,0,0,0,2,0,0,0
case,0,0,0,0,15,0,0,0
infinite,2,0,0,0,0,0,0,0
time,0,0,0,0,13,0,0,0
head,0,0,0,0,10,0,0,0
penny,0,0,0,0,1,0,0,0
toss,0,0,0,0,2,0,0,3
limit,0,0,0,0,3,0,0,0
throw,0,0,0,0,1,0,0,0
billion,0,0,0,0,0,1,0,0
exhaust,0,0,0,0,0,0,0,1
trial,0,0,0,0,3,0,0,0
employee,0,0,0,0,1,0,0,0
visit,0,0,0,0,0,0,0,1
household,0,0,0,0,5,0,0,0
answer,0,0,0,0,3,0,0,2
census,0,0,0,0,2,0,0,0
question,0,0,0,0,9,0,0,0
statistically,0,0,2,0,0,0,0,0
change,0,0,0,0,1,0,0,2
american,1,0,0,0,0,0,0,0
life,0,0,0,0,2,0,0,0
finite,1,0,0,0,0,0,0,0
long,0,0,1,0,0,0,0,0
unit,0,0,0,0,4,0,0,0
year,0,0,0,0,2,0,0,0
gigantic,1,0,0,0,0,0,0,0
costly,1,0,0,0,0,0,0,0
undertaking,0,0,0,0,1,0,0,0
sample,0,0,0,0,31,0,0,1
relatively,0,0,3,0,0,0,0,0
small,6,0,0,0,0,0,0,0
measurement,0,0,0,0,10,0,0,0
generalization,0,0,0,0,2,0,0,0
select,0,0,0,0,0,0,0,7
conclusion,0,0,0,0,6,0,0,0
draw,0,0,0,0,0,0,0,8
valid,4,0,0,0,0,0,0,0
probable,1,0,0,0,0,0,0,0
outcome,0,0,0,0,16,0,0,0
national,2,0,0,0,0,0,0,0
interview,0,0,0,0,0,0,0,2
register,0,0,0,0,0,0,0,1
voter,0,0,0,0,1,0,0,0
vote,0,0,0,0,0,0,0,1
size,0,0,0,0,6,0,0,0
factor,0,0,0,0,8,0,0,0
equal,2,0,0,0,0,0,0,1
well,2,0,0,0,0,0,0,0
excellent,1,0,0,0,0,0,0,0
obtain,0,0,0,0,0,0,0,13
properly,0,0,1,0,0,0,0,0
sampling,0,0,0,0,25,0,0,0
circumstance,0,0,0,0,1,0,0,0
know,0,0,0,0,0,0,0,8
simple,12,0,0,0,0,0,0,0
theory,0,0,0,0,3,0,0,0
ensure,0,0,0,0,0,0,0,3
element,0,0,0,0,6,0,0,0
equally,0,0,5,0,0,0,0,0
include,0,0,0,0,0,0,0,7
essentially,0,0,2,0,0,0,0,0
shuffle,0,0,0,0,0,0,0,1
deal,0,0,0,0,1,0,0,1
deck,0,0,0,0,1,0,0,0
card,0,0,0,0,4,0,0,0
dealer,0,0,0,0,1,0,0,0
simply,0,0,5,0,0,0,0,0
combination,0,0,0,0,3,0,0,0
end,0,0,0,0,1,0,0,1
hand,0,0,0,0,2,0,0,0
achieve,0,0,0,0,0,0,0,1
choose,0,0,0,0,0,0,0,2
computer,0,0,0,0,1,0,0,0
generate,0,0,0,0,0,0,0,2
guarantee,0,0,0,0,0,0,0,1
commonly,0,0,4,0,0,0,0,0
technique,0,0,0,0,3,0,0,0
stratify,0,0,0,0,0,0,0,3
cluster,0,0,0,0,6,0,0,2
systematic,2,0,0,0,0,0,0,0
variation,0,0,0,0,9,0,0,0
divide,0,0,0,0,0,0,0,8
stratum,0,0,0,0,4,0,0,0
combine,0,0,0,0,0,0,0,3
public,3,0,0,0,0,0,0,0
polling,0,0,0,0,2,0,0,0
country,0,0,0,0,1,0,0,0
geographic,2,0,0,0,0,0,0,0
area,0,0,0,0,5,0,0,0
accord,0,0,0,0,0,0,0,4
degree,0,0,0,0,3,0,0,0
urbanization,0,0,0,0,1,0,0,0
involve,0,0,0,0,0,0,0,4
difference,0,0,0,0,6,0,0,0
main,1,0,0,0,0,0,0,0
county,0,0,0,0,1,0,0,0
township,0,0,0,0,1,0,0,0
city,0,0,0,0,1,0,0,0
block,0,0,0,0,1,0,0,0
define,0,0,0,0,0,0,0,2
section,0,0,0,0,1,0,0,0
nth,1,0,0,0,0,0,0,0
member,0,0,0,0,4,0,0,0
attitude,0,0,0,0,1,0,0,0
subscriber,0,0,0,0,4,0,0,0
derive,0,0,0,0,0,0,0,1
list,0,0,0,0,2,0,0,1
nonprobability,0,0,0,0,4,0,0,0
contrast,0,0,0,0,1,0,0,0
convenience,0,0,0,0,1,0,0,0
judgment,0,0,0,0,2,0,0,0
save,0,0,0,0,0,0,0,1
money,0,0,0,0,1,0,0,0
researcher,0,0,0,0,2,0,0,0
quota,0,0,0,0,3,0,0,0
interviewer,0,0,0,0,4,0,0,0
talk,0,0,0,0,0,0,0,1
assign,0,0,0,0,0,0,0,2
certain,7,0,0,0,0,0,0,0
instruct,0,0,0,0,0,0,0,1
specify,0,0,0,0,0,0,0,1
category,0,0,0,0,7,0,0,0
socioeconomic,1,0,0,0,0,0,0,0
level,0,0,0,0,18,0,0,0
age,0,0,0,0,4,0,0,0
goal,0,0,0,0,1,0,0,0
match,0,0,0,0,0,0,0,1
general,2,0,0,0,0,0,0,0
forecast,0,0,0,0,1,0,0,0
drawback,0,0,0,0,1,0,0,0
impossible,4,0,0,0,0,0,0,0
identify,0,0,0,0,0,0,0,1
affect,0,0,0,0,0,0,0,3
design,0,0,0,0,0,0,0,2
necessarily,0,0,3,0,0,0,0,0
sound,1,0,0,0,0,0,0,0
careful,2,0,0,0,0,0,0,0
procedure,0,0,0,0,2,0,0,0
load,0,0,0,0,0,0,0,1
influence,0,0,0,0,0,0,0,1
volunteer,0,0,0,0,0,0,0,1
typical,4,0,0,0,0,0,0,0
questionnaire,0,0,0,0,5,0,0,0
immediately,0,0,1,0,0,0,0,0
reply,0,0,0,0,1,0,0,0
letter,0,0,0,0,3,0,0,0
express,0,0,0,0,0,0,0,14
editor,0,0,0,0,1,0,0,0
current,1,0,0,0,0,0,0,0
issue,0,0,0,0,1,0,0,0
nonrandom,1,0,0,0,0,0,0,0
nonrepresentative,1,0,0,0,0,0,0,0
kind,0,0,0,0,7,0,0,0
type,0,0,0,0,6,0,0,0
handle,0,0,0,0,0,0,0,2
family,0,0,0,0,3,0,0,0
exact,3,0,0,0,0,0,0,0
child,0,0,0,0,8,0,0,0
bear,0,0,0,0,0,0,0,2
leap,0,0,0,0,0,0,0,1
pass,0,0,0,0,0,0,0,1
intermediate,1,0,0,0,0,0,0,0
stage,0,0,0,0,1,0,0,0
succession,0,0,0,0,1,0,0,0
discrete,4,0,0,0,0,0,0,0
discontinuous,1,0,0,0,0,0,0,0
series,0,0,0,0,7,0,0,0
suppose,0,0,0,0,0,0,0,5
market,0,0,0,0,1,0,0,0
analyst,0,0,0,0,1,0,0,0
consumer,0,0,0,0,1,0,0,0
preference,0,0,0,0,1,0,0,0
breakfast,0,0,0,0,2,0,0,0
food,0,0,0,0,2,0,0,0
popcorn,0,0,0,0,2,0,0,0
ask,0,0,0,0,0,0,0,1
kitchen,0,0,0,0,1,0,0,0
shelf,0,0,0,0,1,0,0,0
word,0,0,0,0,8,0,0,0
phrase,0,0,0,0,1,0,0,0
enumeration,0,0,0,0,1,0,0,0
represent,0,0,0,0,0,0,0,5
bar,0,0,0,0,2,0,0,0
separate,0,0,0,0,0,0,0,2
suggest,0,0,0,0,0,0,0,1
discontinuity,0,0,0,0,1,0,0,0
left,2,0,0,0,2,0,0,0
height,0,0,0,0,6,0,0,0
skyscraper,0,0,0,0,1,0,0,0
right,1,0,0,0,1,0,0,0
depth,0,0,0,0,1,0,0,0
continuous,7,0,0,0,0,0,0,0
second,6,0,0,0,0,0,0,0
consist,0,0,0,0,0,0,0,4
fall,0,0,0,0,0,0,0,6
scale,0,0,0,0,12,0,0,0
distance,0,0,0,0,7,0,0,0
foot,0,0,0,0,1,0,0,0
meter,0,0,0,0,1,0,0,0
weight,0,0,0,0,5,0,0,0
pound,0,0,0,0,1,0,0,0
kilogram,0,0,0,0,1,0,0,0
temperature,0,0,0,0,4,0,0,0
grade,0,0,0,0,25,0,0,0
test,0,0,0,0,15,0,0,2
sort,0,0,0,0,1,0,0,0
instrument,0,0,0,0,7,0,0,0
ruler,0,0,0,0,1,0,0,0
thermometer,0,0,0,0,3,0,0,0
school,0,0,0,0,6,0,0,0
gradation,0,0,0,0,1,0,0,0
low,6,0,0,0,0,0,0,0
numerically,0,0,2,0,0,0,0,0
definite,2,0,0,0,0,0,0,0
distinct,2,0,0,0,0,0,0,0
diagram,0,0,0,0,4,0,0,1
relationship,0,0,0,0,8,0,0,0
bright,1,0,0,0,0,0,0,0
star,0,0,0,0,2,0,0,0
hot,1,0,0,0,0,0,0,0
intelligence,0,0,0,0,4,0,0,0
frequently,0,0,3,0,0,0,0,0
instead,0,0,2,0,0,0,0,0
psychological,2,0,0,0,0,0,0,0
norm,0,0,0,0,4,0,0,0
law,0,0,0,0,3,0,0,0
theorem,0,0,0,0,2,0,0,0
identically,0,0,1,0,0,0,0,0
distribute,0,0,0,0,0,0,0,1
randomly,0,0,1,0,0,0,0,0
variable,0,0,0,0,6,0,0,0
increase,0,0,0,0,0,0,0,2
theoretical,1,0,0,0,0,0,0,0
prove,0,0,0,0,0,0,0,3
swiss,1,0,0,0,0,0,0,0
contemporary,0,0,0,0,1,0,0,0
formal,1,0,0,0,0,0,0,0
view,0,0,0,0,1,0,0,0
envisage,0,0,0,0,0,0,0,1
endless,1,0,0,0,0,0,0,0
sequence,0,0,0,0,2,0,0,0
repetition,0,0,0,0,3,0,0,0
pure,1,0,0,0,0,0,0,0
loss,0,0,0,0,1,0,0,0
label,0,0,0,0,0,0,0,2
fraction,0,0,0,0,3,0,0,0
believe,0,0,0,0,0,0,0,1
eventually,0,0,1,0,0,0,0,0
close,2,0,0,0,0,0,0,0
precise,2,0,0,0,0,0,0,0
manner,0,0,0,0,2,0,0,0
indefinitely,0,0,1,0,0,0,0,0
prespecifie,0,0,0,0,0,0,0,1
percent,0,0,0,0,18,0,0,0
error,0,0,0,0,3,0,0,0
residual,1,0,0,0,0,0,0,0
eliminate,0,0,0,0,0,0,0,1
generally,0,0,4,0,0,0,0,0
sufficiently,0,0,1,0,0,0,0,0
dependable,1,0,0,0,0,0,0,0
skilled,1,0,0,0,0,0,0,0
observer,0,0,0,0,1,0,0,0
recorder,0,0,0,0,1,0,0,0
reliability,0,0,0,0,2,0,0,0
consistently,0,0,1,0,0,0,0,0
similar,3,0,0,0,0,0,0,0
reliable,1,0,0,0,0,0,0,0
hour,0,0,0,0,1,0,0,0
little,3,0,0,0,0,0,0,0
fast,1,0,0,0,0,0,0,0
slow,1,0,0,0,0,0,0,0
compare,0,0,0,0,0,0,0,8
correct,2,0,0,0,0,0,0,0
give,0,0,0,0,0,0,0,9
standard,3,0,0,0,2,0,0,0
oral,1,0,0,0,0,0,0,0
good,4,0,0,0,0,0,0,0
room,0,0,0,0,1,0,0,0
humidity,0,0,0,0,1,0,0,0
wind,0,0,0,0,1,0,0,0
velocity,0,0,0,0,1,0,0,0
device,0,0,0,0,2,0,0,0
build,0,0,0,0,0,0,0,1
print,0,0,0,0,0,0,0,1
write,0,0,0,0,0,0,0,4
poorly,0,0,1,0,0,0,0,0
difficult,2,0,0,0,0,0,0,0
understand,0,0,0,0,0,0,0,1
worthless,1,0,0,0,0,0,0,0
guard,0,0,0,0,0,0,0,1
great,8,0,0,0,0,0,0,0
spend,0,0,0,0,0,0,0,1
perfect,3,0,0,0,0,0,0,1
carefully,0,0,1,0,0,0,0,0
train,0,0,0,0,0,0,0,1
secure,0,0,0,0,0,0,0,1
record,0,0,0,0,0,0,0,1
pilot,1,0,0,0,0,0,0,0
bias,0,0,0,0,1,0,0,0
ambiguity,0,0,0,0,1,0,0,0
remove,0,0,0,0,0,0,0,1
prior,0,0,1,0,0,0,0,0
final,1,0,0,0,0,0,0,0
frequency,0,0,0,0,18,0,0,0
distribution,0,0,0,0,16,0,0,0
condense,0,0,0,0,0,0,0,2
arrange,0,0,0,0,0,0,0,4
usable,2,0,0,0,0,0,0,0
tabulation,0,0,0,0,1,0,0,0
see,0,0,0,0,0,0,0,1
summarize,0,0,0,0,0,0,0,2
describe,0,0,0,0,0,0,0,9
mass,0,0,0,0,1,0,0,0
reading,0,0,0,0,4,0,0,0
eighty,0,0,0,0,0,1,0,0
sixth,6,0,0,0,0,0,0,0
student,0,0,0,0,13,0,0,0
order,0,0,0,0,4,0,0,0
extremely,0,0,3,0,0,0,0,0
grader,0,0,0,0,1,0,0,0
ability,0,0,0,0,4,0,0,0
haphazard,1,0,0,0,0,0,0,0
arrangement,0,0,0,0,1,0,0,0
readily,0,0,1,0,0,0,0,0
range,0,0,0,0,11,0,0,0
scatter,0,0,0,0,3,0,0,2
widely,0,0,3,0,0,0,0,0
proportion,0,0,0,0,3,0,0,0
middle,3,0,0,0,2,0,0,0
half,0,0,0,1,9,0,0,0
pupil,0,0,0,0,13,0,0,0
rest,0,0,0,0,1,0,0,0
stub,0,0,0,0,1,0,0,0
vertical,3,0,0,0,0,0,0,0
column,0,0,0,0,2,0,0,0
tabulate,0,0,0,0,0,0,0,2
technically,0,0,1,0,0,0,0,0
tabulating,0,0,0,0,1,0,0,0
take,0,0,0,0,0,0,0,1
tally,0,0,0,0,5,0,0,0
mark,0,0,0,0,5,0,0,0
opposite,0,1,0,0,0,0,0,0
value,0,0,0,0,7,0,0,0
notice,0,0,0,0,0,0,0,3
iii,0,0,0,0,0,4,0,0
near,1,1,0,0,0,0,0,0
interval,0,0,0,0,8,0,0,0
remember,0,0,0,0,0,0,0,1
classification,0,0,0,0,1,0,0,0
prefer,0,0,0,0,0,0,0,1
clearly,0,0,2,0,0,0,0,0
overall,1,0,0,0,0,0,0,0
pattern,0,0,0,0,3,0,0,0
summary,0,0,0,0,1,0,0,0
line,0,0,0,0,3,0,0,0
horizontal,3,0,0,0,0,0,0,0
correspond,0,0,0,0,0,0,0,1
stair,0,0,0,0,1,0,0,0
step,0,0,0,0,1,0,0,0
histogram,0,0,0,0,1,0,0,0
connect,0,0,0,0,0,0,0,1
center,0,0,0,0,1,0,0,0
midpoint,0,0,0,0,3,0,0,0
straight,2,0,0,0,0,0,0,0
produce,0,0,0,0,0,0,0,5
polygon,0,0,0,0,3,0,0,0
impression,0,0,0,0,4,0,0,0
casual,1,0,0,0,0,0,0,0
examination,0,0,0,0,1,0,0,0
curve,0,0,0,0,7,0,0,0
central,7,0,0,0,0,0,0,0
tendency,0,0,0,0,8,0,0,0
seek,0,0,0,0,0,0,0,1
calculate,0,0,0,0,0,0,0,1
arithmetic,3,0,0,0,1,0,0,0
mind,0,0,0,0,2,0,0,0
add,0,0,0,0,0,0,0,2
sum,0,0,0,0,6,0,0,0
signify,0,0,0,0,0,0,0,1
exactly,0,0,2,0,0,0,0,0
point,0,0,0,0,5,0,0,0
earn,0,0,0,0,0,0,0,2
greatly,0,0,1,0,0,0,0,0
extreme,3,0,0,0,0,0,0,0
mode,0,0,0,0,10,0,1,0
nonnumerical,1,0,0,0,0,0,0,0
advantage,0,0,0,0,1,0,0,0
possibly,0,0,1,0,0,0,0,0
probably,0,0,1,0,0,0,0,0
think,0,0,0,0,0,0,0,2
pet,0,0,0,0,1,0,0,0
community,0,0,0,0,1,0,0,0
median,2,0,0,0,7,0,0,0
magnitude,0,0,0,0,1,0,0,0
lie,0,0,0,0,0,0,0,1
halfway,0,0,0,0,1,0,0,0
able,1,0,0,0,0,0,0,0
seventh,2,0,0,0,0,0,0,0
deviate,0,0,0,0,0,0,0,2
frequent,1,0,0,0,0,0,0,0
serve,0,0,0,0,0,0,0,1
comparison,0,0,0,0,1,0,0,0
judge,0,0,0,0,0,0,0,3
rare,1,0,0,0,0,0,0,0
atypical,1,0,0,0,0,0,0,0
tend,0,0,0,0,0,0,0,3
pile,0,0,0,0,0,0,0,1
skew,0,0,0,0,0,0,0,1
indicate,0,0,0,0,0,0,0,4
bimodal,1,0,0,0,0,0,0,0
multimodal,1,0,0,0,0,0,0,0
percentile,1,0,0,0,9,0,0,0
rank,0,0,0,0,4,0,0,0
educational,1,0,0,0,0,0,0,0
doctor,0,0,0,0,1,0,0,0
office,0,0,0,0,1,0,0,0
staff,0,0,0,0,1,0,0,0
weigh,0,0,0,0,0,0,0,1
nurse,0,0,0,0,1,0,0,0
tell,0,0,0,0,0,0,0,2
considerable,2,0,0,0,0,0,0,0
attention,0,0,0,0,2,0,0,0
pay,0,0,0,0,0,0,0,2
say,0,0,0,0,0,0,0,1
bilaterally,0,0,1,0,0,0,0,0
symmetrical,2,0,0,0,0,0,0,0
fold,0,0,0,0,0,0,0,1
vertically,0,0,1,0,0,0,0,0
lack,0,0,0,0,0,0,0,1
symmetry,0,0,0,0,1,0,0,0
skewed,1,0,0,0,0,0,0,0
normal,1,0,0,0,0,0,0,0
bell,0,0,0,0,1,0,0,0
shape,0,0,0,0,1,0,0,0
perfectly,0,0,1,0,0,0,0,0
variability,0,0,0,0,12,0,0,0
spread,0,0,0,0,2,0,0,0
let,0,0,0,0,0,0,0,2
look,0,0,0,0,0,0,0,2
physical,2,0,0,0,0,0,0,0
fitness,0,0,0,0,1,0,0,0
roughly,0,0,4,0,0,0,0,0
lot,0,0,0,0,3,0,0,0
dispersion,0,0,0,0,2,0,0,0
alike,2,0,0,0,0,0,0,0
zero,0,0,0,0,0,8,0,0
need,0,0,0,0,1,0,0,1
closely,0,0,2,0,0,0,0,0
devise,0,0,0,0,0,0,0,2
chief,2,0,0,0,0,0,0,0
difficulty,0,0,0,0,1,0,0,0
significance,0,0,0,0,1,0,0,0
interquartile,5,0,0,0,0,0,0,0
determine,0,0,0,0,0,0,0,4
quartile,1,0,0,0,2,0,0,0
semi,1,0,0,0,0,0,0,0
deviation,0,0,0,0,12,0,0,0
subtract,0,0,0,0,0,0,0,1
