word,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,SCONJ,VERB,X
grand,9,0,0,0,0,0,0,0,0,0,0
duchy,0,0,0,0,0,0,11,0,0,0,0
collection,0,0,0,0,0,0,11,0,0,0,0
traditional,28,0,0,0,0,0,0,0,0,0,0
myth,0,0,0,0,0,0,3,0,0,0,0
epic,4,0,0,0,0,0,6,0,0,0,0
feel,0,0,0,0,0,0,0,0,0,6,0
sense,0,0,0,0,0,0,7,0,0,0,0
separate,5,0,0,0,0,0,0,0,0,8,0
people,0,0,0,0,0,0,66,0,0,0,0
start,0,0,0,0,0,0,0,0,0,10,0
speak,0,0,0,0,0,0,0,0,0,29,0
opportunity,0,0,0,0,0,0,4,0,0,0,0
provide,0,0,0,0,0,0,0,0,0,51,0
run,0,0,0,0,0,0,1,0,0,18,0
afoul,0,0,1,0,0,0,0,0,0,0,0
surrender,0,0,0,0,0,0,0,0,0,7,0
counterbalance,0,0,0,0,0,0,0,0,0,1,0
increase,0,0,0,0,0,0,12,0,0,43,0
demand,0,0,0,0,0,0,22,0,0,14,0
order,0,0,0,0,0,0,16,0,0,4,0
stage,0,0,0,0,0,0,10,0,0,2,0
attack,0,0,0,0,0,0,19,0,0,23,0
decision,0,0,0,0,0,0,15,0,0,0,0
launch,0,0,0,0,0,0,0,0,0,4,0
win,0,0,0,0,0,0,0,0,0,60,0
battle,0,0,0,0,0,0,15,0,0,1,0
eventually,0,0,13,0,0,0,0,0,0,0,0
prevail,0,0,0,0,0,0,0,0,0,3,0
price,0,0,0,0,0,0,21,0,0,0,0
peace,0,0,0,0,0,0,33,0,0,0,0
conflict,0,0,0,0,0,0,23,0,0,3,0
expulsion,0,0,0,0,0,0,2,0,0,0,0
payment,0,0,0,0,0,0,13,0,0,0,0
monetary,4,0,0,0,0,0,0,0,0,0,0
reparation,0,0,0,0,0,0,6,0,0,0,0
work,0,0,0,0,0,0,44,0,0,30,0
farming,0,0,0,0,0,0,16,0,0,0,0
forestry,0,0,0,0,0,0,14,0,0,0,0
decade,0,0,0,0,0,0,18,0,0,0,0
bulk,0,0,0,0,0,0,3,0,0,0,0
industrial,32,0,0,0,0,0,0,0,0,0,0
nemesis,0,0,0,0,0,0,1,0,0,0,0
collapse,0,0,0,0,0,0,5,0,0,1,0
tough,2,0,0,0,0,0,0,0,0,0,0
time,0,0,0,0,0,0,100,0,0,0,0
economically,0,0,7,0,0,0,0,0,0,0,0
regroup,0,0,0,0,0,0,0,0,0,1,0
business,0,0,0,0,0,0,11,0,0,0,0
late,41,0,2,0,0,0,0,0,0,0,0
cell,0,0,0,0,0,0,5,0,0,0,0
phone,0,0,0,0,0,0,3,0,0,0,0
manufacturer,0,0,0,0,0,0,5,0,0,0,0
detail,0,0,0,0,0,0,2,0,0,1,0
book,0,0,0,0,0,0,15,0,0,0,0
approximately,0,0,10,0,0,0,0,0,0,0,0
long,32,0,19,0,0,0,0,0,0,0,0
wide,12,0,1,0,0,0,0,0,0,0,0
north,7,0,8,0,0,0,56,0,0,0,0
contain,0,0,0,0,0,0,0,0,0,15,0
homeland,0,0,0,0,0,0,2,0,0,0,0
heavy,11,0,0,0,0,0,0,0,0,0,0
snowfall,0,0,0,0,0,0,3,0,0,0,0
month,0,0,0,0,0,0,18,0,0,0,0
mild,8,0,0,0,0,0,0,0,0,0,0
thank,0,0,0,0,0,0,1,0,0,0,0
warm,6,0,0,0,0,0,0,0,0,3,0
wind,0,0,0,0,0,0,5,0,0,1,0
current,5,0,0,0,0,0,3,0,0,0,0
birch,0,0,0,0,0,0,13,0,0,0,0
fir,0,0,0,0,0,0,3,0,0,0,0
pine,0,0,0,0,0,0,6,0,0,0,0
forest,0,0,0,0,0,0,32,0,0,2,0
fill,0,0,0,0,0,0,0,0,0,2,0
lingonberry,0,0,0,0,0,0,3,0,0,0,0
blueberry,0,0,0,0,0,0,2,0,0,0,0
pick,0,0,0,0,0,0,0,0,0,2,0
preservation,0,0,0,0,0,0,1,0,0,0,0
natural,15,0,0,0,0,0,0,0,0,0,0
environ,0,0,0,0,0,0,2,0,0,0,0
give,0,0,0,0,0,0,0,0,0,51,0
rise,0,0,0,0,0,0,10,0,0,22,0
establishment,0,0,0,0,0,0,14,0,0,0,0
park,0,0,0,0,0,0,11,0,0,0,0
ecological,1,0,0,0,0,0,0,0,0,0,0
bent,0,0,0,0,0,0,1,0,0,0,0
evident,5,0,0,0,0,0,0,0,0,0,0
use,0,0,0,0,0,0,19,0,0,5,0
hydroelectric,9,0,0,0,0,0,0,0,0,0,0
harness,0,0,0,0,0,0,0,0,0,1,0
river,0,0,0,0,0,0,29,0,0,0,0
half,1,0,0,0,0,3,44,0,0,0,0
need,0,0,0,0,0,0,13,0,0,5,0
nuclear,17,0,0,0,0,0,0,0,0,0,0
rest,0,0,0,0,0,0,16,0,0,3,0
constitutional,11,0,0,0,0,0,0,0,0,0,0
monarchy,0,0,0,0,0,0,18,0,0,0,0
monarch,0,0,0,0,0,0,13,0,0,0,0
ceremonial,4,0,0,0,0,0,0,0,0,0,0
elect,0,0,0,0,0,0,0,0,0,54,0
nearly,0,0,20,0,0,0,0,0,0,0,0
fifth,0,0,0,0,0,0,19,0,0,0,0
parent,0,0,0,0,0,0,9,0,0,0,0
bear,0,0,0,0,0,0,5,0,0,39,0
fact,0,0,0,0,0,0,11,0,0,0,0
immigration,2,0,0,0,0,0,14,0,0,0,0
contribute,0,0,0,0,0,0,0,0,0,10,0
population,0,0,0,0,0,0,61,0,0,0,0
growth,0,0,0,0,0,0,23,0,0,0,0
capita,0,0,0,0,0,0,1,0,0,0,6
gross,9,0,0,0,0,0,0,0,0,0,0
product,0,0,0,0,0,0,41,0,0,0,0
generous,2,0,0,0,0,0,0,0,0,0,0
benefit,0,0,0,0,0,0,19,0,0,0,0
maintain,0,0,0,0,0,0,0,0,0,29,0
currency,0,0,0,0,0,0,22,0,0,0,0
krona,0,0,0,0,0,0,6,0,0,0,0
car,0,0,0,0,0,0,6,0,0,0,0
communication,0,0,0,0,0,0,8,0,0,0,0
equipment,0,0,0,0,0,0,11,0,0,0,0
author,0,0,0,0,0,0,9,0,0,1,0
playwright,0,0,0,0,0,0,3,0,0,0,0
actress,0,0,0,0,0,0,2,0,0,0,0
pop,2,0,0,0,0,0,3,0,0,0,0
archaeologist,0,0,0,0,0,0,3,0,0,0,0
find,0,0,0,0,0,0,6,0,0,27,0
trace,0,0,0,0,0,0,2,0,0,1,0
chieftain,0,0,0,0,0,0,4,0,0,0,0
capture,0,0,0,0,0,0,1,0,0,13,0
stronghold,0,0,0,0,0,0,5,0,0,0,0
city,0,0,0,0,0,0,60,0,0,0,0
town,0,0,0,0,0,0,47,0,0,0,0
slave,0,0,0,0,0,0,5,0,0,0,0
fur,0,0,0,0,0,0,12,0,0,0,0
arabic,2,0,0,0,0,0,0,0,0,0,0
civilization,0,0,0,0,0,0,2,0,0,0,0
christianity,0,0,0,0,0,0,1,0,0,0,0
primarily,0,0,23,0,0,0,0,0,0,0,0
english,9,0,0,0,0,0,0,0,0,0,0
missionary,2,0,0,0,0,0,7,0,0,0,0
religious,25,0,0,0,0,0,0,0,0,0,0
establish,0,0,0,0,0,0,0,0,0,78,0
region,0,0,0,0,0,0,65,0,0,0,0
end,0,0,0,0,0,0,66,0,0,26,0
agreement,0,0,0,0,0,0,21,0,0,0,0
kingdom,0,0,0,0,0,0,36,0,0,0,0
operate,0,0,0,0,0,0,0,0,0,11,0
single,12,0,0,0,0,0,4,0,0,0,0
bitter,3,0,0,0,0,0,0,0,0,0,0
struggle,0,0,0,0,0,0,13,0,0,5,0
name,0,0,0,0,0,0,6,0,0,13,0
king,0,0,0,0,0,0,155,0,0,0,0
owe,0,0,0,0,0,0,0,0,0,9,0
debt,0,0,0,0,0,0,11,0,0,0,0
rid,0,0,0,0,0,0,0,0,0,1,0
influence,0,0,0,0,0,0,39,0,0,13,0
grant,0,0,0,0,0,0,4,0,0,22,0
monopoly,0,0,0,0,0,0,6,0,0,0,0
get,0,0,0,0,0,0,0,0,0,1,0
new,110,0,0,0,0,0,0,0,0,0,0
try,0,0,0,0,0,0,0,0,0,20,0
return,0,0,0,0,0,0,10,0,0,25,0
exile,0,0,0,0,0,0,3,0,0,4,0
young,33,0,0,0,0,0,0,0,0,0,0
fight,0,0,0,0,0,0,1,0,0,13,0
hanseatic,7,0,0,0,0,0,0,0,0,0,0
army,0,0,0,0,0,0,46,0,0,0,0
wipe,0,0,0,0,0,0,0,0,0,2,0
free,37,0,0,0,0,0,0,0,0,3,0
major,53,0,0,0,0,0,1,0,0,0,0
european,49,0,0,0,0,0,0,0,0,0,0
die,0,0,0,0,0,0,0,0,0,50,0
gain,0,0,0,0,0,0,4,0,0,24,0
territorial,5,0,0,0,0,0,0,0,0,0,0
concession,0,0,0,0,0,0,6,0,0,0,0
war,0,0,0,0,0,0,101,0,0,0,1
conquer,0,0,0,0,0,0,0,0,0,11,0
follow,0,0,0,0,0,0,0,0,0,60,0
wrest,0,0,0,0,0,0,0,0,0,1,0
province,0,0,0,0,0,0,35,0,0,0,0
tip,0,0,0,0,0,0,5,0,0,0,0
control,0,0,0,0,0,0,28,0,0,17,0
sweep,0,0,0,0,0,0,0,0,0,5,0
important,96,0,0,0,0,0,0,0,0,0,0
issue,0,0,0,0,0,0,27,0,0,10,0
stay,0,0,0,0,0,0,1,0,0,3,0
diplomat,0,0,0,0,0,0,5,0,0,0,0
play,0,0,0,0,0,0,10,0,0,27,0
role,0,0,0,0,0,0,32,0,0,0,0
peacekeeper,0,0,0,0,0,0,1,0,0,0,0
right,14,0,1,0,0,0,46,0,0,0,0
advocate,0,0,0,0,0,0,4,0,0,3,0
assassinate,0,0,0,0,0,0,0,0,0,5,0
act,0,0,0,0,0,0,16,0,0,9,0
shock,0,0,0,0,0,0,0,0,0,3,0
source,0,0,0,0,0,0,22,0,0,0,0
inspiration,0,0,0,0,0,0,2,0,0,0,0
activist,0,0,0,0,0,0,2,0,0,0,0
introduction,0,0,0,0,0,0,9,0,0,0,0
entire,6,0,0,0,0,0,0,0,0,0,0
content,0,0,0,0,0,0,4,0,0,1,0
great,85,0,0,0,0,0,0,0,0,0,0
physical,6,0,0,0,0,0,0,0,0,0,0
beauty,0,0,0,0,0,0,2,0,0,0,0
abundance,0,0,0,0,0,0,2,0,0,0,0
overall,4,0,2,0,0,0,0,0,0,0,0
enjoy,0,0,0,0,0,0,0,0,0,12,0
good,18,0,0,0,0,0,17,0,0,0,0
share,0,0,0,0,0,0,4,0,0,12,0
strong,46,0,0,0,0,0,0,0,0,0,0
justice,0,0,0,0,0,0,11,0,0,0,0
tremendous,2,0,0,0,0,0,0,0,0,0,0
asset,0,0,0,0,0,0,3,0,0,0,0
peninsula,0,0,0,0,0,0,8,0,0,0,0
extend,0,0,0,0,0,0,0,0,0,14,0
northward,0,0,3,0,0,0,0,0,0,0,0
continental,17,0,0,0,0,0,0,0,0,0,0
western,36,0,0,0,0,0,0,0,0,0,0
archipelago,0,0,0,0,0,0,15,0,0,0,0
east,5,0,9,0,0,0,16,0,0,0,0
make,0,0,0,0,0,0,0,0,0,20,0
third,0,0,0,0,0,0,7,0,0,0,0
total,20,0,0,0,0,0,3,0,0,1,0
area,0,0,0,0,0,0,105,0,0,0,0
northern,55,0,0,0,0,0,0,0,0,0,0
mainland,0,0,0,0,0,0,7,0,0,0,0
map,0,0,0,0,0,0,7,0,0,0,0
second,26,0,4,0,0,0,2,0,0,0,0
urban,19,0,0,0,0,0,0,0,0,0,0
small,72,0,0,0,0,0,0,0,0,0,0
nonetheless,0,0,7,0,0,0,0,0,0,0,0
history,0,0,0,0,0,0,28,0,0,0,0
develop,0,0,0,0,0,0,0,0,0,47,0
humane,2,0,0,0,0,0,0,0,0,0,0
institution,0,0,0,0,0,0,32,0,0,0,0
cooperative,6,0,0,0,0,0,2,0,0,0,0
nonviolent,1,0,0,0,0,0,0,0,0,0,0
approach,0,0,0,0,0,0,2,0,0,2,0
problem,0,0,0,0,0,0,32,0,0,0,0
solving,0,0,0,0,0,0,1,0,0,0,0
culture,0,0,0,0,0,0,37,0,0,0,0
directly,0,0,5,0,0,0,0,0,0,0,0
boundary,0,0,0,0,0,0,18,0,0,0,0
connection,0,0,0,0,0,0,11,0,0,0,0
frontier,0,0,0,0,0,0,10,0,0,0,0
surround,0,0,0,0,0,0,0,0,0,9,0
maritime,3,0,0,0,0,0,0,0,0,0,0
west,3,0,3,0,0,0,25,0,0,0,0
lie,0,0,0,0,0,0,0,0,0,26,0
lane,0,0,0,0,0,0,5,0,0,0,0
link,0,0,0,0,0,0,8,0,0,10,0
passage,0,0,0,0,0,0,4,0,0,0,0
eastward,0,0,4,0,0,0,0,0,0,0,0
flag,0,0,0,0,0,0,6,0,0,0,0
proper,4,0,0,0,0,0,0,0,0,0,0
lowland,0,0,0,0,0,0,3,0,0,0,0
average,12,0,0,0,0,0,6,0,0,1,0
reach,0,0,0,0,0,0,2,0,0,33,0
central,45,0,0,0,0,0,0,0,0,0,0
principally,0,0,3,0,0,0,0,0,0,0,0
encompass,0,0,0,0,0,0,0,0,0,4,0
distinctive,5,0,0,0,0,0,0,0,0,0,0
language,0,0,0,0,0,0,64,0,0,0,0
foreign,83,0,0,0,0,0,0,0,0,0,0
policy,0,0,0,0,0,0,105,0,0,0,0
defense,0,0,0,0,0,0,31,0,0,0,0
dominate,0,0,0,0,0,0,0,0,0,32,0
southwest,2,0,2,0,0,0,11,0,0,0,0
fishing,0,0,0,0,0,0,24,0,0,0,0
commercial,28,0,0,0,0,0,0,0,0,0,0
mineral,0,0,0,0,0,0,4,0,0,0,0
deposit,0,0,0,0,0,0,12,0,0,3,0
gold,1,0,0,0,0,0,9,0,0,0,0
