word,ADJ,ADP,ADV,CCONJ,NOUN,VERB,X
right,5,0,1,0,1,0,0
clear,2,0,0,0,0,0,0
clean,1,0,0,0,0,0,0
water,0,0,0,0,8,0,0
opaque,8,0,0,0,0,0,0
usually,0,0,4,0,0,0,0
raise,0,0,0,0,0,2,0
mercury,0,0,0,0,1,0,0
steel,0,0,0,0,2,0,0
wood,0,0,0,0,1,0,0
translucent,3,0,0,0,0,0,0
permit,0,0,0,0,0,1,0
image,0,0,0,0,15,0,0
retain,0,0,0,0,0,1,0
thin,6,0,0,0,0,0,0
thick,1,0,0,0,0,0,0
frosted,1,0,0,0,0,0,0
paper,0,0,0,0,1,0,0
curtain,0,0,0,0,1,0,0
penetrate,0,0,0,0,0,1,0
ocean,0,0,0,0,2,0,0
angle,0,0,0,0,15,0,0
flat,3,0,0,0,0,0,0
smooth,4,0,0,0,0,0,0
polish,0,0,0,0,0,3,0
type,0,0,0,0,1,0,0
regular,1,0,0,0,0,0,0
specular,1,0,0,0,0,0,0
mirror,0,0,0,0,28,0,0
maintain,0,0,0,0,0,1,0
pattern,0,0,0,0,9,0,0
reverse,0,0,0,0,0,1,0
left,0,0,2,0,0,0,0
possess,0,0,0,0,0,3,0
layer,0,0,0,0,3,0,0
shiny,1,0,0,0,0,0,0
metal,0,0,0,0,5,0,0
silver,0,0,0,0,4,0,0
bond,0,0,0,0,0,1,0
rear,3,0,0,0,0,0,0
boy,0,0,0,0,1,0,0
view,0,0,0,0,2,1,0
rough,2,0,0,0,0,0,0
microscopic,1,0,0,0,0,0,0
level,1,0,0,0,10,0,0
diffuse,1,0,0,0,0,0,0
irregular,2,0,0,0,0,0,0
piece,0,0,0,0,5,0,0
raw,1,0,0,0,0,0,0
regularly,0,0,2,0,0,0,0
quality,0,0,0,0,1,0,0
straight,2,0,0,0,0,0,0
line,0,0,0,0,25,1,0
density,0,0,0,0,3,0,0
bend,0,0,0,0,1,7,0
interface,0,0,0,0,2,0,0
meet,0,0,0,0,0,7,0
bending,0,0,0,0,2,0,0
degree,0,0,0,0,1,0,0
difference,0,0,0,0,3,0,0
great,7,0,0,0,0,0,0
partly,0,0,1,0,0,0,0
lense,0,0,0,0,1,0,0
refract,0,0,0,0,0,2,0
concave,3,0,0,0,0,0,0
hollow,0,0,0,0,0,1,0
apart,0,0,5,0,0,0,0
convex,3,0,0,0,0,0,0
bulge,0,0,0,0,0,1,0
close,2,0,1,0,0,1,0
polished,2,0,0,0,0,0,0
transmit,0,0,0,0,0,4,0
incidence,0,0,0,0,1,0,0
certain,15,0,0,0,0,0,0
spherical,2,0,0,0,0,0,0
magnify,0,0,0,0,0,4,0
apply,0,0,0,0,0,2,0
facial,1,0,0,0,0,0,0
makeup,0,0,0,0,1,0,0
automobile,0,0,0,0,1,0,0
opposite,4,0,0,0,0,0,0
manner,0,0,0,0,1,0,0
cylindrical,1,0,0,0,0,0,0
focus,0,0,0,0,4,2,0
parallel,7,0,0,0,0,0,0
real,2,0,0,0,0,0,0
parabolic,1,0,0,0,0,0,0
telescope,0,0,0,0,1,0,0
ellipsoidal,1,0,0,0,0,0,0
focal,1,0,0,0,0,0,0
point,0,0,0,0,8,1,0
situate,0,0,0,0,0,1,0
hyperbolic,1,0,0,0,0,0,0
virtual,1,0,0,0,0,0,0
fun,1,0,0,0,0,0,0
house,0,0,0,0,1,0,0
amusement,0,0,0,0,1,0,0
park,0,0,0,0,1,0,0
distort,0,0,0,0,0,2,0
combination,0,0,0,0,2,0,0
diminish,0,0,0,0,0,1,0
appearance,0,0,0,0,1,0,0
ancient,1,0,0,0,0,0,0
brass,0,0,0,0,1,0,0
gold,0,0,0,0,1,0,0
plate,0,0,0,0,2,0,0
highly,0,0,1,0,0,0,0
metallic,1,0,0,0,0,0,0
film,0,0,0,0,3,0,0
plane,0,0,0,0,2,0,0
curved,3,0,0,0,0,0,0
true,2,0,0,0,0,0,0
concentrate,0,0,0,0,0,1,0
commercial,1,0,0,0,0,0,0
decorative,1,0,0,0,0,0,0
home,0,0,0,0,1,0,0
office,0,0,0,0,1,0,0
lens,0,0,0,0,1,0,0
shine,0,0,0,0,0,3,0
prism,0,0,0,0,10,0,0
contain,0,0,0,0,0,3,0
emerge,0,0,0,0,0,4,0
variation,0,0,0,0,2,0,0
lightness,0,0,0,0,1,0,0
publish,0,0,0,0,0,2,0
experiment,0,0,0,0,8,1,0
show,0,0,0,0,0,10,0
place,0,0,0,0,0,4,0
add,0,0,0,0,0,2,0
conclude,0,0,0,0,0,5,0
break,0,0,0,0,0,2,0
part,0,0,0,0,4,0,0
able,2,0,0,0,0,0,0
establish,0,0,0,0,0,1,0
pure,3,0,0,0,0,0,0
component,0,0,0,0,1,0,0
slightly,0,0,4,0,0,0,0
enter,0,0,0,0,0,2,0
slow,1,0,0,0,0,2,0
spreading,0,0,0,0,1,0,0
dispersion,0,0,0,0,3,0,0
physicist,0,0,0,0,7,0,0
fact,0,0,0,0,2,0,0
necessarily,0,0,1,0,0,0,0
block,0,0,0,0,1,4,0
amount,0,0,0,0,4,0,0
observe,0,0,0,0,0,9,0
colored,2,0,0,0,0,0,0
cellophane,0,0,0,0,1,0,0
star,0,0,0,0,1,0,0
laboratory,0,0,0,0,2,0,0
demonstrate,0,0,0,0,0,4,0
pump,0,0,0,0,0,1,0
chamber,0,0,0,0,1,0,0
ring,0,0,0,0,0,1,0
bell,0,0,0,0,2,0,0
remain,0,0,0,0,0,1,0
sound,0,0,0,0,5,0,0
fade,0,0,0,0,0,1,0
easy,1,0,0,0,0,0,0
describe,0,0,0,0,0,3,0
interaction,0,0,0,0,1,0,0
matter,0,0,1,0,6,0,0
fast,1,0,3,0,0,0,0
dispute,0,0,0,0,0,1,0
require,0,0,0,0,0,2,0
suggest,0,0,0,0,0,4,0
italian,1,0,0,0,0,0,0
carry,0,0,0,0,0,1,0
man,0,0,0,0,4,0,0
station,0,0,0,0,0,1,0
hilltop,0,0,0,0,1,0,0
shade,0,0,0,0,0,1,0
lantern,0,0,0,0,4,0,0
uncover,0,0,0,0,0,3,0
soon,0,0,2,0,0,0,0
try,0,0,0,0,0,3,0
elapse,0,0,0,0,0,1,0
moment,0,0,0,0,2,0,0
return,0,0,0,0,1,2,0
instantaneously,0,0,1,0,0,0,0
danish,1,0,0,0,0,0,0
astronomer,0,0,0,0,2,0,0
deal,0,0,0,0,0,2,0
problem,0,0,0,0,1,0,0
workable,1,0,0,0,0,0,0
method,0,0,0,0,2,0,0
eclipse,0,0,0,0,7,2,0
moon,0,0,0,0,2,0,0
notice,0,0,0,0,0,2,0
vary,0,0,0,0,0,2,0
minute,1,0,0,0,1,0,0
approach,0,0,0,0,0,4,0
grow,0,0,0,0,0,5,0
recede,0,0,0,0,0,1,0
propose,0,0,0,0,0,3,0
discrepancy,0,0,0,0,1,0,0
calculate,0,0,0,0,0,4,0
diameter,0,0,0,0,1,0,0
orbit,0,0,0,0,2,0,0
exact,1,0,0,0,0,0,0
size,0,0,0,0,3,0,0
error,0,0,0,0,1,0,0
arrive,0,0,0,0,0,2,0
accurate,1,0,0,0,0,0,0
value,0,0,0,0,5,0,0
quick,1,0,0,0,0,0,0
available,2,0,0,0,0,0,0
composite,1,0,0,0,0,0,0
shadow,0,0,0,0,6,0,0
french,2,0,0,0,0,0,0
devise,0,0,0,0,0,1,0
rely,0,0,0,0,0,1,0
uncertain,1,0,0,0,0,0,0
astronomical,2,0,0,0,0,0,0
experimental,2,0,0,0,0,0,0
apparatus,0,0,0,0,1,0,0
send,0,0,0,0,0,1,0
notch,0,0,0,0,5,0,0
rotate,0,0,0,0,0,2,0
disk,0,0,0,0,5,0,0
open,1,0,0,0,0,0,0
tooth,0,0,0,0,1,0,0
rotational,1,0,0,0,0,0,0
information,0,0,0,0,1,0,0
later,0,0,3,0,0,0,0
investigator,0,0,0,0,1,0,0
replace,0,0,0,0,0,2,0
surprising,1,0,0,0,0,0,0
confusing,1,0,0,0,0,0,0
discover,0,0,0,0,0,7,0
accurately,0,0,2,0,0,0,0
movement,0,0,0,0,5,0,0
expect,0,0,0,0,0,1,0
subtract,0,0,0,0,0,1,0
situation,0,0,0,0,2,0,0
similar,1,0,0,0,0,0,0
person,0,0,0,0,1,0,0
car,0,0,0,0,7,0,0
kilometer,0,0,0,0,4,0,0
hour,0,0,0,0,6,0,0
go,0,0,0,0,0,4,0
overtake,0,0,0,0,0,1,0
minus,0,0,0,1,0,0,0
plus,0,0,0,1,0,0,0
behave,0,0,0,0,0,1,0
develop,0,0,0,0,0,6,0
phenomenon,0,0,0,0,4,0,0
accept,0,0,0,0,0,3,0
length,0,0,0,0,3,0,0
shrink,0,0,0,0,0,1,0
undergo,0,0,0,0,0,1,0
relative,1,0,0,0,0,0,0
stationary,1,0,0,0,0,0,0
conflict,0,0,0,0,0,1,0
hold,0,0,0,0,0,2,0
stream,0,0,0,0,2,0,0
tiny,2,0,0,0,0,0,0
regard,0,0,0,0,0,1,0
incorporate,0,0,0,0,0,1,0
modern,3,0,0,0,0,0,0
attraction,0,0,0,0,2,0,0
dense,4,0,0,0,0,0,0
medium,0,0,0,0,1,0,0
evidence,0,0,0,0,1,0,0
support,0,0,0,0,1,2,0
small,2,0,0,0,0,0,0
steady,1,0,0,0,0,0,0
relatively,0,0,1,0,0,0,0
sharp,2,0,0,0,0,0,0
border,0,0,0,0,2,1,0
curve,0,0,0,0,0,5,0
obstacle,0,0,0,0,2,0,0
fuzzy,1,0,0,0,0,0,0
edged,1,0,0,0,0,0,0
dock,0,0,0,0,1,0,0
piling,0,0,0,0,1,0,0
hill,0,0,0,0,1,0,0
corner,0,0,0,0,1,0,0
building,0,0,0,0,1,0,0
realize,0,0,0,0,0,1,0
simple,1,0,0,0,0,0,0
understand,0,0,0,0,0,2,0
shimmer,0,0,0,0,0,1,0
coloration,0,0,0,0,1,0,0
soap,0,0,0,0,1,0,0
bubble,0,0,0,0,1,0,0
introduce,0,0,0,0,0,1,0
vibrate,0,0,0,0,0,3,0
dutch,1,0,0,0,0,0,0
postulate,0,0,0,0,0,2,0
ether,0,0,0,0,3,0,0
confuse,0,0,0,0,0,1,0
class,0,0,0,0,3,0,0
fill,0,0,0,0,0,1,0
generate,0,0,0,0,0,1,0
assume,0,0,0,0,0,5,0
like,0,1,0,0,0,0,0
alternately,0,0,1,0,0,0,0
compress,0,0,0,0,0,1,0
rarefied,2,0,0,0,0,0,0
longitudinal,3,0,0,0,0,0,0
vibration,0,0,0,0,1,0,0
edge,0,0,0,0,2,0,0
illustration,0,0,0,0,4,0,0
polarization,0,0,0,0,3,0,0
crystal,0,0,0,0,14,0,0
direct,0,0,0,0,0,1,0
dim,2,0,0,0,0,1,0
slowly,0,0,1,0,0,0,0
evidently,0,0,1,0,0,0,0
allow,0,0,0,0,0,2,0
properly,0,0,1,0,0,0,0
wrong,1,0,0,0,0,0,0
screen,0,0,0,0,3,1,0
speculate,0,0,0,0,0,1,0
side,0,0,0,0,2,0,0
reject,0,0,0,0,0,1,0
satisfactory,1,0,0,0,0,0,0
explanation,0,0,0,0,2,0,0
complicated,1,0,0,0,0,0,0
assumption,0,0,0,0,1,0,0
polarize,0,0,0,0,0,2,0
sufficiently,0,0,1,0,0,0,0
account,0,0,0,0,0,5,0
weight,0,0,0,0,1,0,0
reputation,0,0,0,0,1,0,0
british,2,0,0,0,0,0,0
physician,0,0,0,0,1,0,0
scattering,0,0,0,0,1,0,0
diffraction,0,0,0,0,4,0,0
condition,0,0,0,0,1,0,0
tubular,1,0,0,0,0,0,0
good,1,0,0,0,0,0,0
slit,0,0,0,0,7,0,0
finger,0,0,0,0,1,0,0
squeeze,0,0,0,0,0,1,0
loosely,0,0,1,0,0,0,0
outline,0,0,0,0,1,1,0
disperse,0,0,0,0,0,2,0
frequency,0,0,0,0,3,0,0
number,0,0,0,0,5,0,0
specify,0,0,0,0,0,1,0
crest,0,0,0,0,4,0,0
trough,0,0,0,0,3,0,0
times,0,1,0,0,0,0,0
interference,0,0,0,0,5,0,0
ripple,0,0,0,0,1,0,0
tank,0,0,0,0,1,0,0
set,0,0,0,0,1,2,0
principle,0,0,0,0,1,0,0
interfere,0,0,0,0,0,2,0
predictable,1,0,0,0,0,0,0
wake,0,0,0,0,2,0,0
boat,0,0,0,0,1,0,0
illustrate,0,0,0,0,0,1,0
choppy,1,0,0,0,0,0,0
reinforce,0,0,0,0,0,1,0
cancel,0,0,0,0,0,2,0
deep,1,0,0,0,0,0,0
single,4,0,0,0,0,0,0
pinhole,0,0,0,0,5,0,0
admit,0,0,0,0,0,2,0
diffract,0,0,0,0,0,1,0
millionth,0,0,0,0,1,0,0
subsequent,2,0,0,0,0,0,0
inch,0,0,0,0,2,0,0
centimeter,0,0,0,0,2,0,0
associate,0,0,0,0,0,1,0
decrease,0,0,0,0,0,2,0
closely,0,0,2,0,0,0,0
overlap,0,0,0,0,1,1,0
alternate,0,0,0,0,0,1,0
cooperate,0,0,0,0,0,1,0
transverse,2,0,0,0,0,0,0
resemble,0,0,0,0,0,2,0
rope,0,0,0,0,2,0,0
stretch,0,0,0,0,0,1,0
post,0,0,0,0,1,0,0
jerk,0,0,0,0,0,1,0
forward,1,0,0,0,0,0,0
motion,0,0,0,0,3,0,0
sideways,0,0,1,0,0,0,0
orient,0,0,0,0,0,1,0
calculation,0,0,0,0,1,0,0
filter,0,0,0,0,1,0,0
polarized,1,0,0,0,0,0,0
sunglassess,0,0,0,0,1,0,0
glare,0,0,0,0,1,0,0
present,1,0,0,0,0,1,0
additional,1,0,0,0,0,0,0
difficulty,0,0,0,0,1,0,0
thermometer,0,0,0,0,2,0,0
rise,0,0,0,0,1,0,0
higher,0,0,1,0,0,0,0
continuation,0,0,0,0,1,0,0
thermal,2,0,0,0,0,0,0
camera,0,0,0,0,1,0,0
imaging,0,0,0,0,1,0,0
independently,0,0,1,0,0,0,0
effect,0,0,0,0,4,0,0
