word,ADJ,ADP,ADV,DET,NOUN,NUM,PRON,SCONJ,VERB,X
achieve,0,0,0,0,0,0,0,0,14,0
dramatic,5,0,0,0,0,0,0,0,0,0
power,0,0,0,0,15,0,0,0,0,0
compose,0,0,0,0,0,0,0,0,8,0
different,24,0,0,0,0,0,0,0,0,0
single,10,0,1,0,0,0,0,0,0,0
unified,1,0,0,0,0,0,0,0,0,0
pair,0,0,0,0,5,0,0,0,0,0
differ,0,0,0,0,0,0,0,0,7,0
tie,0,0,0,0,1,0,0,0,1,0
rhythmic,4,0,0,0,0,0,0,0,0,0
movement,0,0,0,0,37,0,0,0,0,0
space,0,0,0,0,51,0,0,0,0,0
varied,4,0,0,0,0,0,0,0,0,0
try,0,0,0,0,0,0,0,0,3,0
deal,0,0,0,0,9,0,0,0,2,0
essentially,0,0,4,0,0,0,0,0,0,0
purposeful,1,0,0,0,0,0,0,0,0,0
relationship,0,0,0,0,6,0,0,0,0,0
volume,0,0,0,0,26,0,0,0,0,0
detail,0,0,0,0,18,0,0,0,0,0
ability,0,0,0,0,3,0,0,0,0,0
convey,0,0,0,0,0,0,0,0,4,0
facial,2,0,0,0,0,0,0,0,0,0
expression,0,0,0,0,12,0,0,0,0,0
cut,4,0,0,0,1,0,0,0,24,0
hollow,10,0,0,0,5,0,0,0,3,0
face,0,0,0,0,10,0,0,0,2,0
deeply,0,0,7,0,0,0,0,0,0,0
strong,8,0,0,0,0,0,0,0,0,0
shadow,0,0,0,0,4,0,0,0,0,0
textured,2,0,0,0,0,0,0,0,0,0
surface,3,0,0,0,131,0,0,0,1,0
catch,0,0,0,0,0,0,0,0,3,0
subtle,12,0,0,0,0,0,0,0,0,0
variation,0,0,0,0,2,0,0,0,0,0
light,4,0,0,0,38,0,0,0,0,0
heighten,0,0,0,0,0,0,0,0,1,0
irregular,2,0,0,0,0,0,0,0,0,0
departure,0,0,0,0,1,0,0,0,0,0
cold,4,0,0,0,0,0,0,0,0,0
impersonal,3,0,0,0,0,0,0,0,0,0
smoothness,0,0,0,0,1,0,0,0,0,0
classical,18,0,0,0,0,0,0,0,0,0
tradition,0,0,0,0,28,0,0,0,0,0
profound,2,0,0,0,0,0,0,0,0,0
drama,0,0,0,0,1,0,0,0,0,0
tremendous,2,0,0,0,0,0,0,0,0,0
influence,0,0,0,0,9,0,0,0,10,0
sculptor,0,0,0,0,191,0,0,0,0,0
help,0,0,0,0,1,0,0,0,8,0
determine,0,0,0,0,0,0,0,0,6,0
trend,0,0,0,0,5,0,0,0,0,0
modern,41,0,0,0,0,0,0,0,0,0
rely,0,0,0,0,0,0,0,0,2,0
proper,4,0,0,0,0,0,0,0,0,0
study,0,0,0,0,11,0,0,0,12,0
plane,0,0,0,0,35,0,0,0,0,0
masse,0,0,0,0,10,0,0,0,0,0
turn,0,0,0,0,6,0,0,0,10,0
shade,0,0,0,0,8,0,0,0,0,0
create,0,0,0,0,0,0,0,0,57,0
solidity,0,0,0,0,2,0,0,0,0,0
dimension,0,0,0,0,11,0,0,0,0,0
texture,0,0,0,0,15,0,0,0,0,0
character,0,0,0,0,11,0,0,0,0,0
strive,0,0,0,0,0,0,0,0,2,0
finished,14,0,0,0,0,0,0,0,0,0
originally,0,0,1,0,0,0,0,0,0,0
sculpt,0,0,0,0,0,0,0,0,6,0
weakly,0,0,1,0,0,0,0,0,0,0
strongly,0,0,2,0,0,0,0,0,0,0
source,0,0,0,0,10,0,0,0,0,0
high,28,0,3,0,0,0,0,0,0,0
low,26,0,1,0,0,0,0,0,0,0
completely,0,0,13,0,0,0,0,0,0,0
change,0,0,0,0,12,0,0,0,14,0
appearance,0,0,0,0,7,0,0,0,0,0
undo,0,0,0,0,0,0,0,0,1,0
destroy,0,0,0,0,0,0,0,0,4,0
effectiveness,0,0,0,0,1,0,0,0,0,0
creation,0,0,0,0,4,0,0,0,0,0
depend,0,0,0,0,0,0,0,0,11,0
painter,0,0,0,0,14,0,0,0,0,0
ask,0,0,0,0,0,0,0,0,2,0
picture,0,0,0,0,10,0,0,0,1,0
receive,0,0,0,0,0,0,0,0,8,0
uniform,4,0,0,0,0,0,0,0,0,0
sufficient,4,0,0,0,0,0,0,0,0,0
viewing,0,0,0,0,2,0,0,0,0,0
roundness,0,0,0,0,1,0,0,0,0,0
alter,0,0,0,0,0,0,0,0,8,0
external,9,0,0,0,0,0,0,0,0,0
control,0,0,0,0,3,0,0,0,2,0
lighting,0,0,0,0,3,0,0,0,0,0
night,0,0,0,0,1,0,0,0,0,0
outdoors,0,0,2,0,0,0,0,0,0,0
skill,0,0,0,0,12,0,0,0,0,0
significant,6,0,0,0,0,0,0,0,0,0
respect,0,0,0,0,3,0,0,0,0,0
flat,11,0,0,0,1,0,0,0,0,0
view,0,0,0,0,9,0,0,0,10,0
round,5,0,0,0,22,0,0,0,1,0
variety,0,0,0,0,26,0,0,0,0,0
angle,0,0,0,0,7,0,0,0,0,0
consequently,0,0,2,0,0,0,0,0,0,0
rhythm,0,0,0,0,2,0,0,0,0,0
possible,15,0,0,0,0,0,0,0,0,0
point,0,0,0,0,16,0,0,0,4,0
endow,0,0,0,0,0,0,0,0,1,0
interest,0,0,0,0,10,0,0,0,0,0
impossible,3,0,0,0,0,0,0,0,0,0
definition,0,0,0,0,3,0,0,0,0,0
artistic,7,0,0,0,0,0,0,0,0,0
hard,23,0,0,0,0,0,0,0,0,0
plastic,6,0,0,0,16,0,0,0,0,0
material,0,0,0,0,152,0,0,0,0,0
dimensional,32,0,0,0,0,0,0,0,0,0
object,0,0,0,0,67,0,0,0,1,0
embody,0,0,0,0,0,0,0,0,2,0
freestanding,9,0,0,0,0,0,0,0,0,0
relief,0,0,0,0,108,0,0,0,0,0
environment,0,0,0,0,26,0,0,0,0,0
tableaux,0,0,0,0,3,0,0,0,0,0
context,0,0,0,0,3,0,0,0,0,0
envelop,0,0,0,0,0,0,0,0,1,0
spectator,0,0,0,0,9,0,0,0,0,0
enormous,6,0,0,0,0,0,0,0,0,0
medium,0,0,0,0,21,0,0,0,0,0
include,0,0,0,0,0,0,0,0,47,0
clay,0,0,0,0,66,0,0,0,0,0
wax,0,0,0,0,49,0,0,0,1,0
stone,0,0,0,0,137,0,0,0,0,0
metal,1,0,0,0,116,0,0,0,0,0
fabric,0,0,0,0,8,0,0,0,0,0
glass,0,0,0,0,8,0,0,0,0,0
wood,0,0,0,0,82,0,0,0,0,0
plaster,0,0,0,0,55,0,0,0,0,0
rubber,0,0,0,0,5,0,0,0,0,0
random,1,0,0,0,0,0,0,0,0,0
carve,0,0,0,0,0,0,0,0,49,0
model,0,0,0,0,38,0,0,0,31,0
mold,0,0,0,0,53,0,0,0,8,0
weld,0,0,0,0,0,0,0,0,12,0
sew,0,0,0,0,0,0,0,0,1,0
assemble,0,0,0,0,0,0,0,0,5,0
combine,0,0,0,0,0,0,0,0,19,0
fix,0,0,0,0,0,0,0,0,6,0
apply,0,0,0,0,0,0,0,0,20,0
permanently,0,0,2,0,0,0,0,0,0,0
circumscribed,1,0,0,0,0,0,0,0,0,0
category,0,0,0,0,8,0,0,0,0,0
set,0,0,0,0,7,0,0,0,14,0
activity,0,0,0,0,5,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,8,0
continually,0,0,1,0,0,0,0,0,0,0
extend,0,0,0,0,0,0,0,0,12,0
evolve,0,0,0,0,0,0,0,0,3,0
new,44,0,0,0,0,0,0,0,0,0
kind,0,0,0,0,39,0,0,0,0,0
scope,0,0,0,0,4,0,0,0,0,0
wide,10,0,0,0,0,0,0,0,0,0
second,5,0,2,0,0,0,0,0,0,0
half,3,0,2,1,2,0,0,0,0,0
century,0,0,0,0,118,0,0,0,0,0
decade,0,0,0,0,6,0,0,0,0,0
fluid,1,0,0,0,1,0,0,0,0,0
state,0,0,0,0,12,0,0,0,1,0
visual,6,0,0,0,0,0,0,0,0,0
predict,0,0,0,0,0,0,0,0,1,0
future,2,0,0,0,1,0,0,0,0,0
extension,0,0,0,0,4,0,0,0,0,0
likely,5,0,0,0,0,0,0,0,0,0
certain,13,0,0,0,0,0,0,0,0,0
feature,0,0,0,0,14,0,0,0,3,0
previous,4,0,0,0,0,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,21,0
essential,5,0,0,0,0,0,0,0,0,0
present,8,0,0,0,0,0,0,0,6,0
long,12,0,13,0,0,0,0,0,0,0
important,30,0,0,0,0,0,0,0,0,0
representation,0,0,0,0,10,0,0,0,0,0
representational,4,0,0,0,0,0,0,0,0,0
imitate,0,0,0,0,0,0,0,0,4,0
inanimate,1,0,0,0,0,0,0,0,0,0
game,0,0,0,0,2,0,0,0,0,0
utensil,0,0,0,0,2,0,0,0,0,0
book,0,0,0,0,7,0,0,0,0,0
nonrepresentational,6,0,0,0,0,0,0,0,0,0
accept,0,0,0,0,0,0,0,0,4,0
functional,2,0,0,0,0,0,0,0,0,0
furniture,0,0,0,0,10,0,0,0,0,0
pot,0,0,0,0,3,0,0,0,0,0
building,0,0,0,0,26,0,0,0,0,0
expressive,12,0,0,0,0,0,0,0,0,0
beautiful,7,0,0,0,0,0,0,0,0,0
way,0,0,0,0,41,0,0,0,0,0
nonfunctional,1,0,0,0,0,0,0,0,0,0
produce,0,0,0,0,0,0,0,0,56,0
primarily,0,0,15,0,0,0,0,0,0,0
solid,19,0,1,0,2,0,0,0,0,0
mass,0,0,1,0,16,0,0,0,0,0
true,3,0,0,0,0,0,0,0,0,0
negative,6,0,0,0,0,0,0,0,0,0
element,0,0,0,0,22,0,0,0,0,0
void,0,0,0,0,2,0,0,0,0,0
extent,0,0,0,0,8,0,0,0,0,0
integral,4,0,0,0,0,0,0,0,0,0
role,0,0,0,0,11,0,0,0,0,0
secondary,4,0,0,0,0,0,0,0,0,0
focus,0,0,0,0,1,0,0,0,0,0
attention,0,0,0,0,3,0,0,0,0,0
shift,0,0,0,0,1,0,0,0,2,0
spatial,15,0,0,0,0,0,0,0,0,0
aspect,0,0,0,0,20,0,0,0,0,0
dominant,5,0,0,0,0,0,0,0,0,0
generally,0,0,10,0,0,0,0,0,0,0
branch,0,0,0,0,3,0,0,0,0,0
grant,0,0,0,0,0,0,0,0,1,0
past,2,0,0,0,13,0,0,0,0,0
component,0,0,0,0,11,0,0,0,0,0
constant,3,0,0,0,0,0,0,0,0,0
size,0,0,0,0,21,0,0,0,1,0
exception,0,0,0,0,1,0,0,0,0,0
item,0,0,0,0,7,0,0,0,0,0
monumental,16,0,0,0,0,0,0,0,0,0
weather,0,0,0,0,2,0,0,0,0,0
vane,0,0,0,0,1,0,0,0,0,0
relatively,0,0,8,0,0,0,0,0,0,0
recent,12,0,0,0,0,0,0,0,0,0
development,0,0,0,0,9,0,0,0,0,0
kinetic,9,0,0,0,2,0,0,0,0,0
immobility,0,0,0,0,2,0,0,0,0,0
immutability,0,0,0,0,2,0,0,0,0,0
confine,0,0,0,0,0,0,0,0,2,0
traditional,18,0,0,0,0,0,0,0,0,0
forming,0,0,0,0,3,0,0,0,0,0
process,0,0,0,0,52,0,0,0,0,0
carving,0,0,0,0,50,0,0,0,0,0
modeling,0,0,0,0,33,0,0,0,0,0
natural,25,0,0,0,0,0,0,0,0,0
ivory,0,0,0,0,21,0,0,0,0,0
bone,0,0,0,0,5,0,0,0,0,0
use,0,0,0,0,39,0,0,0,19,0
method,0,0,0,0,38,0,0,0,0,0
manufacture,0,0,0,0,4,0,0,0,0,0
serve,0,0,0,0,0,0,0,0,21,0
identify,0,0,0,0,0,0,0,0,4,0
special,12,0,0,0,0,0,0,0,0,0
technique,0,0,0,0,42,0,0,0,0,0
probably,0,0,6,0,0,0,0,0,0,0
thing,0,0,0,0,4,0,0,0,0,0
remain,0,0,0,0,8,0,0,0,5,0
emerge,0,0,0,0,0,0,0,0,4,0
central,9,0,0,0,0,0,0,0,0,0
abiding,1,0,0,0,0,0,0,0,0,0
concern,0,0,0,0,9,0,0,0,7,0
especially,0,0,36,0,0,0,0,0,0,0
concerned,1,0,0,0,0,0,0,0,0,0
separate,2,0,0,0,0,0,0,0,4,0
detached,4,0,0,0,0,0,0,0,0,0
independent,5,0,0,0,0,0,0,0,0,0
existence,0,0,0,0,2,0,0,0,0,0
body,0,0,0,0,25,0,0,0,0,0
chair,0,0,0,0,2,0,0,0,0,0
independence,0,0,0,0,2,0,0,0,0,0
project,0,0,0,0,15,0,0,0,7,0
attach,0,0,0,0,0,0,0,0,9,0
background,0,0,0,0,21,0,0,0,0,0
matrix,0,0,0,0,2,0,0,0,0,0
actual,16,0,0,0,0,0,0,0,0,0
dimensionality,0,0,0,0,2,0,0,0,0,0
limit,0,0,0,0,1,0,0,0,7,0
comparison,0,0,0,0,1,0,0,0,0,0
conjure,0,0,0,0,0,0,0,0,1,0
illusion,0,0,0,0,2,0,0,0,0,0
purely,0,0,4,0,0,0,0,0,0,0
optical,3,0,0,0,0,0,0,0,0,0
mean,0,0,0,0,13,0,0,0,7,0
invest,0,0,0,0,0,0,0,0,2,0
atmosphere,0,0,0,0,7,0,0,0,0,0
reality,0,0,0,0,3,0,0,0,0,0
vivid,3,0,0,0,0,0,0,0,0,0
physical,12,0,0,0,0,0,0,0,0,0
presence,0,0,0,0,9,0,0,0,0,0
deny,0,0,0,0,0,0,0,0,1,0
pictorial,11,0,0,0,0,0,0,0,0,0
tangible,2,0,0,0,0,0,0,0,0,0
visible,3,0,0,0,0,0,0,0,0,0
appeal,0,0,0,0,3,0,0,0,3,0
directly,0,0,14,0,0,0,0,0,0,0
tactile,2,0,0,0,0,0,0,0,0,0
sensibility,0,0,0,0,3,0,0,0,0,0
visually,0,0,2,0,0,0,0,0,0,0
impaired,1,0,0,0,0,0,0,0,0,0
congenitally,0,0,1,0,0,0,0,0,0,0
blind,1,0,0,0,0,0,0,0,0,0
appreciate,0,0,0,0,0,0,0,0,2,0
fact,0,0,0,0,9,0,0,0,0,0
argue,0,0,0,0,0,0,0,0,1,0
critic,0,0,0,0,3,0,0,0,0,0
root,0,0,0,0,6,0,0,0,1,0
sculptural,34,0,0,0,0,0,0,0,0,0
trace,0,0,0,0,2,0,0,0,1,0
pleasure,0,0,0,0,2,0,0,0,0,0
fondle,0,0,0,0,0,0,0,0,1,0
perceive,0,0,0,0,0,0,0,0,1,0
have,0,0,0,0,0,0,0,0,3,0
geometric,8,0,0,0,0,0,0,0,0,0
property,0,0,0,0,14,0,0,0,0,0
strike,0,0,0,0,0,0,0,0,3,0
observer,0,0,0,0,4,0,0,0,0,0
delicate,11,0,0,0,0,0,0,0,0,0
aggressive,6,0,0,0,0,0,0,0,0,0
flowing,1,0,0,0,0,0,0,0,0,0
taut,1,0,0,0,0,0,0,0,0,0
relaxed,3,0,0,0,0,0,0,0,0,0
dynamic,6,0,0,0,0,0,0,0,0,0
soft,13,0,0,0,0,0,0,0,0,0
exploit,0,0,0,0,0,0,0,0,8,0
able,2,0,0,0,0,0,0,0,0,0
image,0,0,0,0,25,0,0,0,0,0
subject,9,0,0,0,18,0,0,0,0,0
matter,0,0,0,0,13,0,0,0,1,0
expressiveness,0,0,0,0,4,0,0,0,0,0
mutually,0,0,1,0,0,0,0,0,0,0
reinforce,0,0,0,0,0,0,0,0,5,0
mere,2,0,0,0,0,0,0,0,0,0
presentation,0,0,0,0,2,0,0,0,0,0
communicate,0,0,0,0,0,0,0,0,3,0
powerful,5,0,0,0,0,0,0,0,0,0
aesthetic,15,0,0,0,1,0,0,0,0,0
raw,1,0,0,0,0,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,5,0
realm,0,0,0,0,2,0,0,0,0,0
draw,0,0,0,0,0,0,0,0,5,0
exist,0,0,0,0,0,0,0,0,14,0
endless,2,0,0,0,0,0,0,0,0,0
pure,5,0,0,0,0,0,0,0,0,0
invention,0,0,0,0,4,0,0,0,0,0
vast,8,0,0,0,0,0,0,0,0,0
emotion,0,0,0,0,3,0,0,0,0,0
tender,1,0,0,0,0,0,0,0,0,0
violent,2,0,0,0,0,0,0,0,0,0
ecstatic,1,0,0,0,0,0,0,0,0,0
being,0,0,0,0,3,0,0,0,0,0
intimately,0,0,3,0,0,0,0,0,0,0
involve,0,0,0,0,0,0,0,0,19,0
birth,0,0,0,0,2,0,0,0,0,0
world,0,0,0,0,30,0,0,0,0,0
structural,8,0,0,0,0,0,0,0,0,0
develop,0,0,0,0,0,0,0,0,26,0
emotional,5,0,0,0,0,0,0,0,0,0
response,0,0,0,0,6,0,0,0,0,0
combination,0,0,0,0,7,0,0,0,0,0
understanding,0,0,0,0,2,0,0,0,0,0
sensitive,3,0,0,0,0,0,0,0,0,0
call,0,0,0,0,0,0,0,0,30,0
cultivate,0,0,0,0,0,0,0,0,1,0
refine,0,0,0,0,0,0,0,0,5,0
comprehensive,1,0,0,0,0,0,0,0,0,0
reader,0,0,0,0,1,0,0,0,0,0
tool,0,0,0,0,26,0,0,0,0,0
style,0,0,0,0,28,0,0,0,0,0
practice,0,0,0,0,3,0,0,0,2,0
accomplished,1,0,0,0,0,0,0,0,0,0
substantially,0,0,2,0,0,0,0,0,0,0
contribute,0,0,0,0,0,0,0,0,5,0
creative,6,0,0,0,0,0,0,0,0,0
fine,27,0,2,0,0,0,0,0,0,0
chapter,0,0,0,0,7,0,0,0,0,0
principle,0,0,0,0,15,0,0,0,0,0
course,0,0,1,0,4,0,0,0,1,0
separable,1,0,0,0,0,0,0,0,0,0
thought,0,0,0,0,3,0,0,0,0,0
substance,0,0,0,0,9,0,0,0,0,0
occupy,0,0,0,0,0,0,0,0,4,0
bulk,0,0,0,0,2,0,0,0,0,0
contain,0,0,0,0,0,0,0,0,22,0
enter,0,0,0,0,0,0,0,0,6,0
main,38,0,0,0,0,0,0,0,0,0
enclose,0,0,0,0,0,0,0,0,5,0
enfold,0,0,0,0,0,0,0,0,1,0
relate,0,0,0,0,0,0,0,0,9,0
colour,0,0,0,0,25,0,0,0,13,0
support,0,0,0,0,6,0,0,0,12,0
importance,0,0,0,0,16,0,0,0,0,0
vary,0,0,0,0,0,0,0,0,10,0
considerably,0,0,6,0,0,0,0,0,0,0
egyptian,11,0,0,0,0,0,0,0,0,0
example,0,0,0,0,71,0,0,0,0,0
paramount,4,0,0,0,0,0,0,0,0,0
devote,0,0,0,0,0,0,0,0,2,0
lump,0,0,0,0,1,0,0,0,0,0
reduce,0,0,0,0,0,0,0,0,6,0
minimum,0,0,0,0,1,0,0,0,0,0
consist,0,0,0,0,0,0,0,0,12,0
transparent,2,0,0,0,0,0,0,0,0,0
sheet,0,0,0,0,12,0,0,0,0,0
thin,8,0,0,0,0,0,0,0,0,0
rod,0,0,0,0,6,0,0,0,0,0
function,0,0,0,0,7,0,0,0,3,0
treat,0,0,0,0,0,0,0,0,8,0
equal,3,0,0,0,0,0,0,0,0,0
partner,0,0,0,0,1,0,0,0,0,0
construction,0,0,0,0,10,0,0,0,0,0
fourth,2,0,0,0,0,0,0,0,0,0
twist,0,0,0,0,0,0,0,0,2,0
panel,0,0,0,0,13,0,0,0,0,0
linear,4,0,0,0,0,0,0,0,0,0
ridge,0,0,0,0,4,0,0,0,0,0
go,0,0,0,0,0,0,0,0,5,0
reason,0,0,0,0,3,0,0,0,0,0
mistakenly,0,0,1,0,0,0,0,0,0,0
assume,0,0,0,0,0,0,0,0,4,0
series,0,0,0,0,17,0,0,0,0,0
satisfactory,2,0,0,0,0,0,0,0,0,0
projective,1,0,0,0,0,0,0,0,0,0
multiplicity,0,0,0,0,1,0,0,0,0,0
constitute,0,0,0,0,0,0,0,0,4,0
difference,0,0,0,0,3,0,0,0,0,0
attitude,0,0,0,0,6,0,0,0,0,0
ignore,0,0,0,0,0,0,0,0,3,0
apprehend,0,0,0,0,0,0,0,0,3,0
conceive,0,0,0,0,0,0,0,0,11,0
fundamental,2,0,0,0,0,0,0,0,0,0
unit,0,0,0,0,3,0,0,0,0,0
configuration,0,0,0,0,2,0,0,0,0,0
number,0,0,0,0,23,0,0,0,0,0
correspond,0,0,0,0,0,0,0,0,2,0
major,19,0,0,0,0,0,0,0,0,0
thorax,0,0,0,0,1,0,0,0,0,0
thigh,0,0,0,0,1,0,0,0,0,0
hole,0,0,0,0,2,0,0,0,0,0
cavity,0,0,0,0,6,0,0,0,0,0
carefully,0,0,9,0,0,0,0,0,0,0
overall,3,0,0,0,0,0,0,0,0,0
refer,0,0,0,0,0,0,0,0,7,0
actually,0,0,8,0,0,0,0,0,0,0
inflection,0,0,0,0,1,0,0,0,0,0
make,0,0,0,0,0,0,0,0,24,0
inference,0,0,0,0,1,0,0,0,0,0
internal,7,0,0,0,0,0,0,0,0,0
