word,ADJ,ADP,ADV,AUX,NOUN,NUM,SCONJ,VERB
riding,0,0,0,0,1,0,0,0
bright,2,0,0,0,0,0,0,0
student,0,0,0,0,1,0,0,0
say,0,0,0,0,0,0,0,2
deal,0,0,0,0,0,0,0,2
lady,0,0,0,0,1,0,0,0
star,0,0,0,0,1,0,0,1
illustrious,1,0,0,0,0,0,0,0
remark,0,0,0,0,0,0,0,1
mind,0,0,0,0,1,0,0,0
womanly,1,0,0,0,0,0,0,0
weakness,0,0,0,0,1,0,0,0
word,0,0,0,0,1,0,0,0
show,0,0,0,0,0,0,0,2
sexist,1,0,0,0,0,0,0,0
thinking,0,0,0,0,1,0,0,0
discrimination,0,0,0,0,1,0,0,0
film,0,0,0,0,1,0,0,0
version,0,0,0,0,1,0,0,0
depict,0,0,0,0,0,0,0,6
journey,0,0,0,0,1,0,0,1
queenhood,0,0,0,0,1,0,0,0
feature,0,0,0,0,0,0,0,3
strength,0,0,0,0,1,0,0,0
include,0,0,0,0,0,0,0,7
music,0,0,0,0,2,0,0,0
language,0,0,0,0,2,0,0,0
know,0,0,0,0,0,0,0,10
seven,0,0,0,0,0,1,0,0
receive,0,0,0,0,0,0,0,3
education,0,0,0,0,4,0,0,0
available,1,0,0,0,0,0,0,0
sixteenth,1,0,0,0,0,0,0,0
century,0,0,0,0,1,0,0,0
gain,0,0,0,0,0,0,0,1
valuable,1,0,0,0,0,0,0,0
knowledge,0,0,0,0,1,0,0,0
share,0,0,0,0,0,0,0,3
help,0,0,0,0,1,0,0,8
divide,0,0,0,0,1,0,0,0
grow,0,0,0,0,0,0,0,4
conflict,0,0,0,0,5,0,0,0
nation,0,0,0,0,1,0,0,0
religion,0,0,0,0,6,0,0,0
head,0,0,0,0,1,0,0,0
authority,0,0,0,0,3,0,0,0
exception,0,0,0,0,2,0,0,0
annul,0,0,0,0,0,0,0,3
union,0,0,0,0,1,0,0,0
pope,0,0,0,0,3,0,0,0
eventually,0,0,3,0,0,0,0,0
react,0,0,0,0,0,0,0,2
act,0,0,0,0,2,0,0,0
deny,0,0,0,0,0,0,0,1
title,0,0,0,0,2,0,0,0
guilty,5,0,0,0,0,0,0,0
treason,0,0,0,0,3,0,0,0
monastery,0,0,0,0,1,0,0,0
dissolve,0,0,0,0,0,0,0,1
vast,1,0,0,0,0,0,0,0
land,0,0,0,0,6,0,0,0
turn,0,0,0,0,1,0,0,3
grant,0,0,0,0,0,0,0,2
estate,0,0,0,0,1,0,0,0
nobleman,0,0,0,0,1,0,0,0
support,0,0,0,0,0,0,0,9
policy,0,0,0,0,1,0,0,0
expansion,0,0,0,0,1,0,0,0
northern,2,0,0,0,0,0,0,0
kingdom,0,0,0,0,1,0,0,0
rebellion,0,0,0,0,9,0,0,0
behalf,0,0,0,0,1,0,0,0
monk,0,0,0,0,1,0,0,0
call,0,0,0,0,0,0,0,7
cut,0,0,0,0,0,0,0,2
tie,0,0,0,0,1,0,0,1
city,0,0,0,0,1,0,0,0
remain,0,0,0,0,0,0,0,5
basically,0,0,1,0,0,0,0,0
piety,0,0,0,0,1,0,0,0
belief,0,0,0,0,4,0,0,0
pass,0,0,0,0,0,0,0,3
keep,0,0,0,0,0,0,0,1
communion,0,0,0,0,1,0,0,0
private,2,0,0,0,0,0,0,0
masse,0,0,0,0,1,0,0,0
unmarried,1,0,0,0,0,0,0,0
priest,0,0,0,0,1,0,0,0
confession,0,0,0,0,1,0,0,0
label,0,0,0,0,0,0,0,1
heretic,0,0,0,0,3,0,0,0
punishment,0,0,0,0,2,0,0,0
burn,0,0,0,0,0,0,0,2
alive,2,0,0,0,0,0,0,0
stake,0,0,0,0,1,0,0,0
wooden,1,0,0,0,0,0,0,0
pole,0,0,0,0,1,0,0,0
member,0,0,0,0,3,0,0,0
branch,0,0,0,0,3,0,0,0
german,1,0,0,0,0,0,0,0
theologian,0,0,0,0,1,0,0,0
document,0,0,0,0,2,0,0,0
ninety,0,0,0,0,0,1,0,0
proposition,0,0,0,0,1,0,0,0
door,0,0,0,0,1,0,0,0
list,0,0,0,0,0,0,0,1
abuse,0,0,0,0,1,0,0,0
sale,0,0,0,0,1,0,0,0
indulgence,0,0,0,0,1,0,0,0
practice,0,0,0,0,3,0,0,1
claim,0,0,0,0,0,0,0,2
person,0,0,0,0,2,0,0,0
rid,0,0,0,0,0,0,0,1
sin,0,0,0,0,1,0,0,0
money,0,0,0,0,2,0,0,0
introduce,0,0,0,0,0,0,0,2
main,2,0,0,0,0,0,0,0
idea,0,0,0,0,3,0,0,0
salvation,0,0,0,0,1,0,0,0
possible,2,0,0,0,0,0,0,0
faith,0,0,0,0,1,0,0,0
challenge,0,0,0,0,0,0,0,1
aggressively,0,0,1,0,0,0,0,0
protestant,7,0,0,0,0,0,0,0
hold,0,0,0,0,1,0,0,0
inside,0,1,0,0,0,0,0,0
fight,0,0,0,0,1,0,0,3
control,0,0,0,0,3,0,0,0
family,0,0,0,0,6,0,0,0
agree,0,0,0,0,0,0,0,4
separation,0,0,0,0,1,0,0,0
persecute,0,0,0,0,0,0,0,1
equal,2,0,0,0,0,0,0,0
severity,0,0,0,0,1,0,0,0
adhere,0,0,0,0,0,0,0,1
reject,0,0,0,0,0,0,0,1
doctrine,0,0,0,0,2,0,0,0
come,0,0,0,0,0,0,0,3
ardently,0,0,1,0,0,0,0,0
favor,0,0,0,0,1,0,0,3
famous,2,0,0,0,0,0,0,0
fall,0,0,0,0,0,0,0,2
love,0,0,0,0,3,0,0,1
secret,1,0,0,0,0,0,0,0
ceremony,0,0,0,0,2,0,0,0
quickly,0,0,1,0,0,0,0,0
apart,0,0,2,0,0,0,0,0
mistress,0,0,0,0,3,0,0,0
accusation,0,0,0,0,1,0,0,0
throw,0,0,0,0,0,0,0,1
friend,0,0,0,0,6,0,0,0
torture,0,0,0,0,0,0,0,1
arrest,0,0,0,0,2,0,0,1
trial,0,0,0,0,1,0,0,0
little,1,0,0,0,0,0,0,0
evidence,0,0,0,0,1,0,0,0
guilt,0,0,0,0,2,0,0,0
find,0,0,0,0,0,0,0,3
sentence,0,0,0,0,0,0,0,3
behead,0,0,0,0,0,0,0,2
book,0,0,0,0,4,0,0,0
television,0,0,0,0,1,0,0,0
serie,0,0,0,0,1,0,0,0
movie,0,0,0,0,2,0,0,0
talk,0,0,0,0,0,0,0,1
character,0,0,0,0,1,0,0,0
depiction,0,0,0,0,1,0,0,0
close,2,0,0,0,0,0,0,0
real,2,0,0,0,0,0,0,0
charming,1,0,0,0,0,0,0,0
passionate,1,0,0,0,0,0,0,0
hot,1,0,0,0,0,0,0,0
tempered,1,0,0,0,0,0,0,0
plot,0,0,0,0,0,0,0,2
charm,0,0,0,0,1,0,0,0
woo,0,0,0,0,0,0,0,1
lead,0,0,0,0,0,0,0,6
odd,0,0,0,0,1,0,0,0
total,0,0,0,0,1,0,0,0
lose,0,0,0,0,0,0,0,2
succession,0,0,0,0,1,0,0,0
lot,0,0,0,0,3,0,0,0
bad,2,0,0,0,0,0,0,0
feeling,0,0,0,0,2,0,0,0
difference,0,0,0,0,3,0,0,0
fiercely,0,0,1,0,0,0,0,0
loyal,2,0,0,0,0,0,0,0
anymore,0,0,1,0,0,0,0,0
view,0,0,0,0,0,0,0,6
sixth,1,0,0,0,0,0,0,0
encourage,0,0,0,0,0,0,0,3
eligible,1,0,0,0,0,0,0,0
rule,0,0,0,0,4,0,0,6
kind,1,0,0,0,0,0,0,0
reason,0,0,0,0,3,0,0,0
firstly,0,0,1,0,0,0,0,0
secondly,0,0,3,0,0,0,0,0
thirdly,0,0,1,0,0,0,0,0
competition,0,0,0,0,1,0,0,0
danger,0,0,0,0,2,0,0,0
devout,2,0,0,0,0,0,0,0
spanish,5,0,0,0,0,0,0,0
occur,0,0,0,0,0,0,0,1
join,0,0,0,0,0,0,0,2
group,0,0,0,0,3,0,0,0
oppose,0,0,0,0,0,0,0,2
capture,0,0,0,0,0,0,0,1
create,0,0,0,0,0,0,0,4
right,0,0,1,0,3,0,0,0
arrive,0,0,0,0,0,0,0,1
imprison,0,0,0,0,0,0,0,4
release,0,0,0,0,0,0,0,1
prisoner,0,0,0,0,1,0,0,0
house,0,0,0,0,2,0,0,0
heresy,0,0,0,0,2,0,0,0
hundred,0,0,0,0,1,0,0,0
earn,0,0,0,0,0,0,0,1
nickname,0,0,0,0,1,0,0,0
cancer,0,0,0,0,1,0,0,0
assume,0,0,0,0,0,0,0,2
picture,0,0,0,0,0,0,0,1
coronation,0,0,0,0,1,0,0,0
robe,0,0,0,0,1,0,0,0
inherit,0,0,0,0,0,0,0,2
cost,0,0,0,0,0,0,0,1
husband,0,0,0,0,3,0,0,0
french,1,0,0,0,0,0,0,0
attack,0,0,0,0,3,0,0,1
coast,0,0,0,0,1,0,0,0
possession,0,0,0,0,1,0,0,0
suffer,0,0,0,0,0,0,0,3
internal,1,0,0,0,0,0,0,0
fighting,0,0,0,0,2,0,0,0
advisor,0,0,0,0,5,0,0,0
upset,0,0,0,0,0,0,0,1
common,2,0,0,0,0,0,0,0
prayer,0,0,0,0,2,0,0,0
unlike,0,1,0,0,0,0,0,0
severely,0,0,1,0,0,0,0,0
impose,0,0,0,0,0,0,0,1
excommunicate,0,0,0,0,0,0,0,1
face,0,0,0,0,0,0,0,3
pose,0,0,0,0,0,0,0,1
threat,0,0,0,0,2,0,0,0
cousin,0,0,0,0,2,0,0,0
murder,0,0,0,0,2,0,0,0
force,0,0,0,0,0,0,0,2
abdicate,0,0,0,0,0,0,0,1
scottish,1,0,0,0,0,0,0,0
infant,1,0,0,0,0,0,0,0
supporter,0,0,0,0,3,0,0,0
flee,0,0,0,0,0,0,0,1
seek,0,0,0,0,0,0,0,2
dilemma,0,0,0,0,1,0,0,0
refuge,0,0,0,0,1,0,0,0
follow,0,0,0,0,0,0,0,1
advice,0,0,0,0,1,0,0,0
councilor,0,0,0,0,1,0,0,0
regard,0,0,0,0,1,0,0,1
rightful,3,0,0,0,0,0,0,0
execute,0,0,0,0,0,0,0,2
custody,0,0,0,0,1,0,0,0
examine,0,0,0,0,0,0,0,1
portray,0,0,0,0,0,0,0,3
different,2,0,0,0,0,0,0,0
attempt,0,0,0,0,4,0,0,0
involve,0,0,0,0,0,0,0,1
plotter,0,0,0,0,1,0,0,0
base,0,0,0,0,0,0,0,1
warrant,0,0,0,0,1,0,0,0
sign,0,0,0,0,0,0,0,1
sixteen,0,0,0,0,0,1,0,0
attendant,0,0,0,0,1,0,0,0
secretly,0,0,1,0,0,0,0,0
favorite,1,0,0,0,1,0,0,0
multiple,1,0,0,0,0,0,0,0
mainly,0,0,1,0,0,0,0,0
motivate,0,0,0,0,0,0,0,1
desire,0,0,0,0,2,0,0,0
alliance,0,0,0,0,4,0,0,0
work,0,0,0,0,2,0,0,2
goal,0,0,0,0,1,0,0,0
example,0,0,0,0,3,0,0,0
unified,1,0,0,0,0,0,0,0
set,0,0,0,0,1,0,0,1
leader,0,0,0,0,1,0,0,0
assert,0,0,0,0,0,0,0,1
predominant,1,0,0,0,0,0,0,0
hope,0,0,0,0,0,0,0,1
case,0,0,0,0,1,0,0,0
form,0,0,0,0,2,0,0,3
interested,1,0,0,0,0,0,0,0
suitor,0,0,0,0,2,0,0,0
term,0,0,0,0,1,0,0,0
powerful,4,0,0,0,0,0,0,0
prove,0,0,0,0,0,0,0,2
beneficial,1,0,0,0,0,0,0,0
pressure,0,0,0,0,1,0,0,0
dynasty,0,0,0,0,1,0,0,0
single,1,0,0,0,0,0,0,0
elizabethan,7,0,0,0,0,0,0,0
era,0,0,0,0,7,0,0,0
experience,0,0,0,0,0,0,0,1
peace,0,0,0,0,3,0,0,0
stability,0,0,0,0,1,0,0,0
wealthy,2,0,0,0,0,0,0,0
exploration,0,0,0,0,2,0,0,0
finally,0,0,3,0,0,0,0,0
painter,0,0,0,0,3,0,0,0
poet,0,0,0,0,5,0,0,0
playwright,0,0,0,0,5,0,0,0
volume,0,0,0,0,1,0,0,0
frontispiece,0,0,0,0,1,0,0,0
pray,0,0,0,0,0,0,0,1
exercise,0,0,0,0,0,0,0,1
tolerance,0,0,0,0,1,0,0,0
previous,1,0,0,0,0,0,0,0
illustration,0,0,0,0,1,0,0,0
meeting,0,0,0,0,1,0,0,0
discuss,0,0,0,0,0,0,0,1
irish,2,0,0,0,0,0,0,0
struggle,0,0,0,0,1,0,0,0
tear,0,0,0,0,0,0,0,1
concession,0,0,0,0,1,0,0,0
moderate,2,0,0,0,0,0,0,0
extremist,0,0,0,0,1,0,0,0
extreme,1,0,0,0,0,0,0,0
thing,0,0,0,0,2,0,0,0
dancing,0,0,0,0,1,0,0,0
attend,0,0,0,0,0,0,0,2
theater,0,0,0,0,3,0,0,0
unholy,1,0,0,0,0,0,0,0
fully,0,0,1,0,0,0,0,0
art,0,0,0,0,3,0,0,0
ride,0,0,0,0,1,0,0,1
invade,0,0,0,0,0,0,0,3
invasion,0,0,0,0,1,0,0,0
military,1,0,0,0,0,0,0,0
accomplishment,0,0,0,0,1,0,0,0
exploitation,0,0,0,0,1,0,0,0
foreign,1,0,0,0,0,0,0,0
proposal,0,0,0,0,1,0,0,0
legally,0,0,1,0,0,0,0,0
binding,1,0,0,0,0,0,0,0
remove,0,0,0,0,0,0,0,1
prepare,0,0,0,0,0,0,0,1
fleet,0,0,0,0,5,0,0,0
ship,0,0,0,0,5,0,0,0
free,0,0,0,0,0,0,0,1
knight,0,0,0,0,0,0,0,1
successfully,0,0,1,0,0,0,0,0
travel,0,0,0,0,0,0,0,1
globe,0,0,0,0,1,0,0,0
plan,0,0,0,0,0,0,0,3
carry,0,0,0,0,0,0,0,1
gun,0,0,0,0,1,0,0,0
soldier,0,0,0,0,2,0,0,0
wait,0,0,0,0,0,0,0,1
welsh,1,0,0,0,0,0,0,0
cliff,0,0,0,0,1,0,0,0
look,0,0,0,0,0,0,0,2
officially,0,0,1,0,0,0,0,0
hide,0,0,0,0,0,0,0,1
white,1,0,0,0,0,0,0,0
horse,0,0,0,0,1,0,0,0
watch,0,0,0,0,0,0,0,3
hour,0,0,0,0,1,0,0,0
command,0,0,0,0,0,0,0,1
win,0,0,0,0,0,0,0,2
celebrate,0,0,0,0,0,0,0,1
victory,0,0,0,0,1,0,0,0
superpower,0,0,0,0,2,0,0,0
stage,0,0,0,0,1,0,0,0
relatively,0,0,1,0,0,0,0,0
peaceful,1,0,0,0,0,0,0,0
representation,0,0,0,0,1,0,0,0
miniature,2,0,0,0,0,0,0,0
size,0,0,0,0,1,0,0,0
personal,1,0,0,0,0,0,0,0
appear,0,0,0,0,0,0,0,2
playing,0,0,0,0,1,0,0,0
card,0,0,0,0,1,0,0,0
wear,0,0,0,0,0,0,0,1
pelican,0,0,0,0,2,0,0,0
necklace,0,0,0,0,2,0,0,0
symbolize,0,0,0,0,0,0,0,2
devotion,0,0,0,0,1,0,0,0
produce,0,0,0,0,0,0,0,2
play,0,0,0,0,3,0,0,2
lute,0,0,0,0,1,0,0,0
forty,0,0,0,0,1,0,0,0
represent,0,0,0,0,0,0,0,1
selfless,1,0,0,0,0,0,0,0
poetry,0,0,0,0,2,0,0,0
song,0,0,0,0,1,0,0,0
prior,0,0,1,0,0,0,0,0
unsuccessful,1,0,0,0,0,0,0,0
italian,1,0,0,0,0,0,0,0
sonnet,0,0,0,0,5,0,0,0
literature,0,0,0,0,1,0,0,0
poem,0,0,0,0,2,0,0,0
usually,0,0,2,0,0,0,0,0
syllable,0,0,0,0,1,0,0,0
shakespearean,1,0,0,0,0,0,0,0
contain,0,0,0,0,0,0,0,2
specific,1,0,0,0,0,0,0,0
structure,0,0,0,0,1,0,0,0
rhyme,0,0,0,0,1,0,0,0
scheme,0,0,0,0,1,0,0,0
beautiful,1,0,0,0,0,0,0,0
moral,1,0,0,0,0,0,0,0
fairy,0,0,0,0,1,0,0,0
tale,0,0,0,0,1,0,0,0
section,0,0,0,0,1,0,0,0
translation,0,0,0,0,1,0,0,0
mark,0,0,0,0,0,0,0,1
use,0,0,0,0,1,0,0,0
blank,2,0,0,0,0,0,0,0
verse,0,0,0,0,2,0,0,0
style,0,0,0,0,2,0,0,0
unrhymed,1,0,0,0,0,0,0,0
significant,1,0,0,0,0,0,0,0
predecessor,0,0,0,0,1,0,0,0
medium,0,0,0,0,1,0,0,0
dramatic,1,0,0,0,0,0,0,0
writing,0,0,0,0,1,0,0,0
professional,1,0,0,0,0,0,0,0
build,0,0,0,0,0,0,0,1
weekly,0,0,1,0,0,0,0,0
financially,0,0,1,0,0,0,0,0
back,0,0,0,0,0,0,0,1
emotionally,0,0,1,0,0,0,0,0
intellectually,0,0,1,0,0,0,0,0
strong,2,0,0,0,0,0,0,0
reference,0,0,0,0,1,0,0,0
farewell,0,0,0,0,1,0,0,0
shall,0,0,0,6,0,0,0,0
happiness,0,0,0,0,1,0,0,0
aged,1,0,0,0,0,0,0,0
deed,0,0,0,0,1,0,0,0
crown,0,0,0,0,0,0,0,1
unspotted,1,0,0,0,0,0,0,0
lily,0,0,0,0,1,0,0,0
ground,0,0,0,0,1,0,0,0
mourn,0,0,0,0,0,0,0,1
actor,0,0,0,0,1,0,0,0
company,0,0,0,0,2,0,0,0
successor,0,0,0,0,1,0,0,0
big,1,0,0,0,0,0,0,0
prevent,0,0,0,0,0,0,0,1
tighten,0,0,0,0,0,0,0,1
fail,0,0,0,0,0,0,0,1
solidify,0,0,0,0,0,0,0,1
earl,0,0,0,0,1,0,0,0
chieftain,0,0,0,0,1,0,0,0
skirmish,0,0,0,0,1,0,0,0
spark,0,0,0,0,0,0,0,1
countrywide,1,0,0,0,0,0,0,0
revolt,0,0,0,0,1,0,0,0
aid,0,0,0,0,1,0,0,0
troop,0,0,0,0,1,0,0,0
surrender,0,0,0,0,0,0,0,1
sail,0,0,0,0,0,0,0,1
skill,0,0,0,0,1,0,0,0
generally,0,0,1,0,0,0,0,0
reserve,0,0,0,0,0,0,0,1
pirate,0,0,0,0,1,0,0,0
governor,0,0,0,0,1,0,0,0
province,0,0,0,0,1,0,0,0
western,1,0,0,0,0,0,0,0
northwestern,1,0,0,0,0,0,0,0
return,0,0,0,0,0,0,0,1
relative,0,0,0,0,1,0,0,0
meet,0,0,0,0,0,0,0,2
impress,0,0,0,0,0,0,0,1
short,1,0,0,0,0,0,0,0
rational,1,0,0,0,0,0,0,0
emotional,1,0,0,0,0,0,0,0
phoenix,0,0,0,0,1,0,0,0
virginity,0,0,0,0,1,0,0,0
chastity,0,0,0,0,1,0,0,0
interpretation,0,0,0,0,1,0,0,0
reinforce,0,0,0,0,0,0,0,1
nature,0,0,0,0,3,0,0,0
decision,0,0,0,0,2,0,0,0
behave,0,0,0,0,0,0,0,1
differently,0,0,1,0,0,0,0,0
expect,0,0,0,0,0,0,0,1
active,1,0,0,0,0,0,0,0
role,0,0,0,0,1,0,0,0
get,0,0,0,0,0,0,0,1
voice,0,0,0,0,0,0,0,1
viewpoint,0,0,0,0,1,0,0,0
stepmother,0,0,0,0,2,0,0,0
intimate,2,0,0,0,0,0,0,0
relationship,0,0,0,0,1,0,0,0
seriousness,0,0,0,0,1,0,0,0
trait,0,0,0,0,2,0,0,0
logically,0,0,1,0,0,0,0,0
decide,0,0,0,0,0,0,0,1
matter,0,0,0,0,1,0,0,0
lifelong,1,0,0,0,0,0,0,0
friendship,0,0,0,0,1,0,0,0
companionship,0,0,0,0,1,0,0,0
intelligent,1,0,0,0,0,0,0,0
understand,0,0,0,0,0,0,0,1
politic,0,0,0,0,1,0,0,0
imprisonment,0,0,0,0,2,0,0,0
creative,1,0,0,0,0,0,0,0
creativity,0,0,0,0,1,0,0,0
pave,0,0,0,0,0,0,0,1
deliver,0,0,0,0,0,0,0,1
speech,0,0,0,0,2,0,0,0
golden,1,0,0,0,0,0,0,0
speaker,0,0,0,0,1,0,0,0
health,0,0,0,0,1,0,0,0
poor,1,0,0,0,0,0,0,0
depression,0,0,0,0,1,0,0,0
mighty,1,0,0,0,0,0,0,0
wise,1,0,0,0,0,0,0,0
prince,0,0,0,0,1,0,0,0
sit,0,0,0,0,0,0,0,1
seat,0,0,0,0,1,0,0,0
dress,0,0,0,0,1,0,0,0
representative,1,0,0,0,0,0,0,0
late,1,0,0,0,0,0,0,0
combine,0,0,0,0,0,0,0,1
element,0,0,0,0,1,0,0,0
flower,0,0,0,0,1,0,0,0
animal,0,0,0,0,1,0,0,0
