word,ADJ,ADP,ADV,AUX,NOUN,NUM,VERB,X
call,0,0,0,0,0,0,4,0
conquer,0,0,0,0,0,0,6,0
north,0,0,1,0,2,0,0,0
rule,0,0,0,0,11,0,3,0
series,0,0,0,0,4,0,0,0
etruscan,2,0,0,0,0,0,0,0
king,0,0,0,0,1,0,0,0
overthrow,0,0,0,0,0,0,1,0
monarch,0,0,0,0,1,0,0,0
start,0,0,0,0,1,0,2,0
war,0,0,0,0,8,0,0,0
virtually,0,0,4,0,0,0,0,0
lead,0,0,0,0,0,0,6,0
politician,0,0,0,0,1,0,0,0
general,2,0,0,0,5,0,0,0
state,0,0,0,0,7,0,0,0
show,0,0,0,0,1,0,1,0
martial,1,0,0,0,0,0,0,0
prowess,0,0,0,0,1,0,0,0
evolve,0,0,0,0,0,0,2,0
finally,0,0,3,0,0,0,0,0
body,0,0,0,0,4,0,0,0
male,1,0,0,0,0,0,0,0
citizen,0,0,0,0,9,0,0,0
summon,0,0,0,0,0,0,1,0
major,2,0,0,0,0,0,0,0
decision,0,0,0,0,2,0,0,0
need,0,0,0,0,0,0,1,0
time,0,0,0,0,22,0,0,0
unworkable,1,0,0,0,0,0,0,0
population,0,0,0,0,4,0,0,0
grow,0,0,0,0,0,0,5,0
rapidly,0,0,2,0,0,0,0,0
room,0,0,0,0,1,0,0,0
gather,0,0,0,0,0,0,1,0
place,0,0,0,0,2,0,0,0
level,0,0,0,0,1,0,0,0
reach,0,0,0,0,0,0,1,0
representative,1,0,0,0,0,0,0,0
vote,0,0,0,0,0,0,2,0
man,0,0,0,0,14,0,0,0
represent,0,0,0,0,0,0,2,0
century,0,0,0,0,18,0,0,0
clever,1,0,0,0,0,0,0,0
combination,0,0,0,0,1,0,0,0
monarchy,0,0,0,0,1,0,0,0
aristocracy,0,0,0,0,2,0,0,0
consul,0,0,0,0,4,0,0,0
elect,0,0,0,0,0,0,2,0
military,4,0,0,0,0,0,0,0
centuriate,1,0,0,0,0,0,0,0
comitia,0,0,0,0,0,0,0,1
centuriata,0,0,0,0,0,0,0,1
chief,2,0,0,0,0,0,0,0
executive,1,0,0,0,2,0,0,0
have,0,0,0,0,0,0,4,0
injure,0,0,0,0,0,0,1,0
disable,0,0,0,0,0,0,1,0
fill,0,0,0,0,0,0,2,0
shoe,0,0,0,0,1,0,0,0
imagine,0,0,0,0,0,0,1,0
president,0,0,0,0,2,0,0,0
country,0,0,0,0,3,0,0,0
coequal,1,0,0,0,0,0,0,0
shadow,0,0,0,0,0,0,1,0
servant,0,0,0,0,3,0,0,0
carry,0,0,0,0,0,0,4,0
fasces,0,0,0,0,0,0,0,1
symbol,0,0,0,0,1,0,0,0
authority,0,0,0,0,1,0,0,0
senator,0,0,0,0,6,0,0,0
tribune,0,0,0,0,5,0,0,0
sacrosanct,1,0,0,0,0,0,0,0
physically,0,0,1,0,0,0,0,0
harm,0,0,0,0,0,0,1,0
pain,0,0,0,0,1,0,0,0
death,0,0,0,0,7,0,0,0
choose,0,0,0,0,0,0,2,0
family,0,0,0,0,7,0,0,0
descent,0,0,0,0,2,0,0,0
act,0,0,0,0,1,0,3,0
legislature,0,0,0,0,1,0,0,0
write,0,0,0,0,0,0,2,0
law,0,0,0,0,14,0,0,0
obvious,2,0,0,0,0,0,0,0
wealthy,2,0,0,0,0,0,0,0
upper,4,0,0,0,0,0,0,0
class,0,0,0,0,11,0,0,0
win,0,0,0,0,0,0,2,0
election,0,0,0,0,1,0,0,0
seat,0,0,0,0,2,0,0,0
hereditary,1,0,0,0,0,0,0,0
official,0,0,0,0,1,0,0,0
yearly,1,0,0,0,0,0,0,0
basis,0,0,0,0,4,0,0,0
common,2,0,0,0,0,0,0,0
plebeian,1,0,0,0,3,0,0,0
pleb,0,0,0,0,1,0,0,0
sit,0,0,0,0,0,0,1,0
observe,0,0,0,0,0,0,1,0
debate,0,0,0,0,1,0,1,0
issue,0,0,0,0,1,0,1,0
veto,0,0,0,0,2,0,1,1
deem,0,0,0,0,0,0,1,0
unjust,1,0,0,0,0,0,0,0
forbid,0,0,0,0,0,0,1,0
success,0,0,0,0,1,0,0,0
meet,0,0,0,0,0,0,2,0
number,0,0,0,0,3,0,0,0
enemy,0,0,0,0,1,0,0,0
defeat,0,0,0,0,1,0,3,0
invade,0,0,0,0,0,0,1,0
briefly,0,0,1,0,0,0,0,0
hold,0,0,0,0,0,0,1,0
rest,0,0,0,0,2,0,0,0
conquest,0,0,0,0,3,0,0,0
life,0,0,0,0,8,0,0,0
struggle,0,0,0,0,2,0,1,0
southern,1,0,0,0,0,0,0,0
rim,0,0,0,0,1,0,0,0
find,0,0,0,0,0,0,3,0
hero,0,0,0,0,1,0,0,0
army,0,0,0,0,3,0,0,0
eventually,0,0,1,0,0,0,0,0
prevail,0,0,0,0,0,0,4,0
completely,0,0,3,0,0,0,0,0
destroy,0,0,0,0,0,0,2,0
sole,1,0,0,0,0,0,0,0
ruler,0,0,0,0,2,0,0,0
western,11,0,0,0,0,0,0,0
soon,0,0,2,0,0,0,0,0
expand,0,0,0,0,0,0,1,0
control,0,0,0,0,1,0,0,0
eastern,2,0,0,0,0,0,0,0
carthaginian,1,0,0,0,0,0,0,0
force,0,0,0,0,3,0,0,0
enter,0,0,0,0,0,0,2,0
period,0,0,0,0,3,0,0,0
unrest,0,0,0,0,1,0,0,0
civil,3,0,0,0,0,0,0,0
dangerous,1,0,0,0,0,0,0,0
revolt,0,0,0,0,1,0,0,0
slave,0,0,0,0,11,0,0,0
thracian,1,0,0,0,0,0,0,0
gladiator,0,0,0,0,6,0,0,0
name,0,0,0,0,0,0,3,0
move,0,0,0,0,0,0,3,0
supremely,0,0,1,0,0,0,0,0
practical,1,0,0,0,0,0,0,0
direction,0,0,0,0,1,0,0,0
head,0,0,0,0,0,0,1,0
successful,1,0,0,0,0,0,0,0
provoke,0,0,0,0,0,0,1,0
order,0,0,0,0,2,0,0,0
river,0,0,0,0,1,0,0,0
boundary,0,0,0,0,6,0,0,0
province,0,0,0,0,4,0,0,0
ensue,0,0,0,0,0,0,1,0
pit,0,0,0,0,0,0,1,0
skillful,1,0,0,0,0,0,0,0
terrible,2,0,0,0,0,0,0,0
battle,0,0,0,0,2,0,0,0
flee,0,0,0,0,0,0,3,0
pursue,0,0,0,0,0,0,1,0
northern,2,0,0,0,0,0,0,0
murder,0,0,0,0,0,0,1,0
follow,0,0,0,0,0,0,3,0
lover,0,0,0,0,1,0,0,0
queen,0,0,0,0,1,0,0,0
support,0,0,0,0,0,0,1,0
militarily,0,0,2,0,0,0,0,0
supporter,0,0,0,0,1,0,0,0
subsequently,0,0,1,0,0,0,0,0
dictator,0,0,0,0,1,0,0,0
alarm,0,0,0,0,0,0,1,0
join,0,0,0,0,0,0,1,0
conspiracy,0,0,0,0,1,0,0,0
assassinate,0,0,0,0,0,0,3,0
stab,0,0,0,0,0,0,2,0
attack,0,0,0,0,0,0,1,0
kill,0,0,0,0,0,0,5,0
disapprove,0,0,0,0,0,0,1,0
way,0,0,0,0,4,0,0,0
govern,0,0,0,0,0,0,1,0
remain,0,0,0,0,1,0,5,0
problem,0,0,0,0,3,0,0,0
poverty,0,0,0,0,1,0,0,0
unemployment,0,0,0,0,1,0,0,0
homelessness,0,0,0,0,1,0,0,0
bad,2,0,0,0,0,0,0,0
nephew,0,0,0,0,1,0,0,0
adopt,0,0,0,0,0,0,1,0
son,0,0,0,0,2,0,0,0
new,2,0,0,0,0,0,0,0
leader,0,0,0,0,3,0,0,0
recognize,0,0,0,0,0,0,2,0
princeps,0,0,0,0,0,0,0,1
civitatis,0,0,0,0,0,0,0,1
emperor,0,0,0,0,16,0,0,0
happen,0,0,0,0,0,0,3,0
famous,3,0,0,0,0,0,0,0
uncle,0,0,0,0,1,0,0,0
thirty,0,0,0,0,0,1,0,0
turn,0,0,0,0,0,0,5,0
effectively,0,0,1,0,0,0,0,0
die,0,0,0,0,0,0,2,0
stepson,0,0,0,0,1,0,0,0
successor,0,0,0,0,2,0,0,0
center,0,0,0,0,2,0,0,0
large,3,0,0,0,0,0,0,0
powerful,4,0,0,0,0,0,0,0
see,0,0,0,0,0,0,5,0
well,0,0,1,0,0,0,0,0
classical,1,0,0,0,0,0,0,0
mythology,0,0,0,0,1,0,0,0
usually,0,0,4,0,0,0,0,0
winner,0,0,0,0,1,0,0,0
nasty,1,0,0,0,0,0,0,0
mortal,1,0,0,0,0,0,0,0
descend,0,0,0,0,0,0,3,0
heaven,0,0,0,0,1,0,0,0
revenge,0,0,0,0,1,0,0,0
wound,0,0,0,0,0,0,1,0
pitchfork,0,0,0,0,2,0,0,0
legion,0,0,0,0,5,0,0,0
thousand,0,0,0,0,2,5,0,0
good,9,0,0,0,2,0,0,0
unbeatable,1,0,0,0,0,0,0,0
discipline,0,0,0,0,1,0,0,0
commitment,0,0,0,0,1,0,0,0
soldier,0,0,0,0,2,0,0,0
beware,0,0,0,0,0,0,2,0
ide,0,0,0,0,2,0,0,0
word,0,0,0,0,1,0,0,0
middle,1,0,0,0,2,0,0,0
month,0,0,0,0,2,0,0,0
expression,0,0,0,0,2,0,0,0
peak,0,0,0,0,0,0,1,0
million,0,0,0,0,2,4,0,0
seventy,0,0,0,0,0,2,0,0
extend,0,0,0,0,0,0,1,0
east,0,0,0,0,2,0,0,0
collection,0,0,0,0,3,0,0,0
language,0,0,0,0,10,0,0,0
culture,0,0,0,0,1,0,0,0
previously,0,0,1,0,0,0,0,0
exist,0,0,0,0,0,0,4,0
strong,2,0,0,0,0,0,0,0
effective,1,0,0,0,0,0,0,0
original,1,0,0,0,1,0,0,0
luckily,0,0,1,0,0,0,0,0
receive,0,0,0,0,0,0,3,0
endure,0,0,0,0,0,0,2,0
especially,0,0,2,0,0,0,0,0
reputation,0,0,0,0,1,0,0,0
historian,0,0,0,0,3,0,0,0
lot,0,0,0,0,1,0,0,0
suffer,0,0,0,0,0,0,1,0
severe,1,0,0,0,0,0,0,0
illness,0,0,0,0,1,0,0,0
mentally,0,0,1,0,0,0,0,0
unstable,1,0,0,0,0,0,0,0
unpredictably,0,0,1,0,0,0,0,0
cruelly,0,0,1,0,0,0,0,0
subject,0,0,0,0,1,0,0,0
weary,1,0,0,0,0,0,0,0
tyrannical,1,0,0,0,0,0,0,0
conspirator,0,0,0,0,1,0,0,0
reign,0,0,0,0,1,0,1,0
line,0,0,0,0,1,0,0,0
throne,0,0,0,0,1,0,0,0
proclaim,0,0,0,0,0,0,1,0
stabilize,0,0,0,0,0,0,1,0
visible,2,0,0,0,0,0,0,0
design,0,0,0,0,1,0,2,0
spectator,0,0,0,0,1,0,0,0
evacuate,0,0,0,0,0,0,1,0
case,0,0,0,0,1,0,0,0
fire,0,0,0,0,1,0,0,0
fear,0,0,0,0,0,0,1,0
earthquake,0,0,0,0,1,0,0,0
complete,1,0,0,0,0,0,4,0
beautiful,1,0,0,0,0,0,0,0
temple,0,0,0,0,1,0,0,0
begin,0,0,0,0,0,0,10,0
statesman,0,0,0,0,1,0,0,0
rebuild,0,0,0,0,0,0,1,0
claim,0,0,0,0,0,0,4,0
stone,0,0,0,0,1,0,0,0
leave,0,0,0,0,0,0,2,0
marble,0,0,0,0,1,0,0,0
truth,0,0,0,0,2,0,0,0
process,0,0,0,0,1,0,0,0
geographically,0,0,1,0,0,0,0,0
culturally,0,0,1,0,0,0,0,0
benefit,0,0,0,0,1,0,0,0
increase,0,0,0,0,0,0,2,0
fledge,0,0,0,0,0,0,1,0
agree,0,0,0,0,0,0,1,0
notable,1,0,0,0,0,0,0,0
public,5,0,0,0,3,0,0,0
work,0,0,0,0,3,0,2,0
huge,3,0,0,0,0,0,0,0
sewer,0,0,0,0,2,0,0,0
use,0,0,0,0,3,0,0,0
maximum,1,0,0,0,0,0,0,0
extent,0,0,0,0,2,0,0,0
cover,0,0,0,0,0,0,1,0
custom,0,0,0,0,2,0,0,0
vast,1,0,0,0,0,0,0,0
make,0,0,0,0,0,0,1,0
achievement,0,0,0,0,1,0,0,0
far,0,0,2,0,0,0,0,0
pax,0,0,0,0,0,0,0,1
peace,0,0,0,0,3,0,0,0
generation,0,0,0,0,4,0,0,0
little,1,0,0,0,0,0,0,0
warfare,0,0,0,0,1,0,0,0
keep,0,0,0,0,0,0,1,0
governor,0,0,0,0,2,0,0,0
administer,0,0,0,0,0,0,1,0
priest,0,0,0,0,1,0,0,0
infiltrate,0,0,0,0,0,0,1,0
religion,0,0,0,0,4,0,0,0
love,0,0,0,0,0,0,1,0
admire,0,0,0,0,0,0,1,0
prosperity,0,0,0,0,1,0,0,0
sense,0,0,0,0,1,0,0,0
pervade,0,0,0,0,0,0,1,0
single,1,0,0,0,0,0,0,0
happy,1,0,0,0,0,0,0,0
record,0,0,0,0,0,0,2,0
history,0,0,0,0,4,0,0,0
wall,0,0,0,0,1,0,0,0
crumble,0,0,0,0,0,0,1,0
less,1,0,0,0,0,0,0,0
committed,1,0,0,0,0,0,0,0
courageous,1,0,0,0,0,0,0,0
increasingly,0,0,2,0,0,0,0,0
weak,1,0,0,0,0,0,0,0
corrupt,1,0,0,0,0,0,0,0
selfish,1,0,0,0,0,0,0,0
sure,1,0,0,0,0,0,0,0
blame,0,0,0,0,0,0,1,0
encompass,0,0,0,0,0,0,1,0
difficult,1,0,0,0,0,0,0,0
hard,1,0,0,0,0,0,0,0
result,0,0,0,0,2,0,1,0
fortune,0,0,0,0,1,0,0,0
wane,0,0,0,0,0,0,1,0
ministry,0,0,0,0,1,0,0,0
minority,0,0,0,0,1,0,0,0
old,2,0,0,0,0,0,0,0
polytheistic,1,0,0,0,0,0,0,0
prove,0,0,0,0,0,0,1,0
unpopular,1,0,0,0,0,0,0,0
negative,0,0,0,0,1,0,0,0
late,1,0,0,0,0,0,0,0
actively,0,0,1,0,0,0,0,0
persecute,0,0,0,0,0,0,2,0
grant,0,0,0,0,0,0,1,0
important,2,0,0,0,0,0,0,0
freedom,0,0,0,0,1,0,0,0
concession,0,0,0,0,1,0,0,0
church,0,0,0,0,1,0,0,0
convert,0,0,0,0,0,0,1,0
give,0,0,0,0,0,0,2,0
practice,0,0,0,0,0,0,1,0
openly,0,0,1,0,0,0,0,0
end,0,0,0,0,3,0,1,0
transform,0,0,0,0,0,0,1,0
sect,0,0,0,0,1,0,0,0
dominant,1,0,0,0,0,0,0,0
faith,0,0,0,0,1,0,0,0
fresco,0,0,0,0,2,0,0,0
christian,3,0,0,0,0,0,0,0
era,0,0,0,0,1,0,0,0
remember,0,0,0,0,0,0,1,0
capital,0,0,0,0,1,0,0,0
rename,0,0,0,0,0,0,1,0
steadily,0,0,1,0,0,0,0,0
decline,0,0,0,0,0,0,1,0
byzantine,2,0,0,0,0,0,0,0
barbarian,6,0,0,0,2,0,0,0
raid,0,0,0,0,3,0,0,0
invasion,0,0,0,0,3,0,0,0
press,0,0,0,0,0,0,2,0
pale,0,0,0,0,0,0,1,0
comparison,0,0,0,0,1,0,0,0
mid,1,0,0,0,0,0,0,0
fifth,2,0,0,0,0,0,0,0
sack,0,0,0,0,0,0,1,0
likely,3,0,1,0,0,0,0,0
instead,0,0,2,0,0,0,0,0
save,0,0,0,0,0,0,1,0
miracle,0,0,0,0,1,0,0,0
go,0,0,0,0,0,0,4,0
conversation,0,0,0,0,1,0,0,0
away,0,0,1,0,0,0,0,0
sacking,0,0,0,0,1,0,0,0
hand,0,0,0,0,1,0,2,0
crown,0,0,0,0,1,0,0,0
gothic,1,0,0,0,0,0,0,0
tribe,0,0,0,0,1,0,0,0
practically,0,0,1,0,0,0,0,0
resistance,0,0,0,0,1,0,0,0
depose,0,0,0,0,0,0,1,0
shrink,0,0,0,0,0,0,1,0
different,2,0,0,0,0,0,0,0
replace,0,0,0,0,0,0,1,0
alongside,0,1,0,0,0,0,0,0
shrinking,0,0,0,0,1,0,0,0
ship,0,0,0,0,2,0,0,0
decidedly,0,0,1,0,0,0,0,0
uneven,1,0,0,0,0,0,0,0
woman,0,0,0,0,2,0,0,0
social,2,0,0,0,0,0,0,0
ladder,0,0,0,0,1,0,0,0
member,0,0,0,0,1,0,0,0
fragile,1,0,0,0,0,0,0,0
manage,0,0,0,0,0,0,1,0
barely,0,0,1,0,0,0,0,0
scale,0,0,0,0,1,0,0,0
miserable,1,0,0,0,0,0,0,0
society,0,0,0,0,2,0,0,0
divide,0,0,0,0,0,0,2,0
patrician,1,0,0,0,3,0,0,0
trace,0,0,0,0,0,0,2,0
bloodline,0,0,0,0,4,0,0,0
worker,0,0,0,0,2,0,0,0
afford,0,0,0,0,0,0,3,0
pay,0,0,0,0,0,0,3,0
scholar,0,0,0,0,2,0,0,0
verify,0,0,0,0,0,0,1,0
care,0,0,0,0,0,0,1,0
compose,0,0,0,0,0,0,1,0
rigid,1,0,0,0,0,0,0,0
left,0,0,1,0,0,0,0,0
form,0,0,0,0,0,0,3,0
necessarily,0,0,1,0,0,0,0,0
person,0,0,0,0,3,0,0,0
rich,2,0,0,0,0,0,0,0
thing,0,0,0,0,2,0,0,0
birth,0,0,0,0,1,0,0,0
poor,2,0,0,0,0,0,0,0
passage,0,0,0,0,1,0,0,0
aristocrat,0,0,0,0,1,0,0,0
merchant,0,0,0,0,1,0,0,0
serve,0,0,0,0,0,0,1,0
free,2,0,0,0,0,0,0,0
change,0,0,0,0,0,0,1,0
footman,0,0,0,0,1,0,0,0
hundred,0,0,0,0,1,0,0,0
victorious,2,0,0,0,0,0,0,0
drag,0,0,0,0,0,0,1,0
sell,0,0,0,0,0,0,1,0
auction,0,0,0,0,1,0,0,0
block,0,0,0,0,1,0,0,0
farm,0,0,0,0,0,0,1,0
land,0,0,0,0,1,0,0,0
flourish,0,0,0,0,0,0,1,0
fig,0,0,0,0,3,0,0,0
fine,4,0,0,0,0,0,0,0
lifestyle,0,0,0,0,1,0,0,0
particularly,0,0,1,0,0,0,0,0
food,0,0,0,0,6,0,0,0
concern,0,0,0,0,0,0,1,0
plenty,0,0,0,0,1,0,0,0
native,1,0,0,0,0,0,0,0
pick,0,0,0,0,0,0,1,0
harvest,0,0,0,0,0,0,1,0
foreign,1,0,0,0,0,0,0,0
wheat,0,0,0,0,1,0,0,0
italian,2,0,0,0,0,0,0,0
bread,0,0,0,0,3,0,0,0
primarily,0,0,1,0,0,0,0,0
grape,0,0,0,0,1,0,0,0
farmer,0,0,0,0,2,0,0,0
cultivate,0,0,0,0,0,0,1,0
tree,0,0,0,0,1,0,0,0
animal,0,0,0,0,2,0,0,0
slaughter,0,0,0,0,0,0,1,0
provide,0,0,0,0,0,0,5,0
meat,0,0,0,0,1,0,0,0
addition,0,0,0,0,2,0,0,0
interest,0,0,0,0,1,0,0,0
produce,0,0,0,0,0,0,1,0
wine,0,0,0,0,1,0,0,0
ingredient,0,0,0,0,1,0,0,0
truly,0,0,1,0,0,0,0,0
superior,1,0,0,0,0,0,0,0
diet,0,0,0,0,1,0,0,0
available,3,0,0,0,0,0,0,0
upp,2,0,0,0,0,0,0,0
enjoy,0,0,0,0,0,0,1,0
seemingly,0,0,1,0,0,0,0,0
sumptuous,1,0,0,0,0,0,0,0
feast,0,0,0,0,1,0,0,0
depict,0,0,0,0,0,0,3,0
height,0,0,0,0,1,0,0,0
annual,1,0,0,0,0,0,0,0
tax,0,0,0,0,1,0,0,0
arrive,0,0,0,0,0,0,1,0
formulate,0,0,0,0,0,0,1,0
egyptian,1,0,0,0,0,0,0,0
wealth,0,0,0,0,1,0,0,0
grain,0,0,0,0,1,0,0,0
particular,1,0,0,0,0,0,0,0
circus,0,0,0,0,3,0,0,0
offer,0,0,0,0,0,0,1,0
consume,0,0,0,0,0,0,1,0
readily,0,0,1,0,0,0,0,0
buyer,0,0,0,0,1,0,0,0
arrangement,0,0,0,0,2,0,0,0
middleman,0,0,0,0,1,0,0,0
true,1,0,0,0,0,0,0,0
able,1,0,0,0,0,0,0,0
basic,1,0,0,0,0,0,0,0
foodstuff,0,0,0,0,1,0,0,0
entertainment,0,0,0,0,3,0,0,0
watch,0,0,0,0,0,0,1,0
armed,1,0,0,0,0,0,0,0
combat,0,0,0,0,1,0,0,0
contest,0,0,0,0,1,0,0,0
earnest,1,0,0,0,0,0,0,0
open,1,0,0,0,0,0,1,0
regular,1,0,0,0,0,0,0,0
sword,0,0,0,0,1,0,0,0
spear,0,0,0,0,1,0,0,0
axis,0,0,0,0,1,0,0,0
flood,0,0,0,0,0,0,1,0
naval,1,0,0,0,0,0,0,0
tiny,1,0,0,0,0,0,0,0
look,0,0,0,0,0,0,3,0
stand,0,0,0,0,1,0,0,0
ask,0,0,0,0,0,0,1,0
shall,0,0,0,1,0,0,0,0
crowd,0,0,0,0,1,0,0,0
opinion,0,0,0,0,2,0,0,0
cheer,0,0,0,0,1,0,0,0
boo,0,0,0,0,1,0,0,0
thumb,0,0,0,0,1,0,0,0
thumbs,0,0,0,0,1,0,0,0
feed,0,0,0,0,0,0,1,0
lion,0,0,0,0,1,0,0,0
ten,0,0,0,0,1,0,0,0
beast,0,0,0,0,1,0,0,0
tear,0,0,0,0,0,0,1,0
apart,0,0,1,0,0,0,0,0
equal,0,0,0,0,0,0,1,0
art,0,0,0,0,2,0,0,0
poet,0,0,0,0,2,0,0,0
philosopher,0,0,0,0,1,0,0,0
excellent,1,0,0,0,0,0,0,0
architect,0,0,0,0,2,0,0,0
designer,0,0,0,0,1,0,0,0
nearly,0,0,2,0,0,0,0,0
reason,0,0,0,0,1,0,0,0
teacher,0,0,0,0,2,0,0,0
tutor,0,0,0,0,1,0,0,0
child,0,0,0,0,1,0,0,0
refined,1,0,0,0,0,0,0,0
sophisticated,1,0,0,0,0,0,0,0
relief,0,0,0,0,1,0,0,0
certainly,0,0,1,0,0,0,0,0
instruct,0,0,0,0,0,0,1,0
student,0,0,0,0,1,0,0,0
business,0,0,0,0,1,0,0,0
philosophy,0,0,0,0,1,0,0,0
poetry,0,0,0,0,2,0,0,0
boy,0,0,0,0,4,0,0,0
learn,0,0,0,0,0,0,2,0
plain,1,0,0,0,0,0,0,0
mathematic,0,0,0,0,1,0,0,0
mathematical,1,0,0,0,0,0,0,0
theory,0,0,0,0,1,0,0,0
recite,0,0,0,0,0,0,1,0
dozen,0,0,0,0,1,0,0,0
girl,0,0,0,0,4,0,0,0
generally,0,0,1,0,0,0,0,0
formal,2,0,0,0,0,0,0,0
education,0,0,0,0,1,0,0,0
young,1,0,0,0,0,0,0,0
allow,0,0,0,0,0,0,2,0
attend,0,0,0,0,0,0,3,0
elementary,3,0,0,0,0,0,0,0
school,0,0,0,0,6,0,0,0
ludus,0,0,0,0,0,0,0,1
publicus,0,0,0,0,0,0,0,1
grammar,0,0,0,0,1,0,0,0
age,0,0,0,0,1,0,0,0
sixteen,0,0,0,0,0,1,0,0
want,0,0,0,0,0,0,1,0
training,0,0,0,0,1,0,0,0
service,0,0,0,0,1,0,0,0
study,0,0,0,0,0,0,1,0
speaking,0,0,0,0,1,0,0,0
rhetoric,0,0,0,0,1,0,0,0
grade,0,0,0,0,0,0,1,0
establish,0,0,0,0,0,0,1,0
ultimately,0,0,1,0,0,0,0,0
