word,ADJ,ADP,ADV,DET,NOUN,VERB,X
demand,0,0,0,0,1,0,0
rapid,1,0,0,0,0,0,0
drop,0,0,0,0,0,2,0
define,0,0,0,0,0,1,0
rainy,2,0,0,0,0,0,0
say,0,0,0,0,0,1,0
tropical,10,0,0,0,0,0,0
subtropical,2,0,0,0,0,0,0
lie,0,0,0,0,0,2,0
indian,1,0,0,0,0,0,0
subcontinent,0,0,0,0,1,0,0
portion,0,0,0,0,1,0,0
southern,5,0,0,0,0,0,0
subject,1,0,0,0,2,0,0
successful,2,0,0,0,0,0,0
planting,0,0,0,0,1,0,0
adjust,0,0,0,0,0,1,0
elevated,2,0,0,0,0,0,0
frequent,2,0,0,0,0,0,0
shower,0,0,0,0,1,0,0
replace,0,0,0,0,0,2,0
lose,0,0,0,0,0,1,0
borderline,1,0,0,0,0,0,0
deficiency,0,0,0,0,1,0,0
yield,0,0,0,0,2,0,0
series,0,0,0,0,1,0,0
photo,0,0,0,0,2,0,0
decline,0,0,0,0,2,3,0
meltwater,0,0,0,0,1,0,0
visible,1,0,0,0,0,0,0
especially,0,0,3,0,0,0,0
virtually,0,0,1,0,0,0,0
free,1,0,0,0,0,0,0
recent,2,0,0,0,0,0,0
soon,0,0,1,0,0,0,0
expansion,0,0,0,0,3,0,0
inch,0,0,0,0,1,0,0
centimeter,0,0,0,0,1,0,0
associate,0,0,0,0,0,4,0
submerge,0,0,0,0,0,2,0
island,0,0,0,0,3,0,0
coastal,3,0,0,0,0,0,0
lowland,2,0,0,0,1,0,0
risk,0,0,0,0,5,0,0
