word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,PUNCT,SCONJ,VERB
wind,0,0,0,0,0,0,0,9,0,0,0,0,1
delicate,2,0,0,0,0,0,0,0,0,0,0,0,0
finely,0,0,1,0,0,0,0,0,0,0,0,0,0
boned,1,0,0,0,0,0,0,0,0,0,0,0,0
eye,0,0,0,0,0,0,0,29,0,0,0,0,0
sherry,0,0,0,0,0,0,0,1,0,0,0,0,0
colored,7,0,0,0,0,0,0,0,0,0,0,0,0
timid,1,0,0,0,0,0,0,0,0,0,0,0,0
exclaim,0,0,0,0,0,0,0,0,0,0,0,0,1
breath,0,0,0,0,0,0,0,4,0,0,0,0,0
smoke,0,0,0,0,0,0,0,3,0,0,0,0,2
windowpane,0,0,0,0,0,0,0,1,0,0,0,0,0
fruitcake,0,0,0,0,0,0,0,7,0,0,0,0,0
weather,0,0,0,0,0,0,0,7,0,0,0,0,0
person,0,0,0,0,0,0,0,6,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,0,0,0,0,7
seven,0,0,0,0,0,0,0,0,6,0,0,0,0
cousin,0,0,0,0,0,0,0,14,0,0,0,0,0
distant,2,0,0,0,0,0,0,0,0,0,0,0,0
one,0,0,0,0,0,0,0,2,0,0,0,0,0
live,0,0,0,0,0,0,0,0,0,0,0,0,10
remember,0,0,0,0,0,0,0,0,0,0,0,0,11
people,0,0,0,0,0,0,0,19,0,0,0,0,0
inhabit,0,0,0,0,0,0,0,0,0,0,0,0,1
relative,0,0,0,0,0,0,0,7,0,0,0,0,0
power,0,0,0,0,0,0,0,2,0,0,0,0,0
frequently,0,0,1,0,0,0,0,0,0,0,0,0,0
cry,0,0,0,0,0,0,0,2,0,0,0,0,8
aware,5,0,0,0,0,0,0,0,0,0,0,0,0
good,27,0,1,0,0,0,1,2,0,0,0,0,0
friend,0,0,0,0,0,0,0,82,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,0,0,0,9
memory,0,0,0,0,0,0,0,2,0,0,0,0,0
boy,0,0,0,0,0,0,1,21,0,0,0,0,0
die,0,0,0,0,0,0,0,0,0,0,0,0,7
child,0,0,0,0,0,0,0,22,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,0,0,50
get,0,0,0,0,0,0,0,0,0,0,0,0,12
bed,0,0,0,0,0,0,0,21,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,0,0,66
turn,0,0,0,0,0,0,0,2,0,0,0,0,12
away,0,1,7,0,0,0,0,0,0,0,0,0,0
purposeful,2,0,0,0,0,0,0,0,0,0,0,0,0
excitement,0,0,0,0,0,0,0,2,0,0,0,0,0
courthouse,0,0,0,0,0,0,0,3,0,0,0,0,0
bell,0,0,0,0,0,0,0,5,0,0,0,0,0
sound,0,0,0,0,0,0,0,2,0,0,0,0,4
cold,7,0,0,0,0,0,0,4,0,0,0,0,0
clear,5,0,0,0,0,0,0,0,0,0,0,0,0
bird,0,0,0,0,0,0,0,3,0,0,0,0,0
singe,0,0,0,0,0,0,0,0,0,0,0,0,3
go,0,0,0,0,0,0,0,0,0,0,0,0,26
warm,5,0,0,0,0,0,0,0,0,0,0,0,1
yes,0,0,0,0,0,0,9,0,0,0,0,0,0
stop,0,0,0,0,0,0,0,2,0,0,0,0,16
stuff,0,0,0,0,0,0,0,1,0,0,0,0,5
biscuit,0,0,0,0,0,0,0,6,0,0,0,0,0
fetch,0,0,0,0,0,0,0,0,0,0,0,0,3
buggy,0,0,0,0,0,0,0,10,0,0,0,0,0
help,0,0,0,0,0,0,0,4,0,0,0,0,8
find,0,0,0,0,0,0,0,0,0,0,0,0,11
hat,0,0,0,0,0,0,0,8,0,0,0,0,0
thirty,0,0,0,0,0,0,0,0,9,0,0,0,0
cake,0,0,0,0,0,0,0,8,0,0,0,0,0
bake,0,0,0,0,0,0,0,0,0,0,0,0,2
arrive,0,0,0,0,0,0,0,0,0,0,0,0,12
officially,0,0,1,0,0,0,0,0,0,0,0,0,0
inaugurate,0,0,0,0,0,0,0,0,0,0,0,0,1
time,0,0,0,0,0,0,0,21,0,0,0,0,0
exhilarate,0,0,0,0,0,0,0,0,0,0,0,0,2
imagination,0,0,0,0,0,0,0,2,0,0,0,0,0
fuel,0,0,0,0,0,0,0,0,0,0,0,0,1
blaze,0,0,0,0,0,0,0,1,0,0,0,0,1
heart,0,0,0,0,0,0,0,5,0,0,0,0,0
straw,0,0,0,0,0,0,0,2,0,0,0,0,0
cartwheel,0,0,0,0,0,0,0,2,0,0,0,0,0
corsage,0,0,0,0,0,0,0,0,0,0,0,0,1
velvet,0,0,0,0,0,0,0,3,0,0,0,0,0
rose,0,0,0,0,0,0,0,5,0,0,0,0,0
door,0,0,0,0,0,0,0,11,0,0,0,0,0
fade,0,0,0,0,0,0,0,0,0,0,0,0,4
belong,0,0,0,0,0,0,0,0,0,0,0,0,4
fashionable,1,0,0,0,0,0,0,0,0,0,0,0,0
guide,0,0,0,0,0,0,0,0,0,0,0,0,1
dilapidated,2,0,0,0,0,0,0,0,0,0,0,0,0
baby,0,0,0,0,0,0,0,3,0,0,0,0,0
carriage,0,0,0,0,0,0,0,1,0,0,0,0,0
garden,0,0,0,0,0,0,0,7,0,0,0,0,0
grove,0,0,0,0,0,0,0,2,0,0,0,0,0
pecan,0,0,0,0,0,0,0,2,0,0,0,0,0
tree,0,0,0,0,0,0,0,23,0,0,0,0,0
buy,0,0,0,0,0,0,0,0,0,0,0,0,8
bear,0,0,0,0,0,0,0,0,0,0,0,0,1
wicker,0,0,0,0,0,0,0,2,0,0,0,0,0
unraveled,1,0,0,0,0,0,0,0,0,0,0,0,0
wheel,0,0,0,0,0,0,0,1,0,0,0,0,0
wobble,0,0,0,0,0,0,0,0,0,0,0,0,1
drunkard,0,0,0,0,0,0,0,1,0,0,0,0,0
leg,0,0,0,0,0,0,0,3,0,0,0,0,0
faithful,1,0,0,0,0,0,0,0,0,0,0,0,0
object,0,0,0,0,0,0,0,5,0,0,0,0,1
springtime,0,0,0,0,0,0,0,1,0,0,0,0,0
wood,0,0,0,0,0,0,0,5,0,0,0,0,0
fill,0,0,0,0,0,0,0,0,0,0,0,0,5
flower,0,0,0,0,0,0,0,4,0,0,0,0,0
herb,0,0,0,0,0,0,0,2,0,0,0,0,0
wild,4,0,0,0,0,0,0,0,0,0,0,0,0
fern,0,0,0,0,0,0,0,3,0,0,0,0,0
porch,0,0,0,0,0,0,0,5,0,0,0,0,0
pot,0,0,0,0,0,0,0,4,0,0,0,0,0
summer,0,0,0,0,0,0,0,9,0,0,0,0,0
pile,0,0,0,0,0,0,0,0,0,0,0,0,1
picnic,0,0,0,0,0,0,0,1,0,0,0,0,0
paraphernalia,0,0,0,0,0,0,0,1,0,0,0,0,0
sugar,0,0,0,0,0,0,0,4,0,0,0,0,0
cane,0,0,0,0,0,0,0,1,0,0,0,0,0
fishing,0,0,0,0,0,0,0,3,0,0,0,0,0
pole,0,0,0,0,0,0,0,1,0,0,0,0,0
roll,0,0,0,0,0,0,0,0,0,0,0,0,3
edge,0,0,0,0,0,0,0,5,0,0,0,0,1
creek,0,0,0,0,0,0,0,5,0,0,0,0,0
use,0,0,0,0,0,0,0,3,0,0,0,0,2
truck,0,0,0,0,0,0,0,2,0,0,0,0,0
haul,0,0,0,0,0,0,0,1,0,0,0,0,4
firewood,0,0,0,0,0,0,0,3,0,0,0,0,0
yard,0,0,0,0,0,0,0,3,0,0,0,0,0
tough,1,0,0,0,0,0,0,0,0,0,0,0,0
little,10,0,1,0,0,0,0,0,0,0,0,0,0
orange,1,0,0,0,0,0,0,3,0,0,0,0,0
rat,0,0,0,0,0,0,0,3,0,0,0,0,0
terrier,0,0,0,0,0,0,0,3,0,0,0,0,0
survive,0,0,0,0,0,0,0,0,0,0,0,0,2
distemper,0,0,0,0,0,0,0,1,0,0,0,0,0
rattlesnake,0,0,0,0,0,0,0,2,0,0,0,0,0
bite,0,0,0,0,0,0,0,1,0,0,0,0,0
trot,0,0,0,0,0,0,0,0,0,0,0,0,2
hour,0,0,0,0,0,0,0,12,0,0,0,0,0
later,0,0,7,0,0,0,0,0,0,0,0,0,0
hull,0,0,0,0,0,0,0,1,0,0,0,0,1
heap,0,0,0,0,0,0,0,1,0,0,0,0,1
load,0,0,0,0,0,0,0,1,0,0,0,0,0
windfall,0,0,0,0,0,0,0,1,0,0,0,0,0
back,0,0,0,0,0,0,0,1,0,0,0,0,0
hurt,0,0,0,0,0,0,0,1,0,0,0,0,3
gather,0,0,0,0,0,0,0,0,0,0,0,0,4
hard,5,0,2,0,0,0,0,0,0,0,0,0,0
crop,0,0,0,0,0,0,0,1,0,0,0,0,0
have,0,0,0,0,0,0,0,0,0,0,0,0,6
shake,0,0,0,0,0,0,0,0,0,0,0,0,8
sell,0,0,0,0,0,0,0,0,0,0,0,0,4
orchard,0,0,0,0,0,0,0,1,0,0,0,0,0
owner,0,0,0,0,0,0,0,4,0,0,0,0,0
conceal,0,0,0,0,0,0,0,0,0,0,0,0,1
leave,0,0,0,0,0,0,0,3,0,0,0,0,16
frosted,1,0,0,0,0,0,0,0,0,0,0,0,0
deceive,0,0,0,0,0,0,0,0,0,0,0,0,1
grass,0,0,0,0,0,0,0,6,0,0,0,0,0
caarackle,1,0,0,0,0,0,0,0,0,0,0,0,0
cheery,1,0,0,0,0,0,0,0,0,0,0,0,0
crunch,0,0,0,0,0,0,0,1,0,0,0,0,0
scrap,0,0,0,0,0,0,0,5,0,0,0,0,0
miniature,1,0,0,0,0,0,0,0,0,0,0,0,0
thunder,0,0,0,0,0,0,0,3,0,0,0,0,0
shell,0,0,0,0,0,0,0,1,0,0,0,0,0
collapse,0,0,0,0,0,0,0,0,0,0,0,0,1
golden,2,0,0,0,0,0,0,0,0,0,0,0,0
mound,0,0,0,0,0,0,0,1,0,0,0,0,0
sweet,7,0,1,0,0,0,0,0,0,0,0,0,0
oily,1,0,0,0,0,0,0,0,0,0,0,0,0
ivory,0,0,0,0,0,0,0,1,0,0,0,0,0
meat,0,0,0,0,0,0,0,1,0,0,0,0,0
mount,0,0,0,0,0,0,0,0,0,0,0,0,1
milk,0,0,0,0,0,0,0,4,0,0,0,0,0
glass,0,0,0,0,0,0,0,8,0,0,0,0,0
bowl,0,0,0,0,0,0,0,4,0,0,0,0,0
queenie,0,0,0,0,0,0,0,2,0,0,0,0,0
beg,0,0,0,0,0,0,0,0,0,0,0,0,3
taste,0,0,0,0,0,0,0,3,0,0,0,0,2
sneak,0,0,0,0,0,0,0,0,0,0,0,0,3
mite,0,0,0,0,0,0,0,2,0,0,0,0,0
insist,0,0,0,0,0,0,0,0,0,0,0,0,3
deprive,0,0,0,0,0,0,0,0,0,0,0,0,1
start,0,0,0,0,0,0,0,0,0,0,0,0,9
scarcely,0,0,1,0,0,0,0,0,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,0,0,0,5
dark,8,0,0,0,0,0,0,0,0,0,0,0,0
dusk,0,0,0,0,0,0,0,2,0,0,0,0,0
mirror,0,0,0,0,0,0,0,2,0,0,0,0,0
reflection,0,0,0,0,0,0,0,1,0,0,0,0,0
mingle,0,0,0,0,0,0,0,0,0,0,0,0,2
rise,0,0,0,0,0,0,0,0,0,0,0,0,7
moon,0,0,0,0,0,0,0,5,0,0,0,0,0
work,0,0,0,0,0,0,0,5,0,0,0,0,4
fireside,0,0,0,0,0,0,0,1,0,0,0,0,0
firelight,0,0,0,0,0,0,0,1,0,0,0,0,0
high,4,0,2,0,0,0,0,0,0,0,0,0,0
toss,0,0,0,0,0,0,0,0,0,0,0,0,3
final,3,0,0,0,0,0,0,0,0,0,0,0,0
fire,0,0,0,0,0,0,0,8,0,0,0,0,2
join,0,0,0,0,0,0,0,0,0,0,0,0,3
sigh,0,0,0,0,0,0,0,1,0,0,0,0,1
watch,0,0,0,0,0,0,0,0,0,0,0,0,10
catch,0,0,0,0,0,0,0,0,0,0,0,0,6
flame,0,0,0,0,0,0,0,1,0,0,0,0,0
brimful,1,0,0,0,0,0,0,0,0,0,0,0,0
eat,0,0,0,0,0,0,0,0,0,0,0,0,6
supper,0,0,0,0,0,0,0,4,0,0,0,0,0
bacon,0,0,0,0,0,0,0,1,0,0,0,0,0
blackberry,0,0,0,0,0,0,0,2,0,0,0,0,0
jam,0,0,0,0,0,0,0,3,0,0,0,0,0
discuss,0,0,0,0,0,0,0,0,0,0,0,0,4
tomorrow,0,0,0,0,0,0,0,6,0,0,0,0,0
kind,2,0,0,0,0,0,0,9,0,0,0,0,0
well,3,0,4,0,0,0,0,0,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,0,0,8
cherry,0,0,0,0,0,0,0,3,0,0,0,0,0
citron,0,0,0,0,0,0,0,1,0,0,0,0,0
ginger,0,0,0,0,0,0,0,2,0,0,0,0,0
vanilla,0,0,0,0,0,0,0,3,0,0,0,0,0
can,0,0,0,0,0,0,0,0,0,0,0,0,2
hawaiian,1,0,0,0,0,0,0,0,0,0,0,0,0
pineapple,0,0,0,0,0,0,0,1,0,0,0,0,0
rind,0,0,0,0,0,0,0,1,0,0,0,0,0
raisin,0,0,0,0,0,0,0,3,0,0,0,0,0
walnut,0,0,0,0,0,0,0,2,0,0,0,0,0
whiskey,0,0,0,0,0,0,0,8,0,0,0,0,0
flour,0,0,0,0,0,0,0,1,0,0,0,0,0
butter,0,0,0,0,0,0,0,3,0,0,0,0,0
egg,0,0,0,0,0,0,0,2,0,0,0,0,0
spice,0,0,0,0,0,0,0,1,0,0,0,0,1
flavoring,0,0,0,0,0,0,0,1,0,0,0,0,0
need,0,0,0,1,0,0,0,1,0,0,0,0,3
pony,0,0,0,0,0,0,0,1,0,0,0,0,0
pull,0,0,0,0,0,0,0,0,0,0,0,0,5
home,0,0,11,0,0,0,0,10,0,0,0,0,0
purchase,0,0,0,0,0,0,0,1,0,0,0,0,0
question,0,0,0,0,0,0,0,2,0,0,0,0,0
money,0,0,0,0,0,0,0,5,0,0,0,0,0
skinflint,0,0,0,0,0,0,0,1,0,0,0,0,0
sum,0,0,0,0,0,0,0,1,0,0,0,0,0
occasionally,0,0,3,0,0,0,0,0,0,0,0,0,0
provide,0,0,0,0,0,0,0,0,0,0,0,0,5
dime,0,0,0,0,0,0,0,9,0,0,0,0,0
earn,0,0,0,0,0,0,0,0,0,0,0,0,1
activity,0,0,0,0,0,0,0,1,0,0,0,0,0
hold,0,0,0,0,0,0,0,0,0,0,0,0,6
rummage,0,0,0,0,0,0,0,1,0,0,0,0,0
sale,0,0,0,0,0,0,0,2,0,0,0,0,0
bucket,0,0,0,0,0,0,0,2,0,0,0,0,0
handpicked,1,0,0,0,0,0,0,0,0,0,0,0,0
jar,0,0,0,0,0,0,0,1,0,0,0,0,0
homemade,3,0,0,0,0,0,0,0,0,0,0,0,0
apple,0,0,0,0,0,0,0,4,0,0,0,0,0
jelly,0,0,0,0,0,0,0,3,0,0,0,0,0
peach,0,0,0,0,0,0,0,1,0,0,0,0,0
preserve,0,0,0,0,0,0,0,1,0,0,0,0,1
funeral,0,0,0,0,0,0,0,2,0,0,0,0,0
wedding,0,0,0,0,0,0,0,2,0,0,0,0,0
win,0,0,0,0,0,0,0,0,0,0,0,0,3
seventy,0,0,0,0,0,0,0,0,1,0,0,0,0
ninth,1,0,0,0,0,0,0,0,0,0,0,0,0
prize,0,0,0,0,0,0,0,1,0,0,0,0,0
dollar,0,0,0,0,0,0,0,8,0,0,0,0,0
national,1,0,0,0,0,0,0,0,0,0,0,0,0
football,0,0,0,0,0,0,0,2,0,0,0,0,0
contest,0,0,0,0,0,0,0,3,0,0,0,0,0
fool,0,0,0,0,0,0,0,3,0,0,0,0,0
thing,0,0,0,0,0,0,0,25,0,0,0,0,0
enter,0,0,0,0,0,0,0,0,0,0,0,0,3
hear,0,0,0,0,0,0,0,0,0,0,0,0,18
moment,0,0,0,0,0,0,0,8,0,0,0,0,0
hope,0,0,0,0,0,0,0,1,0,0,0,0,3
center,0,0,0,0,0,0,0,1,0,0,0,0,1
thousand,0,0,0,0,0,0,0,0,2,0,0,0,0
offer,0,0,0,0,0,0,0,1,0,0,0,0,6
new,4,0,0,0,0,0,0,0,0,0,0,0,0
brand,0,0,0,0,0,0,0,1,0,0,0,0,0
coffee,0,0,0,0,0,0,0,8,0,0,0,0,0
suggest,0,0,0,0,0,0,0,0,0,0,0,0,2
hesitation,0,0,0,0,0,0,0,1,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,0,0,39
sacrilegious,2,0,0,0,0,0,0,0,0,0,0,0,0
slogan,0,0,0,0,0,0,0,1,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,0,0,23
truth,0,0,0,0,0,0,0,8,0,0,0,0,0
profitable,1,0,0,0,0,0,0,0,0,0,0,0,0
enterprise,0,0,0,0,0,0,0,1,0,0,0,0,0
conduct,0,0,0,0,0,0,0,1,0,0,0,0,1
backyard,0,0,0,0,0,0,0,1,0,0,0,0,0
woodshed,0,0,0,0,0,0,0,1,0,0,0,0,0
stereopticon,0,0,0,0,0,0,0,1,0,0,0,0,0
slide,0,0,0,0,0,0,0,1,0,0,0,0,2
view,0,0,0,0,0,0,0,3,0,0,0,0,1
lend,0,0,0,0,0,0,0,0,0,0,0,0,1
furious,2,0,0,0,0,0,0,0,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,0,0,0,0,1
borrow,0,0,0,0,0,0,0,0,0,0,0,0,2
legged,1,0,0,0,0,0,0,0,0,0,0,0,0
biddy,0,0,0,0,0,0,0,2,0,0,0,0,0
chicken,0,0,0,0,0,0,0,6,0,0,0,0,0
hatch,0,0,0,0,0,0,0,0,0,0,0,0,1
everybody,0,0,0,0,0,0,0,0,0,9,0,0,0
hereabouts,0,0,1,0,0,0,0,0,0,0,0,0,0
want,0,0,0,0,0,0,0,0,0,0,0,0,31
charge,0,0,0,0,0,0,0,1,0,0,0,0,2
grownup,1,0,0,0,0,0,0,3,0,0,0,0,0
nickel,0,0,0,0,0,0,0,5,0,0,0,0,0
kid,0,0,0,0,0,0,0,5,0,0,0,0,0
cent,0,0,0,0,0,0,0,5,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,0,0,24
museum,0,0,0,0,0,0,0,1,0,0,0,0,0
shut,0,0,0,0,0,0,0,0,0,0,0,0,4
decease,0,0,0,0,0,0,0,1,0,0,0,0,0
attraction,0,0,0,0,0,0,0,1,0,0,0,0,0
way,0,0,1,0,0,0,0,15,0,0,0,0,0
accumulate,0,0,0,0,0,0,0,0,0,0,0,0,1
saving,0,0,0,0,0,0,0,1,0,0,0,0,0
hide,0,0,0,0,0,0,0,0,0,0,0,0,4
ancient,2,0,0,0,0,0,0,0,0,0,0,0,0
bead,0,0,0,0,0,0,0,3,0,0,0,0,0
purse,0,0,0,0,0,0,0,5,0,0,0,0,0
loose,6,0,0,0,0,0,0,0,0,0,0,0,0
board,0,0,0,0,0,0,0,1,0,0,0,0,0
floor,0,0,0,0,0,0,0,11,0,0,0,0,0
chamber,0,0,0,0,0,0,0,3,0,0,0,0,0
seldom,0,0,3,0,0,0,0,0,0,0,0,0,0
remove,0,0,0,0,0,0,0,0,0,0,0,0,2
safe,3,0,0,0,0,0,0,0,0,0,0,0,0
location,0,0,0,0,0,0,0,1,0,0,0,0,0
deposit,0,0,0,0,0,0,0,2,0,0,0,0,1
happen,0,0,0,0,0,0,0,0,0,0,0,0,14
withdrawal,0,0,0,0,0,0,0,1,0,0,0,0,0
allow,0,0,0,0,0,0,0,0,0,0,0,0,3
picture,0,0,0,0,0,0,0,9,0,0,0,0,0
intend,0,0,0,0,0,0,0,0,0,0,0,0,5
story,0,0,0,0,0,0,0,4,0,0,0,0,0
age,0,0,0,0,0,0,0,10,0,0,0,0,1
squander,0,0,0,0,0,0,0,0,0,0,0,0,1
let,0,0,0,0,0,0,0,0,0,0,0,0,19
addition,0,0,0,0,0,0,0,1,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,0,0,26
movie,0,0,0,0,0,0,0,3,0,0,0,0,0
restaurant,0,0,0,0,0,0,0,2,0,0,0,0,0
travel,0,0,0,0,0,0,0,0,0,0,0,0,3
mile,0,0,0,0,0,0,0,4,0,0,0,0,0
receive,0,0,0,0,0,0,0,0,0,0,0,0,4
send,0,0,0,0,0,0,0,0,0,0,0,0,6
telegram,0,0,0,0,0,0,0,2,0,0,0,0,0
read,0,0,0,0,0,0,0,0,0,0,0,0,6
funny,8,0,0,0,0,0,0,0,0,0,0,0,0
paper,0,0,0,0,0,0,0,9,0,0,0,0,0
thebible,0,0,0,0,0,0,0,1,0,0,0,0,0
cosmetic,0,0,0,0,0,0,0,1,0,0,0,0,0
curse,0,0,0,0,0,0,0,1,0,0,0,0,1
wish,0,0,0,0,0,0,0,1,0,0,0,0,4
harm,0,0,0,0,0,0,0,1,0,0,0,0,0
lie,0,0,0,0,0,0,0,1,0,0,0,0,6
purpose,0,0,0,0,0,0,0,2,0,0,0,0,0
hungry,2,0,0,0,0,0,0,0,0,0,0,0,0
dog,0,0,0,0,0,0,0,5,0,0,0,0,0
kill,0,0,0,0,0,0,0,1,0,0,0,0,9
hoe,0,0,0,0,0,0,0,1,0,0,0,0,1
county,0,0,0,0,0,0,0,3,0,0,0,0,0
sixteen,0,0,0,0,0,0,0,0,3,0,0,0,0
rattle,0,0,0,0,0,0,0,1,0,0,0,0,0
dip,0,0,0,0,0,0,0,0,0,0,0,0,4
snuff,0,0,0,0,0,0,0,2,0,0,0,0,0
secretly,0,0,4,0,0,0,0,0,0,0,0,0,0
tame,0,0,0,0,0,0,0,0,0,0,0,0,1
hummingbird,0,0,0,0,0,0,0,1,0,0,0,0,0
try,0,0,0,0,0,0,0,0,0,0,0,0,8
till,0,0,0,0,0,0,0,0,0,0,0,3,0
balance,0,0,0,0,0,0,0,0,0,0,0,0,2
finger,0,0,0,0,0,0,0,7,0,0,0,0,0
ghost,0,0,0,0,0,0,0,1,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,0,0,0,0,13
tingle,0,0,0,0,0,0,0,0,0,0,0,0,2
chill,0,0,0,0,0,0,0,0,0,0,0,0,1
talk,0,0,0,0,0,0,0,0,0,0,0,0,8
walk,0,0,0,0,0,0,0,1,0,0,0,0,10
rain,0,0,0,0,0,0,0,5,0,0,0,0,2
pretty,6,0,0,0,0,0,0,0,0,0,0,0,0
sin,0,0,0,0,0,0,0,2,0,0,0,0,0
recipe,0,0,0,0,0,0,0,3,0,0,0,0,0
sort,0,0,1,0,0,0,0,3,0,0,0,0,0
timeindian,0,0,0,0,0,0,0,1,0,0,0,0,0
cure,0,0,0,0,0,0,0,1,0,0,0,0,0
include,0,0,0,0,0,0,0,0,0,0,0,0,2
magical,3,0,0,0,0,0,0,0,0,0,0,0,0
wart,0,0,0,0,0,0,0,1,0,0,0,0,0
remover,0,0,0,0,0,0,0,1,0,0,0,0,0
finish,0,0,0,0,0,0,0,0,0,0,0,0,2
retire,0,0,0,0,0,0,0,0,0,0,0,0,1
room,0,0,0,0,0,0,0,22,0,0,0,0,0
faraway,2,0,0,0,0,0,0,0,0,0,0,0,0
sleep,0,0,0,0,0,0,0,5,0,0,0,0,4
quilt,0,0,0,0,0,0,0,4,0,0,0,0,0
cover,0,0,0,0,0,0,0,2,0,0,0,0,2
iron,0,0,0,0,0,0,0,4,0,0,0,0,0
paint,0,0,0,0,0,0,0,0,0,0,0,0,2
pink,1,0,0,0,0,0,0,1,0,0,0,0,1
favorite,3,0,0,0,0,0,0,1,0,0,0,0,0
color,0,0,0,0,0,0,0,2,0,0,0,0,2
silently,0,0,1,0,0,0,0,0,0,0,0,0,0
wallow,0,0,0,0,0,0,0,0,0,0,0,0,1
pleasure,0,0,0,0,0,0,0,1,0,0,0,0,0
conspiracy,0,0,0,0,0,0,0,1,0,0,0,0,0
secret,3,0,0,0,0,0,0,1,0,0,0,0,0
spill,0,0,0,0,0,0,0,0,0,0,0,0,1
content,0,0,0,0,0,0,0,1,0,0,0,0,0
bill,0,0,0,0,0,0,0,1,0,0,0,0,0
